ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
131,itu-328056 (2),"Dixon Foods Group, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328056 (2).pdf,5/29/2020,10,"name, address, pay and withholdings, part of the bank account number (first 5 digits are masked) if you have multiple accounts, and Social Security number",unauthorized access
132,itu-328013,Catholic Charities,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328013.pdf,5/28/2020,,"name, dob, address, ssn, immigration documents, medical info, criminal history, pay stubs, case notes,",ransomware
133,itu-328014,Amtrak,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328014.pdf,5/28/2020,589,"usernames and passwords, mailing and email addresses",unauthorized access to certain Amtrak Guest Rewards accounts
134,itu-328017,"Dogeared, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328017.pdf,5/28/2020,50,"name, payment card info",malware
135,itu-328024,"Visionary Consulting Partners, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328024.pdf,5/28/2020,8,"name, Social Security number, driver&#39;s license number, credit or debit card",unauthorized access to email account
136,,,,,,"information, bank/financial account information, and/or username or email account and password",
137,itu-325664 (UPDATE),Communications & Power Industries LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325664 (UPDATE).pdf,5/27/2020,8,"name, Social Security number, and credit card number",malware
138,itu-328005,"Milestones Financial Planning, LLC d/b/a Fox & Company Wealth Management",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328005.pdf,5/27/2020,1,"name, address, date of birth, Social Security number, U.S. Alien Registration number, and financial account information",unauthorized access to email account
139,itu-328006,Therapia Staffing,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328006.pdf,5/27/2020,8,"name, ssn, dob",unauthorized access
140,itu-328007 (1),"AMIkids, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328007 (1).pdf,5/27/2020,4,,unauthorized access to email account
141,itu-328007 (2),"AMIkids, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328007 (2).pdf,5/27/2020,4,,unauthorized access to email account
142,itu-328008 (1),"Yount, Hyde & Barbour, P.C.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328008 (1).pdf,5/27/2020,220,"names, Social Security numbers, tax identification numbers, and driver's license numbers",unauthorized access to email account
143,itu-328008 (2),"Yount, Hyde & Barbour, P.C.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328008 (2).pdf,5/27/2020,220,"names, Social Security numbers, tax identification numbers, and driver's license numbers",unauthorized access to email account
144,itu-328009,Truckstop Group LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328009.pdf,5/27/2020,1,"name, address, ssn",unauthorized access to databases
145,itu-328010,Mabrey Bank,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328010.pdf,5/27/2020,5,"name, financial info",unauthorized access to email accounts
146,itu-328012,"Car Wash Partners, Inc., dba Mister Car Wash",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328012.pdf,5/27/2020,775,"names, Social Security numbers and health information",unauthorized access to email accounts
147,itu-327977 (1),Quest Education,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327977 (1).pdf,5/26/2020,34,"name address,, Social Security number, and financial account information",unauthorized access to database
148,itu-327977 (2),Quest Education,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327977 (2).pdf,5/26/2020,34,"name address,, Social Security number, and financial account information",unauthorized access to database
149,itu-327983,Southern Medical Health Systems,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327983.pdf,5/26/2020,1,"name, address, pay and withholdings, bank account and routing numbers, and Social Security numbers",unauthorized access
150,itu-327994,Moffat & Nichol,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327994.pdf,5/26/2020,1,"name, address, financial account information, and Social Security number",unauthorized access
151,itu-327997 (1),Emerson Hospital,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327997 (1).pdf,5/26/2020,4,"name, address, salary information and social security number",unauthorized access
152,itu-327997 (2),Emerson Hospital,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327997 (2).pdf,5/26/2020,4,"name, address, salary information and social security number",unauthorized access
153,itu-327999 (1),"Compass Health, Inc., d/b/a Compass Health Network",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327999 (1).pdf,5/26/2020,3,"name, address, pay and withholdings, part of the bank account number (first 5 digits are masked) if you have multiple accounts, and Social Security number",unauthorized access
154,itu-327999 (2),"Compass Health, Inc., d/b/a Compass Health Network",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327999 (2).pdf,5/26/2020,3,"name, address, pay and withholdings, part of the bank account number (first 5 digits are masked) if you have multiple accounts, and Social Security number",unauthorized access
155,itu-328000,Princeton Community Hospital,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328000.pdf,5/26/2020,1,"name, address, pay and withholdings, and Social Security Numbers",unauthorized access
156,itu-328003,Pennsylvania Bar Association,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328003.pdf,5/26/2020,16,"name, payment card info",malicious code
157,ITU-327777 (1),Prudential Retirement,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-327777 (1).pdf,5/22/2020,3,"name, address, date of birth, and Social Security number",unauthorized access
158,ITU-327777 (2),Prudential Retirement,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-327777 (2).pdf,5/22/2020,3,"name, address, date of birth, and Social Security number",unauthorized access
159,ITU-327778,"Hello Doggie, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-327778.pdf,5/22/2020,20,"name, address, ssn, financial account info, health insurance info",unauthorized access to email account
160,itu-327968,Truist,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327968.pdf,5/22/2020,9,"social security numbers, personal addresses, and tax identification numbers",info emailed to wrong recipients
161,itu-327969 (1),Volk Optical Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327969 (1).pdf,5/22/2020,1,"name, payment card info",malware
162,itu-327969 (2),Volk Optical Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327969 (2).pdf,5/22/2020,1,"name, payment card info",malware
163,itu-327970,TRH Financial LLC d/b/a Hawkins Wealth Management,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327970.pdf,5/22/2020,3,"name, address, financial account number, account password, and Social Security number",unuauthorized access to email account
164,itu-327973 (1),"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327973 (1).pdf,5/22/2020,146,"name, address, phone number, date of birth, medical record number, appointment dates, imaging orders, radiology images and examination information",improper access by employee
165,itu-327973 (2),"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-327973 (2).pdf,5/22/2020,146,"name, address, phone number, date of birth, medical record number, appointment dates, imaging orders, radiology images and examination information",improper access by employee
166,ITU-322832 (update),Sceptre Hospitality Resources,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-322832 (update).pdf,5/21/2020,65,name and credit card information,unauthorized access to guest reservation data
167,ITU-327719 (2),"Gustafson & Company, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-327719 (2).pdf,5/21/2020,6,"name, address, email, date of birth, Social Security number, financial account number, and/or income information",unauthorized access to network
168,ITU-327719,"Gustafson & Company, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/ITU-327719.pdf,5/21/2020,6,"name, address, email, date of birth, Social Security number, financial account number, and/or income information",unauthorized access to network
169,itu-324893,Cincinnati Parks Foundation,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324893.pdf,5/20/2020,2,"name, address, email address, phone number, and bank account information",ransomware
170,itu-324894,Allegheny Intermediate Unit,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324894.pdf,5/20/2020,887,"names, mailing addresses, email addresses, Social Security Numbers, passport numbers, and drivers' license numbers",ransonmare
171,itu-324895,"Franty & Company, P.C.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324895.pdf,5/19/2020,8,"any files were viewed by the unauthorized individual, from our review it appears the files at risk may have contained your name, address, Social Security number, bank account information",unauthorized access
172,itu-324896,Lakewood Church,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324896.pdf,5/19/2020,6,"name dob, dln",unauthorized access to email account
173,itu-324898 (1),FabFitFun,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324898 (1).pdf,5/19/2020,6,"name, address, city, state, zip code, phone number, email address, credit card number, CVV code, and card expiration date",malicious code on website
174,itu-324898 (2),FabFitFun,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324898 (2).pdf,5/19/2020,6,"name, address, city, state, zip code, phone number, email address, credit card number, CVV code, and card expiration date",malicious code on website
175,itu-324897,"City of Torrance, California",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324897.pdf,5/18/2020,1,"names, Social Security numbers, driver's license numbers or state identification numbers, and financial account information",ransomware
176,itu-324899 (1),"Illinois Industrial Tools d/b/a Great Lakes Wholesale Group, IIT-JMK",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324899 (1).pdf,5/18/2020,4,"name, payment card info",unauthorized access to email account
177,itu-324899 (2),"Illinois Industrial Tools d/b/a Great Lakes Wholesale Group, IIT-JMK",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324899 (2).pdf,5/18/2020,4,"name, payment card info",unauthorized access to email account
178,itu-324900,Prime Communications,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324900.pdf,5/18/2020,7,"name, ssn, dob",info inadvertently sent to wrong recipient
179,itu-324902,Woodlawn Dental Center,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324902.pdf,5/18/2020,4,"names, addresses, dates of birth, Social Security numbers, medical insurance and related health information.",ransomware
180,itu-324903,"PRO-AIR, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324903.pdf,5/18/2020,352,"names, driver's license or state identification numbers, passport numbers, health insurance beneficiary numbers, worker's compensation claim medical information, and Social Security numbers",unauthorized access to email account
181,itu-324904 (1),NortonLifeLock Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324904 (1).pdf,5/18/2020,5,Social Security Numbers and Health Insurance Numbers,improper access by call center agent
182,itu-324904 (2),NortonLifeLock Inc.,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324904 (2).pdf,5/18/2020,5,Social Security Numbers and Health Insurance Numbers,improper access by call center agent
183,itu-324905,Firestorm,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-324905.pdf,5/15/2020,1,"name, address, date of birth, Social Security number, driver's license number, passport number, and/or bank account number",phishing
