ID,Entity Involved,Date Involved
2806,BEL USA LLC,9/16/2013
2807,Blackhawk Consulting Group,9/16/2013
2808,Outdoor Network LLC,9/11/2013
2809,Medical University of South Carolina,9/9/2013
2810,ICS Collection Services (4 different letters),9/4/2013
2811,InCharge,9/4/2013
2812,Inter-Continental Hotels Corporation,9/4/2013
2813,Midwest Supplies,8/29/2013
2814,Sanitation District No 1,8/28/2013
2815,Republic Services,8/28/2013
2816,Osprey Packs,8/28/2013
2817,Shore Mortgage,8/26/2013
2818,CNU Online Holdings,8/26/2013
2819,Advanced Data Processing,8/26/2013
2820,Advocate Medical Group,8/26/2013
2821,Sign-Zone Inc.,8/20/2013
2822,Northrop Grumman Technical Services,8/15/2013
2823,Ferris State University,8/15/2013
2824,Sentara Health System (Fidelity) (different dates),8/14/2013
2825,Novartis,8/14/2013
2826,US Airways,8/12/2013
2827,F.C. Tucker Company,8/12/2013
2828,Sentara Health System (Fidelity),8/12/2013
2829,Smartphone Experts,8/8/2013
2830,Commerce Street Holdings,8/7/2013
2831,Northeastern University,8/6/2013
2832,Auburn University,8/6/2013
2833,swimsuitsforall,8/5/2013
2834,Oracle/Fidelity,8/5/2013
2835,South Carolina Bank and Trust,8/2/2013
2836,Verizon,8/2/2013
2837,Ruby Tuesday,7/30/2013
2838,Huntington's Disease Society of America,7/29/2013
2839,United Student Aid Funds Inc.,7/29/2013
2840,Habitec Security,7/26/2013
2841,University of Virginia (July 19),7/22/2013
2842,QTC,7/19/2013
2843,Babson College,7/18/2013
2844,Medical Society of Virginia Insurance,7/17/2013
2845,Sentry,7/16/2013
2846,Experian,7/11/2013
2847,Roys Holdings Inc.,7/10/2013
2848,Bridgewater,7/9/2013
2849,Hyundai,7/9/2013
2850,TD Bank NA (June 28),7/8/2013
2851,Suffolk University,7/3/2013
2852,Quayside Publishing Group,7/1/2013
2853,TD Bank NA (June 25),7/1/2013
2854,Little Theatre of Alexandria (CD and USB stick enclosed),6/21/2013
2855,Millimaki Eggert LLP,6/19/2013
2856,VYC Tires Inc.,6/18/2013
2857,NorthBay Healthcare,6/17/2013
2858,Montana State University,6/17/2013
2859,Harmonix,6/13/2013
2860,Polaris Industries,6/12/2013
2861,LPL Financial,6/11/2013
2862,MassMutual (June),6/11/2013
2863,Primedia Inc.,6/10/2013
2864,Ameriprise Financial Services Inc.,6/6/2013
2865,Emblem NYC LLC,6/6/2013
2866,ADP,6/6/2013
2867,Champlain College,6/5/2013
2868,Bon Secours Mary Immaculate Hospital,6/5/2013
2869,Vendini Inc.,6/5/2013
2870,USAA,6/4/2013
2871,Godiva Chocolatier Inc.,6/4/2013
2872,Anasazi Hotel LLC,5/31/2013
2873,Beachbody LLC,5/30/2013
2874,South Orange Performing Arts Center,5/30/2013
2875,Shumsky Promotional Agency,5/30/2013
2876,Target Marketing,5/30/2013
2877,AHW LLC,5/29/2013
2878,HealthMarkets Inc.,5/22/2013
2879,PHH Corporation,5/21/2013
2880,SGC,5/21/2013
2881,Knology,5/20/2013
2882,NTT Docomo USA,5/15/2013
2883,Columbia University Medical Center of Columbia University,5/14/2013
2884,MAPCO Express (Gene said he handled),5/9/2013
2885,First National Bank of Southern California,5/8/2013
2886,IHS Jane's,5/8/2013
2887,WorldVentures Marketing LLC,5/8/2013
2888,ThyssenKrupp OnlineMetals,5/7/2013
2889,State Bank of New Prague,5/7/2013
2890,Sedgwick Claims Management Services Inc. (April),5/7/2013
2891,Pearl Izumi,5/3/2013
2892,Revana,5/2/2013
2893,Northwestern Mutual,5/1/2013
2894,Edge,5/1/2013
2895,Experian (4/19/13),4/26/2013
2896,Iron Horse Bicycle Classic,4/26/2013
2897,State Street Bank and Trust Company,4/25/2013
2898,Altria,4/24/2013
2899,TD Bank (4/19/13),4/23/2013
2900,J Spargo & Associates,4/23/2013
2901,Iberdrola USA,4/17/2013
2902,TIAA-CREF,4/15/2013
2903,InnovaSystems,4/9/2013
2904,Experian (4/8/13),4/9/2013
2905,Shoplet.com,4/9/2013
2906,Dead River Company,4/9/2013
2907,Computer Sciences Corporation,4/8/2013
2908,Rollins Inc.,4/8/2013
2909,Principal Life Insurance Company,4/3/2013
2910,Clinton Health Access Initiative,4/3/2013
2911,Merchant Link,4/1/2013
2912,Citi,4/1/2013
2913,TLO,3/28/2013
2914,Farmers Insurance,3/28/2013
2915,Eighth Day Sound,3/26/2013
2916,Lyons & Lyons PC,3/26/2013
2917,OCS America Inc,3/22/2013
2918,Dell,3/21/2013
2919,Tennis Express,3/21/2013
2920,State Farm,3/20/2013
2921,Anthem,3/20/2013
2922,United Shore Financial Services LLC,3/19/2013
2923,AHM Liquidating Trust,3/19/2013
2924,Finish Line,3/19/2013
2925,Neuberger Berman,3/19/2013
2926,"Dr. Thomas L. Davis, Jr., DMD, DDS",3/19/2013
2927,Wyndham Vacation Ownership,3/18/2013
2928,Mount Sinai Medical Center,3/18/2013
2929,National Planning Corporation (March 5-6),3/15/2013
2930,ING Americas,3/13/2013
2931,MassMutual,3/13/2013
2932,Stanley Black & Decker Inc.,3/12/2013
2933,Fabric Depot Inc.,3/12/2013
2934,Experian,3/8/2013
2935,Inova Health System,3/8/2013
2936,Tim Hortons Inc.,3/7/2013
2937,Lighthouse Financial,3/7/2013
2938,Broadspire,3/7/2013
2939,GE Capital Retail Bank,3/4/2013
2940,Armfield Harrison & Thomas Inc.,3/1/2013
2941,Crescent Healthcare Inc.,2/27/2013
2942,George K. Baum & Company,2/27/2013
2943,Republic Bank & Trust Company,2/26/2013
2944,Polymer Group Inc.,2/25/2013
2945,TD Bank (2/18/13),2/22/2013
2946,Capella University,2/19/2013
2947,CoreLogic Credco,2/14/2013
2948,National Planning Corporation,2/13/2013
2949,The Variable Annuity Life Insurance Company,2/12/2013
2950,Macy's Inc.,2/12/2013
2951,Talk Fusion,2/12/2013
2952,Schneider Electric,2/8/2013
2953,Thorlo Inc.,2/7/2013
2954,HSBC,2/4/2013
2955,Stethoscope.com LLC,1/31/2013
2956,Publishers Circulation Fulfillment Inc,1/30/2013
2957,Wilton Brands LLC,1/30/2013
2958,RR Donnelley,1/30/2013
2959,Fidelity Management Trust Company,1/29/2013
2960,Contact Solutions,1/28/2013
2961,Care Advantage,1/28/2013
2962,FMCP,1/28/2013
2963,Federal Network Systems LLC,1/23/2013
2964,Sedgwick Claims Management Services Inc.,1/22/2013
2965,SaveUp Inc.,1/15/2013
2966,Clark Friel and Joyce PA,1/11/2013
2967,Centric Group LLC,1/11/2013
2968,31st Street Baptist Church,1/9/2013
2969,Royall & Company,1/8/2013
2970,University of Virginia,1/7/2013
2971,Oldcastle APG,1/7/2013
2972,Mott's LLP,1/3/2013
2973,Rosenthal Collins Group,1/3/2013
2974,Travelers,1/2/2013
2975,ancestry.com,1/2/2013
2976,LPL Financial LLC,1/2/2013
2977,"City of Hampton
Thorlo","N/A
N/A"
2978,Revere Group/GunnAllen Financial,N/A
2979,Trymedia,N/A
2980,Wine Library,N/A
2981,NYSEG,N/A
2982,Impairment Res,N/A
2983,Horry Telephone,N/A
2984,DHI,N/A
2985,Con Agra,N/A
2986,AWCC,N/A
2987,Sheraton,N/A
2988,Millennium,N/A
2989,Motorola,N/A
2990,American Med,N/A
2991,Stratfor,N/A
2992,AST,N/A
2993,CubeSmart,N/A
2994,Equifax,N/A
2995,Winn Dixie,N/A
2996,USAA,N/A
2997,Regions,N/A
2998,Lonnes PC,N/A
2999,Mount Kellett,N/A
3000,Jackson Ins,N/A
3001,GuideYou,N/A
3002,PHI Inc.,N/A
3003,Spotsylvania County Schools,N/A
3004,AKLIZ Inc.,N/A
3005,VALIC,N/A
3006,Educational Testing Service,N/A
3007,Experian (1/11),N/A
3008,Tata Communications,N/A
3009,Trident University,N/A
3010,TD Bank,N/A
3011,WPX Energy Inc.,N/A
3012,Estee Lauder Companies,N/A
3013,Accucom Corporation,N/A
3014,Burger King Corporation,N/A
3015,Univers Workplace Solutions,N/A
3016,Greensville County Public Schools,N/A
3017,Lee Miller Rehabilitation Associates,N/A
3018,Experian (3/2),N/A
3019,Hackensack University Medical Center,N/A
3020,State Farm Insurance Companies,N/A
3021,State Farm Insurance Companies,N/A
3022,Wilson Sonsini Goodrich & Rosati,N/A
3023,University of Medicine & Dentistry of New Jersey,N/A
3024,GameStop,N/A
3025,Kelly Services,N/A
3026,Citibank NA,N/A
3027,State Farm Insurance Companies,N/A
3028,Ocean Reef Community,N/A
3029,Washington University in St. Louis,N/A
3030,NXL Engineers,N/A
3031,Suddenlink Communications,N/A
3032,Sailboat Owners Inc.,N/A
3033,The Orvis Company Inc.,N/A
3034,Foster Bank,N/A
3035,Triple Canopy Inc.,N/A
3036,LPL Financial,N/A
3037,UnitedHealth Group,N/A
3038,reuseit.com,N/A
3039,Internet Pipeline Inc.,N/A
3040,WorldPass,N/A
3041,State Farm Insurance Companies,N/A
3042,Manhattan Prep,N/A
3043,Experian (4/5),N/A
3044,Sirius XM Radio Inc.,N/A
3045,Asset Acceptance LLC,N/A
3046,AT&T,N/A
3047,AT&T,N/A
3048,DataQuick Lending Solutions Inc.,N/A
3049,Dick Blick Art Materials,N/A
3050,Experian (4/9),N/A
3051,Nationstar Mortgage,N/A
3052,X-Rite Incorporated,N/A
3053,SilkRoad Technology Inc.,N/A
3054,McKinley Carter Wealth Services,N/A
3055,NVR Mortgage Finance Inc.,N/A
3056,Memorial Healthcare System,N/A
3057,National Financial Services LLC,N/A
3058,Home Depot USA Inc.,N/A
3059,Indie Research LLC,N/A
3060,Under Armour (Pricewaterhouse Coopers),N/A
3061,Emory Healthcare,N/A
3062,Columbia University,N/A
3063,Claires Stores,N/A
3064,Choice Hotels,N/A
3065,Allianz Life Insurance Company of North America,N/A
3066,Philips,N/A
3067,Earthlink,N/A
3068,Alstom Inc. (Mercer HR),N/A
3069,University of North Carolina,N/A
3070,Hollins University,N/A
3071,Rosenberg & Associates,N/A
3072,SunGard Systems,N/A
3073,Experian (5/17),N/A
3074,University of North Carolina,N/A
3075,Incorporating Services Ltd,N/A
3076,Crowne Plaza Columbus,N/A
3077,Anchor Drilling Fluids,N/A
3078,UnitedHealth Group,N/A
3079,Altrec Inc.,N/A
3080,Emblem Health,N/A
3081,The Experts Inc.,N/A
3082,Foundations Recovery Network,N/A
3083,Postcard Press Inc.,N/A
3084,TD Bank,N/A
3085,Oncor,N/A
3086,Experian (6/8),N/A
3087,University of Virginia,N/A
3088,Brokers Xpress,N/A
3089,"Witham, Robert, MD",N/A
3090,Good Nite Inn,N/A
3091,Massachusetts Mutual Life Insurance,N/A
3092,Woodrow Wilson National Fellowship Foundation,N/A
3093,Buccaneer Computer Systems,N/A
3094,Global Payments Inc.,N/A
3095,ECS Tuning Inc.,N/A
3096,Generation Mortgage Company,N/A
3097,Ameritas Life Insurance Company,N/A
3098,Columbia Management,N/A
3099,Owner-Operator Services Incorporated,N/A
3100,Woodrow Wilson National Fellowship Foundation,N/A
3101,ThePartsBin.com,N/A
3102,United Church Homes and Services,N/A
3103,United Church Homes and Services,N/A
3104,American Pharmacists Association,N/A
3105,UPS Freight,N/A
3106,Neurocare Inc.,N/A
3107,ADT,N/A
3108,Memorial Healthcare System,N/A
3109,PricewaterhouseCoopers LLP,N/A
3110,TD Bank,N/A
3111,The Surgeons of Lake County LLC,N/A
3112,Mission Linen Supply Company,N/A
3113,Butler Health System,N/A
3114,Cameron Moberly & Hamrick PC,N/A
3115,Hertz,N/A
3116,Experian (8/1),N/A
3117,General Motors Company,N/A
3118,The Glover Park Group,N/A
3119,Choices Inc.,N/A
3120,Citibank NA,N/A
3121,Clarksville Montgomery County School System,N/A
3122,Sentara Healthcare,N/A
3123,Go Daddy.com,N/A
3124,Fidelity,N/A
3125,Red Boat Advisor Resources,N/A
3126,Bill & Melinda Gates Foundation,N/A
3127,Yale University,N/A
3128,Diversified,N/A
3129,Database Designs Associates Inc.,N/A
3130,Societe Air France,N/A
3131,AT&T,N/A
3132,Experian (9/7),N/A
3133,Liberty Mutual Insurance Company,N/A
3134,Nationwide,N/A
3135,Churchill Down Technology Initiatives,N/A
3136,ARAMARK Business Dining,N/A
3137,JPMorgan Chase Bank,N/A
3138,Stearns Lending Inc.,N/A
3139,Genworth,N/A
3140,IMT Services,N/A
3141,Massachusetts Mutual Life Insurance,N/A
3142,State Farm Insurance Companies,N/A
3143,FEI Company,N/A
3144,Virginia Wesleyan College,N/A
3145,Transcend Capital,N/A
3146,50Can,N/A
3147,FujiFilm,N/A
3148,American General Life Companies,N/A
3149,Western Union,N/A
3150,Magellan,N/A
3151,Apria Healthcare,N/A
3152,State Farm Insurance Companies,N/A
3153,Monterey Institute of International Studies,N/A
3154,Experian (10/10),N/A
3155,Columbia Management,N/A
3156,Emochila,N/A
3157,TD Bank,N/A
3158,The Atlantic Group Inc.,N/A
3159,Southern Environmental Law Center,N/A
3160,University of Chicago,N/A
3161,Skillsoft,N/A
3162,Vermont State Employees Credit Union,N/A
3163,United Student Aid Funds Inc.,N/A
3164,Barnes & Noble Booksellers Inc.,N/A
3165,WeiserMazars/Blank Rome LLp,N/A
3166,Lighthouse Investment Partners LLC,N/A
3167,Southern Environmental Law Center,N/A
3168,Duquesne Light Company,N/A
3169,Wyatt Dental Group,N/A
3170,Women & Infants Hospital,N/A
3171,4Access (National Processing),N/A
3172,Experian (11/12),N/A
3173,Advanced Data Processing,N/A
3174,Nationwide,N/A
3175,Alere Home Monitoring,N/A
3176,Satcom Direct Inc.,N/A
3177,Community Preservation and Development Corporation,N/A
3178,National Elevator Industry,N/A
3179,Sourcefire Inc.,N/A
3180,Christus St. John Hospital,N/A
3181,American Tool Supply,N/A
3182,Grand Valley State University,N/A
3183,Sprechman & Associates,N/A
3184,SourceHOV/Holmes Murphy,N/A
3185,South Carolina Department of Revenue,N/A
3186,Advanced Data Processing Inc.,N/A
3187,WeiserMazars/Accume Partners,N/A
3188,USAA Federal Savings Bank,N/A
3189,Workflow One LLC,N/A
3190,ipromo.com,N/A
3191,Lexis Nexis,N/A
3192,World Travel Holdings,N/A
3193,Wilton Brands LLC,N/A
3194,Columbia University (New York Presbyterian),N/A
3195,Valpak,N/A
3196,Mt Diablo Unified School District,N/A
3197,Western University of Health Sciences,N/A
3198,Experian (12/20),N/A
3199,Irvine Scientific,N/A
3200,DeLaval Inc.,N/A
3201,Columbia University,N/A
3202,North Carolina State Board of Cosmetic Art Examiners,N/A
3203,Montana State University,N/A
3204,Upper Skagit Indian Tribe,N/A
3205,Library Systems and Services,N/A
