Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
DuPont Community Credit Union,FINANCIAL SERVICES/INSURANCE,9/15/2018,8/8/2018,PHISHING,127,1
Harris Beach PLLC,GENERAL BUSINESS,9/14/2018,7/12/2018,HACKERS/ UNAUTHORIZED,74,1
OneMain Financial,FINANCIAL SERVICES/INSURANCE,9/14/2018,8/29/2018,LOST IN TRANSIT,1,1
"Whitney, Bailey, Cox & Magnani, LLC",GENERAL BUSINESS,9/13/2018,8/9/2018,PHISHING,201,1
Ameriprise Financial Inc.,FINANCIAL SERVICES/INSURANCE,9/13/2018,8/13/2018,LOST IN TRANSIT,2,1
Ameriprise Financial Inc.,FINANCIAL SERVICES/INSURANCE,9/13/2018,8/24/2018,RELEASE/ DISPLAY OF INFO,2,2
WestRock,GENERAL BUSINESS,9/13/2018,9/1/2018,LOST IN TRANSIT,1,1
"Signator Investors, Inc.",FINANCIAL SERVICES/INSURANCE,9/12/2018,8/17/2018,PHISHING,21,4
"Skagit Bancorp, Inc.",FINANCIAL SERVICES/INSURANCE,9/11/2018,6/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",534,1
Moneycorp US Inc. d/b/a Moneycorp,FINANCIAL SERVICES/INSURANCE,9/11/2018,8/24/2018,"HACKERS/ UNAUTHORIZED, ACCESS",212,1
Peaceful Valley Farm & Garden Supply,GENERAL BUSINESS,9/11/2018,7/18/2018,"HACKERS/ UNAUTHORIZED, ACCESS",20084,394
SecurityNational Mortgage Company,FINANCIAL SERVICES/INSURANCE,9/11/2018,5/7/2018,PHISHING,1631,7
"C&J Financial, LLC",FINANCIAL SERVICES/INSURANCE,9/11/2018,5/7/2018,PHISHING,372,6
CreativeOne Marketing Corporation,FINANCIAL SERVICES/INSURANCE,9/11/2018,7/13/2018,PHISHING,10,1
Carpenters Benefit Funds of Philadelphia,GENERAL BUSINESS,9/11/2018,7/18/2018,PHISHING,20015,58
"Roadrunner Transportation Systems, Inc.",GENERAL BUSINESS,9/10/2018,7/2/2018,PHISHING,9821,355
"Kulig Accounting, Inc.",GENERAL BUSINESS,9/10/2018,8/10/2018,PHISHING,2378,1
Title Nine,GENERAL BUSINESS,9/7/2018,8/6/2018,HACKERS/ UNAUTHORIZED,765,35
"Stein Mart, Inc.",GENERAL BUSINESS,9/7/2018,8/6/2018,HACKERS/ UNAUTHORIZED,723,31
"Business Financial Services, Inc. d/b/a BFS Capital",GENERAL BUSINESS,9/7/2018,7/6/2018,PHISHING,75,1
"Nardella & Taylor, LLP",FINANCIAL SERVICES/INSURANCE,9/7/2018,8/1/2018,PHISHING,2987,64
Zurich American Insurance Company,FINANCIAL SERVICES/INSURANCE,9/6/2018,4/1/2018,RELEASE/ DISPLAY OF INFO,789,3
Sanibel Captiva Trust Company,FINANCIAL SERVICES/INSURANCE,9/6/2018,7/31/2018,"HACKERS/ UNAUTHORIZED, ACCESS",605,5
"SureFire, LLC",GENERAL BUSINESS,9/6/2018,6/15/2018,HACKERS/ UNAUTHORIZED,2511,73
"ESJ Towers, Inc.",GENERAL BUSINESS,9/6/2018,8/10/2018,PHISHING,467,47
First National Bank of Omaha,FINANCIAL SERVICES/INSURANCE,9/4/2018,7/13/2018,RELEASE/ DISPLAY OF INFO,31,3
"Richard Owen Nursery, Inc. d/b/a Dutch Gardens USA",GENERAL BUSINESS,9/1/2018,8/6/2018,"HACKERS/ UNAUTHORIZED, ACCESS",12397,435
Sterling National Bank,GENERAL BUSINESS,8/31/2018,5/17/2018,PHISHING,21,3
"North American Risk Services, Inc.",FINANCIAL SERVICES/INSURANCE,8/31/2018,6/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2071,1074
Movement Mortgage LLC,FINANCIAL SERVICES/INSURANCE,8/31/2018,8/1/2018,PHISHING,60064,11089
"Posternak Blankstein & Lund, LLP",GENERAL BUSINESS,8/31/2018,6/29/2018,PHISHING,177,1
J.P. Morgan Funds,FINANCIAL SERVICES/INSURANCE,8/31/2018,8/21/2018,RELEASE/ DISPLAY OF INFO,1,1
"Augusta University/AU Medical Center, Inc.",HEALTHCARE,8/30/2018,7/31/2018,PHISHING,472413,709
Sierra Nevada Brewing Co.,GENERAL BUSINESS,8/30/2018,8/14/2018,HACKERS/ UNAUTHORIZED,630,43
Napoli Shkolnik PLLC,GENERAL BUSINESS,8/30/2018,7/9/2018,PHISHING,1327,66
"Williams-Sonoma, Inc.",GENERAL BUSINESS,8/29/2018,8/1/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",18,4
Lipscomb & Pitts Insurance LLC,FINANCIAL SERVICES/INSURANCE,8/29/2018,3/21/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1592,44
LILLEbaby LLC,GENERAL BUSINESS,8/29/2018,6/15/2018,HACKERS/ UNAUTHORIZED,37000,1159
CooperRiis,HEALTHCARE,8/29/2018,8/7/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",8,8
NorthStar Anesthesia,HEALTHCARE,8/28/2018,5/23/2018,HACKERS/ UNAUTHORIZED,21408,9
NorthStar Anesthesia,HEALTHCARE,8/28/2018,5/23/2018,HACKERS/ UNAUTHORIZED,21408,9
The Arc of Southern Maryland,RELIGIOUS/NONPROFIT,8/27/2018,4/11/2018,PHISHING,1060,5
Salter Labs,GENERAL BUSINESS,8/27/2018,4/17/2018,PHISHING,584,31
"The Goldenberg Law Firm, PLLC",GENERAL BUSINESS,8/28/2018,7/24/2018,"HACKERS/ UNAUTHORIZED, ACCESS",160,1
Joint Commission Resources Inc.,RELIGIOUS/NONPROFIT,8/27/2018,7/16/2018,PHISHING,191,3
REEB Millwork Corporation,GENERAL BUSINESS,8/24/2018,6/11/2018,HACKERS/ UNAUTHORIZED,4776,543
Cumberland County Hospital System,HEALTHCARE,8/24/2018,6/26/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
OneMain Financial,FINANCIAL SERVICES/INSURANCE,8/24/2018,8/21/2018,LOST IN TRANSIT,1,1
"Biodesix, Inc.",HEALTHCARE,8/24/2018,7/26/2018,HACKERS/ UNAUTHORIZED,92,3
Outer Banks Medical Group,HEALTHCARE,8/24/2018,7/13/2018,RELEASE/ DISPLAY OF INFO,1,1
Cain Watters & Associates,FINANCIAL SERVICES/INSURANCE,8/24/2018,7/25/2018,PHISHING,240,9
"Aqua Finance, Inc.",FINANCIAL SERVICES/INSURANCE,8/26/2018,7/17/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",569,22
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,8/24/2018,8/3/2018,LOST IN TRANSIT,1,1
Cheddar's Scratch Kitchen (a concept acquired by Darden Restaurants in 2017),GENERAL BUSINESS,8/23/2018,8/16/2018,HACKERS/ UNAUTHORIZED ACCESS,567000,13678
Cortland Partners,GENERAL BUSINESS,8/22/2018,5/3/2018,HACKERS/ UNAUTHORIZED,588,34
"Health Management Concepts, Inc.",HEALTHCARE,8/22/2018,7/19/2018,RELEASE/ DISPLAY OF INFO,2583,25
"Progressions Companies, Inc.",HEALTHCARE,8/21/2018,4/24/2018,HACKERS/ UNAUTHORIZED,864,1
The Arc of North Carolina (The Arc),HEALTHCARE,8/21/2018,8/6/2018,PHISHING,6,6
"Intralinks, Inc.",GENERAL BUSINESS,8/21/2018,6/21/2018,PHISHING,9,5
OneMain Financial,FINANCIAL SERVICES/INSURANCE,8/21/2018,5/14/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",202,1
The Conlan Company,GENERAL BUSINESS,8/21/2018,8/14/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",597,5
"Munro and Company, Inc.",GENERAL BUSINESS,8/21/2018,8/9/2018,HACKERS/ UNAUTHORIZED,728,22
Laboratory Corporation of America (LabCorp),HEALTHCARE,8/21/2018,7/31/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",80,80
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,8/20/2018,8/14/2018,RELEASE/ DISPLAY OF INFO,1,1
"Whitmer & Company CPA's, LLP",GENERAL BUSINESS,8/20/2018,4/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",653,11
BMW Bank of North America,FINANCIAL SERVICES/INSURANCE,8/17/2018,6/13/2018,RELEASE/ DISPLAY OF INFO,54,2
Walgreen Co.,HEALTHCARE,8/17/2018,7/27/2018,RELEASE/ DISPLAY OF INFO,1,1
"Group Associates d/b/a Maestroh Health, Inc.",FINANCIAL SERVICES/INSURANCE,8/17/2018,7/23/2018,PHISHING,57,17
"Authentic Recovery Center, LLC",HEALTHCARE,8/17/2018,6/21/2018,PHISHING,1870,7
Delicato Vineyards,GENERAL BUSINESS,8/14/2018,6/28/2018,HACKERS/ UNAUTHORIZED,1087,7
Coldwater Direct LLC,GENERAL BUSINESS,8/14/2018,8/1/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",72,1
OneMain Financial,FINANCIAL SERVICES/INSURANCE,8/15/2018,8/14/2018,LOST IN TRANSIT,1,1
D&D Business Services Inc/DirectPay Payroll Services,FINANCIAL SERVICES/INSURANCE,8/15/2018,8/10/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2661,1934
"Wiese USA, Inc.",GENERAL BUSINESS,8/16/2018,2/27/2018,PHISHING,24,2
LA Fashion Enterprise LTD,GENERAL BUSINESS,8/16/2018,6/28/2018,HACKERS/ UNAUTHORIZED,34097,9
"CNG Financial Corporation, Inc. and its administrative services entity Axcess Financial Services, In",FINANCIAL SERVICES/ INSURANCE,8/16/2018,7/16/2018,LOST IN TRANSIT,104649,38
"Chapman & Chapman, Inc.",FINANCIAL SERVICES/INSURANCE,8/16/2018,6/19/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2545,12
Gordon Schanzlin New Vision Institute,HEALTHCARE,8/16/2018,6/15/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",10130,13
Aflac,FINANCIAL SERVICES/INSURANCE,8/16/2018,6/22/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",102,4
"OMNIA Partners, Inc.",GENERAL BUSINESS,8/16/2018,7/11/2018,PHISHING,47,1
"Cumberland County Hospital System, Inc.",HEALTHCARE,8/10/2018,6/12/2018,RELEASE/ DISPLAY OF INFO,1,1
Primerica,FINANCIAL SERVICES/INSURANCE,8/9/2018,7/3/2018,LOST IN TRANSIT,71,2
Yale University,EDUCATIONAL,8/8/2018,6/16/2018,HACKERS/ UNAUTHORIZED,119000,1920
Palmetto Heritage Bank & Trust,FINANCIAL SERVICES/INSURANCE,8/8/2018,7/5/2018,PHISHING,53,1
"Town of Lisbon, Wisconsin",GOVERNMENT,8/8/2018,6/6/2018,HACKERS/ UNAUTHORIZED,293,1
"Anne Arundel Dermatology, P.A.",HEALTHCARE,8/8/2018,6/14/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1310,1
American Institute of Aeronautics and Astronautics,RELIGIOUS/NONPROFIT,8/7/2018,6/6/2018,PHISHING,671,5
The Prudential Insurance Company of America,FINANCIAL SERVICES/INSURANCE,8/7/2018,7/16/2018,RELEASE/ DISPLAY OF INFO,1,1
Ridgemont Equity Partners,FINANCIAL SERVICES/INSURANCE,8/3/2018,5/22/2018,"HACKERS/ UNAUTHORIZED, ACCESS",43,19
The University of North Carolina at Chapel Hill,EDUCATIONAL,8/1/2018,7/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1,1
"Feld Entertainment, Inc.",GENERAL BUSINESS,8/6/2018,5/28/2018,PHISHING,867,19
"TCM Bank, N.A.",FINANCIAL SERVICES/INSURANCE,8/6/2018,7/16/2018,RELEASE/ DISPLAY OF INFO,9549,117
"North American Power & Gas, LLC",GENERAL BUSINESS,8/3/2018,5/10/2018,RELEASE/ DISPLAY OF INFO,8690,208
Colorado Bankers Life Insurance Company,FINANCIAL SERVICES/INSURANCE,8/3/2018,6/14/2018,PHISHING,99797,1794
"Gallagher Bassett Services, Inc.",FINANCIAL SERVICES/INSURANCE,8/3/2018,4/20/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1933,3
"Our Honeymoon Wishes, Inc.",GENERAL BUSINESS,8/3/2018,7/20/2018,HACKERS/ UNAUTHORIZED,220,8
"TargetSt8 Consulting, LLC",GENERAL BUSINESS,8/4/2018,5/29/2018,PHISHING,35,1
"Austin Foam Plastics, Inc. (AFP)",GENERAL BUSINESS,8/3/2018,5/17/2018,PHISHING,66,2
ChoiceOne Urgent Care,HEALTHCARE,8/3/2018,5/22/2018,PHISHING,17000,1
"Walker Advertising, LLC",GENERAL BUSINESS,8/3/2018,7/5/2018,HACKERS/ UNAUTHORIZED,136,3
"J.E. Sandifer Financial Consultants, Inc.",FINANCIAL SERVICES/INSURANCE,8/2/2018,6/28/2018,PHISHING,357,3
Yoakum National Bank,FINANCIAL SERVICES/INSURANCE,8/2/2018,5/29/2018,"HACKERS/ UNAUTHORIZED, ACCESS",608,1
Dixon Hughes Goodman LLP on behalf of Thomasville Pawn & Jewelry,FINANCIAL SERVICES/ INSURANCE,8/2/2018,5/31/2018,RELEASE/ DISPLAY OF INFO,5,5
Dixon Hughes Goodman LLP on behalf of Design Connection,FINANCIAL SERVICES/INSURANCE,8/2/2018,5/31/2018,RELEASE/ DISPLAY OF INFO,1,1
Goodridge USA,GENERAL BUSINESS,8/1/2018,7/11/2018,PHISHING,40,2
Manduka,GENERAL BUSINESS,8/1/2018,7/6/2018,HACKERS/ UNAUTHORIZED,65000,1300
"JA Carpentry, Inc.",GENERAL BUSINESS,7/31/2018,5/28/2018,HACKERS/ UNAUTHORIZED,44,2
UnityPoint Health,HEALTHCARE,7/30/2018,5/31/2018,PHISHING,1421107,690
"Clarkson PLC, as well as its subsidiaries Clarksons Platou Futures Ltd., Genchem Holdings Limited, C",GENERAL BUSINESS,7/30/2018,11/7/2017,HACKERS/ UNAUTHORIZED ACCESS,430,3
Plant Therapy,GENERAL BUSINESS,7/30/2018,5/11/2018,HACKERS/ UNAUTHORIZED,13972,515
Loyola University of Chicago,EDUCATIONAL,7/30/2018,7/17/2018,HACKERS/ UNAUTHORIZED,12,12
ZP Group,GENERAL BUSINESS,7/27/2018,4/27/2018,PHISHING,1437,528
"City of Midwest City, Oklahoma",GOVERNMENT,7/27/2018,6/21/2018,HACKERS/ UNAUTHORIZED,4559,1
Sunspire Health,HEALTHCARE,7/27/2018,5/17/2018,HACKERS/ UNAUTHORIZED,6737,6
CVS Health,GENERAL BUSINESS,7/27/2018,6/26/2018,HACKERS/ UNAUTHORIZED,12,1
"Delta Steel, Inc.",GENERAL BUSINESS,7/27/2018,3/30/2018,HACKERS/ UNAUTHORIZED,443,1
"Concannon Miller & Co., P.C.",FINANCIAL SERVICES/INSURANCE,7/26/2018,5/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",292,4
Matrix Design Group. Inc.,GENERAL BUSINESS,7/26/2018,6/6/2018,HACKERS/ UNAUTHORIZED,700,2
"SVAM International, Inc.",GENERAL BUSINESS,7/26/2018,5/30/2018,PHISHING,193,9
RoundPoint Mortgage Servicing Corporation,FINANCIAL SERVICES/INSURANCE,7/26/2018,7/12/2018,RELEASE/ DISPLAY OF INFO,1,1
Southern College of Optometry,EDUCATIONAL,7/25/2018,6/15/2018,HACKERS/ UNAUTHORIZED,100,4
"Welk Resort Group, Inc.",GENERAL BUSINESS,7/25/2018,12/4/2017,HACKERS/ UNAUTHORIZED,1464,12
"Automated Pet Care Products, Inc.",GENERAL BUSINESS,7/25/2018,5/30/2018,"HACKERS/ UNAUTHORIZED, ACCESS",190,3
Venterra Realty,GENERAL BUSINESS,7/25/2018,2/23/2018,PHISHING,90,1
TradeMotion,GENERAL BUSINESS,7/25/2018,3/20/2018,HACKERS/ UNAUTHORIZED,81782,2171
Central States Funds,GENERAL BUSINESS,7/25/2018,7/5/2018,PHISHING,17,2
"Councilor, Buchanan & Mitchell P.C.",FINANCIAL SERVICES/INSURANCE,7/24/2018,4/26/2018,PHISHING,129,1
"City of Medford, Oregon",GOVERNMENT,7/20/2018,6/25/2018,HACKERS/ UNAUTHORIZED,1842,1
Boys Town National Research Hospital,HEALTHCARE,7/20/2018,5/23/2018,PHISHING,105626,28
CaroMont Health,HEALTHCARE,7/19/2018,5/23/2018,HACKERS/ UNAUTHORIZED,5,5
Stoneleigh Recovery Associates,FINANCIAL SERVICES/INSURANCE,7/20/2018,6/25/2018,RELEASE/ DISPLAY OF INFO,54,2
"Old RAR, Inc. (Formerly Known as Real Alloy Recycling, Inc.)",GENERAL BUSINESS,7/20/2018,5/23/2018,PHISHING,4032,2
"Pihakis Restaurant Group, LLC",GENERAL BUSINESS,7/20/2018,6/26/2018,PHISHING,485,1
Optoma Technology Inc.,GENERAL BUSINESS,7/24/2018,6/26/2018,HACKERS/ UNAUTHORIZED,685,13
Moore Stephens Tiller LLC,FINANCIAL SERVICES/INSURANCE,7/23/2018,4/9/2018,PHISHING,1032,22
"HSBC Bank USA, National Asscociation",FINANCIAL SERVICES/INSURANCE,7/23/2018,6/25/2018,RELEASE/ DISPLAY OF INFO,25,2
"Aston Park Health Care Center, Inc.",HEALTHCARE,7/23/2018,7/9/2018,RELEASE/ DISPLAY OF INFO,1,1
Orlando Orthopaedic Center,HEALTHCARE,7/23/2018,5/21/2018,HACKERS/ UNAUTHORIZED,19101,8
"Isaac Wiles Burkholder & Teetor, LLC",GENERAL BUSINESS,7/23/2018,6/12/2018,PHISHING,8,6
"Fairbanks North Star Borough (the ""Borough"")",GOVERNMENT,7/20/2018,5/29/2018,"HACKERS/ UNAUTHORIZED, ACCESS",6346,14
CottageClass Inc.,GENERAL BUSINESS,7/19/2018,6/29/2018,HACKERS/ UNAUTHORIZED,70,1
Helly Hansen AS,GENERAL BUSINESS,7/19/2018,7/16/2018,HACKERS/ UNAUTHORIZED,3817,23
"ComplyRight, Inc.",GENERAL BUSINESS,7/19/2018,6/14/2018,HACKERS/ UNAUTHORIZED,662475,18429
"CBIZ MHM, LLC",GENERAL BUSINESS,7/18/2018,5/23/2018,PHISHING,1246,13
"Blue Springs Family Care, P.C.",HEALTHCARE,7/18/2018,5/12/2018,HACKERS/ UNAUTHORIZED,44977,14
MedEvolve,HEALTHCARE,7/18/2018,5/11/2018,HACKERS/ UNAUTHORIZED,205434,362
Sheet Metal Workers' National Pension Fund,RELIGIOUS/NONPROFIT,7/18/2018,6/20/2018,RELEASE/ DISPLAY OF INFO,940,5
"Hearst Communications, Inc.",GENERAL BUSINESS,7/18/2018,4/17/2018,PHISHING,34,1
"Kaplan, Plavin & Steinhardt, LLP",GENERAL BUSINESS,7/18/2018,6/26/2018,HACKERS/ UNAUTHORIZED,912,3
Prosperity Bank,FINANCIAL SERVICES/INSURANCE,7/17/2018,6/13/2018,PHISHING,370,1
"Heacock Insurance Group, LLC and Heacock Payroll, LLC",FINANCIAL SERVICES/INSURANCE,7/17/2018,6/12/2018,PHISHING,4348,21
"The City of Bozeman, Montana",GOVERNMENT,7/16/2018,7/3/2018,HACKERS/ UNAUTHORIZED,2962,3
BioMarin Pharmaceutical Inc.,GENERAL BUSINESS,7/16/2018,6/21/2018,PHISHING,1120,5
"Vacation Resorts International, Inc.",GENERAL BUSINESS,7/16/2018,6/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",36,15
"Pinnacle Trailer Sales, Inc.",GENERAL BUSINESS,7/16/2018,4/30/2018,PHISHING,1215,669
"EBSCO Sign Group, LLC",GENERAL BUSINESS,7/16/2018,6/1/2018,HACKERS/ UNAUTHORIZED,871,49
Toyo Tire Holdings of Americas Inc.,GENERAL BUSINESS,7/13/2018,3/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",476,4
"Sanford Heisler Sharp, LLP",GENERAL BUSINESS,7/13/2018,6/13/2018,PHISHING,413,4
Howard University,EDUCATIONAL,7/13/2018,6/13/2018,PHISHING,156,4
Rocky Mountain Health Care Services,HEALTHCARE,7/13/2018,5/15/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1087,1
"DJO, LLC",HEALTHCARE,7/13/2018,6/1/2018,RELEASE/ DISPLAY OF INFO,1,1
Corrigan Krause CPAs,FINANCIAL SERVICES/INSURANCE,7/16/2018,6/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",273,4
Putnam Investor Services (Putnam),FINANCIAL SERVICES/INSURANCE,7/13/2018,4/20/2018,RELEASE/ DISPLAY OF INFO,16,1
"The Paquin Healthcare Companies, Inc.",GENERAL BUSINESS,7/13/2018,6/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",390,20
Platinum Partners Credit Opportunities Master Fund LP Receiver c/o Otterbourg,GENERAL BUSINESS,7/13/2018,5/19/2018,HACKERS/ UNAUTHORIZED ACCESS,77,1
North Carolina State University,EDUCATIONAL,7/16/2018,4/13/2018,HACKERS/ UNAUTHORIZED,9,1
Department of Commerce - Division of Employment,GOVERNMENT,7/13/2018,6/13/2018,RELEASE/ DISPLAY OF INFO,3,3
"Jenny Yoo Collection, Inc.",GENERAL BUSINESS,7/12/2018,6/19/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",17,1
Consumers National Bank,FINANCIAL SERVICES/INSURANCE,7/12/2018,6/6/2018,PHISHING,1998,1
Tommie Copper Inc,GENERAL BUSINESS,7/11/2018,6/1/2018,HACKERS/ UNAUTHORIZED,28437,968
"The Fruitful Yield, Inc.",GENERAL BUSINESS,7/11/2018,6/15/2018,HACKERS/ UNAUTHORIZED,632,13
"Premier Immediate Medical Care, LLC",HEALTHCARE,7/10/2018,5/11/2018,"HACKERS/ UNAUTHORIZED, ACCESS",205434,362
Jewish Federation of Cincinnati,RELIGIOUS/NONPROFIT,7/9/2018,5/14/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",812,12
ASRC Federal Holding Company,GENERAL BUSINESS,7/9/2018,5/30/2018,PHISHING,60,2
"Malcom and Baker, CPAs & Associates, Inc.",GENERAL BUSINESS,7/9/2018,5/24/2018,PHISHING,724,5
"The Terteling Company, Inc.; Western States Equip. Co.; Agri- Service LLC; 36th Street Garden Center",GENERAL BUSINESS,7/6/2018,5/9/2018,PHISHING,4650,2
"Cumberland County Hospital System, Inc.",HEALTHCARE,7/9/2018,6/12/2018,RELEASE/ DISPLAY OF INFO,4,4
"Coty, Inc.",GENERAL BUSINESS,7/6/2018,1/18/2018,HACKERS/ UNAUTHORIZED,4753,234
Coldwater Direct LLC,GENERAL BUSINESS,7/6/2018,6/26/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",165,1
"S.J. Gorowitz Accounting & Tax Services, P.C.",FINANCIAL SERVICES/INSURANCE,7/6/2018,5/23/2018,PHISHING,513,4
Career & Technology Centers of Licking County,EDUCATIONAL,7/6/2018,5/25/2018,"HACKERS/ UNAUTHORIZED, ACCESS",9578,55
Village of Wellington,GOVERNMENT,7/6/2018,6/6/2018,HACKERS/ UNAUTHORIZED,6125,9
The International Mission Board,RELIGIOUS/NONPROFIT,7/6/2018,6/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",187749,10949
"MSK Group, P.C.",HEALTHCARE,7/5/2018,5/7/2018,HACKERS/ UNAUTHORIZED,796,796
"The Information and Referral Federation of Los Angeles County, Inc., d/b/a 211 LA",RELIGIOUS/NONPROFIT,7/5/2018,5/15/2018,RELEASE/ DISPLAY OF INFO,26678,50
Vidant Medical Center,HEALTHCARE,7/5/2018,5/23/2018,RELEASE/ DISPLAY OF INFO,1,1
"Passport, Inc.",RELIGIOUS/NONPROFIT,7/4/2018,5/18/2018,RELEASE/ DISPLAY OF INFO,141,17
The Home for Little Wanderers,RELIGIOUS/NONPROFIT,7/3/2018,5/4/2018,HACKERS/ UNAUTHORIZED,1589,2
"Naviaux Dubow & Harris, LLC (""NDH"")",GENERAL BUSINESS,7/3/2018,4/10/2018,PHISHING,325,8
"Macy's, Inc",GENERAL BUSINESS,7/2/2018,6/11/2018,HACKERS/ UNAUTHORIZED,162507,2343
Arkansas Children's Hospital,HEALTHCARE,6/29/2018,5/9/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",8617,2
Trust Company of Illinois/TC Wealth Partners,FINANCIAL SERVICES/INSURANCE,6/29/2018,4/27/2018,PHISHING,2960,7
Spinnaker Trust,FINANCIAL SERVICES/INSURANCE,6/29/2018,4/17/2018,PHISHING,206,1
"Hasbro, Inc.",GENERAL BUSINESS,6/29/2018,5/20/2018,HACKERS/ UNAUTHORIZED,2066,11
"SGS North America, Inc.",GENERAL BUSINESS,6/29/2018,4/26/2018,PHISHING,383,8
RubinBrown LLP,FINANCIAL SERVICES/INSURANCE,6/29/2018,6/11/2018,"HACKERS/ UNAUTHORIZED, ACCESS",742,8
Northwest University,EDUCATIONAL,6/29/2018,6/20/2018,HACKERS/ UNAUTHORIZED,1802,5
"Waller & Associates, Inc.",GENERAL BUSINESS,6/29/2018,3/26/2018,HACKERS/ UNAUTHORIZED,1310,4
"Draper, Inc",GENERAL BUSINESS,6/29/2018,5/11/2018,HACKERS/ UNAUTHORIZED,2,2
"TRI Pointe Group, Inc.",GENERAL BUSINESS,6/28/2018,5/31/2018,RELEASE/ DISPLAY OF INFO,160,1
"SOS Intl, LLC",GENERAL BUSINESS,6/28/2018,5/18/2018,PHISHING,172,6
"Dollar Shave Club, Inc.",GENERAL BUSINESS,6/27/2018,6/13/2018,HACKERS/ UNAUTHORIZED,1077,40
"Equity National Title and Closing Services, Inc.",FINANCIAL SERVICES/INSURANCE,6/27/2018,6/15/2018,"HACKERS/ UNAUTHORIZED, ACCESS",17,1
"Bridgestone Americas, Inc.",GENERAL BUSINESS,6/27/2018,4/18/2018,HACKERS/ UNAUTHORIZED,25,1
"CarMax Business Services, LLC",FINANCIAL SERVICES/INSURANCE,6/27/2018,4/19/2018,RELEASE/ DISPLAY OF INFO,2,1
Solera National Bank,FINANCIAL SERVICES/INSURANCE,6/26/2018,4/18/2018,"HACKERS/ UNAUTHORIZED, ACCESS",858,18
Enchroma Inc,GENERAL BUSINESS,6/26/2018,5/17/2018,HACKERS/ UNAUTHORIZED,149,2
"Game Plan Advisors, Inc. / Wootton Financial Group",FINANCIAL SERVICES/INSURANCE,6/26/2018,5/21/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1286,4
Capital Integration Systems LLC,FINANCIAL SERVICES/INSURANCE,6/25/2018,2/22/2018,PHISHING,2321,26
City of Hopkinsville,GOVERNMENT,6/25/2018,5/9/2018,RELEASE/ DISPLAY OF INFO,120,1
"RevUp Group, LLC d/b/a RevUp Sports",GENERAL BUSINESS,6/25/2018,5/31/2018,"HACKERS/ UNAUTHORIZED, ACCESS",3576,99
Foundation Building Materials,GENERAL BUSINESS,6/25/2018,5/23/2018,PHISHING,900,3
"DiCicco, Gulman & Company",GENERAL BUSINESS,6/21/2018,5/10/2018,PHISHING,1354,182
"L'Occitane, Inc. d/b/a L'Occitane en Provence (""L'Occitane"")",GENERAL BUSINESS,6/21/2018,5/25/2018,HACKERS/ UNAUTHORIZED ACCESS,329,9
ESA Management LLC,GENERAL BUSINESS,6/21/2018,3/29/2018,HACKERS/ UNAUTHORIZED,1324,8
Advanced Technology Group,GENERAL BUSINESS,6/21/2018,5/11/2018,HACKERS/ UNAUTHORIZED,1020,6
"CAPTIVA MVP RESTAURANT PARTNERS LLC, operator of PDQ restaurants",GENERAL BUSINESS,6/22/2018,6/8/2018,HACKERS/ UNAUTHORIZED ACCESS,0,644463
"Tyler Technologies, Inc.",GENERAL BUSINESS,6/22/2018,5/25/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",47,2
Tuskegee University,EDUCATIONAL,6/22/2018,5/15/2018,PHISHING,14285,219
