ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
419,LogicalSystemsLLC,4/27/2020,3/5/2020,4,574
420,LonzaAmericaInc,3/11/2020,1/4/2020,1,88
421,LorienHealthServices,7/16/2020,6/6/2020,13,
422,NoRespondent,,,,
423,LuxeEnergyLLC,4/21/2020,10/19/2018,2,"1,018"
424,Lyfebin,,,,
425,MabreyBank,5/27/2020,1/30/2020,14,"9,671"
426,MagellanHealthInc,5/11/2020,4/6/2020,"5,158","1,650,500"
427,MainEventEntertainmentInc,4/29/2020,7/19/2019,,
428,MajorLindseyAfrica,6/3/2020,11/1/2017,1,115
429,"ManagementNetworkServices,LLC",5/4/2020,4/10/2019,200,"30,132"
430,MarksPlumbingParts,7/1/2020,6/12/2020,4,337
431,MassachusettsMutualLifeInsuranceCompany,6/30/2020,6/2/2020,2,4
432,MatSuSurgicalAssociatesAPC,5/15/2020,3/16/2020,3,"13,146"
433,MatrixAbsenceManagement,3/24/2020,3/6/2020,1,2051
434,MattressInsiderLLC,6/15/2020,1/11/2020,22,"1,708"
435,MaxLinearInc,6/10/2020,4/15/2020,1,"2,689"
436,MBSTexbookExchangeLLC,4/30/2020,2/18/2020,23,"1,847"
437,McCoyInvestmentsIncdbaIDSBlastandForecastSalesInc,7/11/2020,3/17/2020,98,101
438,McKinneyCompanyCPA,6/2/2020,3/24/2020,2,
439,McKissockInvestmentHoldingsLLC,5/1/2020,11/16/2019,6,"10,839"
440,McPhersonCollege,7/10/2020,10/3/2019,18,"3,075"
441,MeadvilleMedicalCenter,3/6/2020,12/5/2019,7,"6,970"
442,MedicalDepotIncdbaDriveDeVilbissHealthcare,7/3/2020,5/27/2020,218,1792
443,MediclaimLLC,5/29/2020,4/1/2020,3,"14,931"
444,MelroseWakfieldHealthcareInc,7/2/2020,2/18/2020,1,"7,344"
445,MemorialHospital,7/13/2020,7/2/2020,2,2
446,MentalHealthCenterofBoulderCountyIncdbaMentalHealthPartners,8/21/2020,3/26/2020,2,"3,367"
447,MeraniHospitalityInc,7/10/2020,2/16/2017,294,"45,758"
448,MeridianHealthServicesCorp,4/27/2020,12/9/2019,"86,995","111,372"
449,MeritizeLendingLLC,3/6/2020,9/9/2019,1,439
450,MerrillLynch,,,,
451,MerrittParkHoldingsLLC,4/16/2020,6/26/2019,1,"2,430"
452,MetropolitanCommunityCollegeofKansasCity,8/14/2020,3/10/2020,273,"638,186"
453,MichianaHematologyOncologyPC,5/28/2020,4/7/2020,,500
454,MidMichiganCollege,7/10/2020,4/17/2020,99,"17,000"
455,MidlandAreaCommunityFoundation,5/29/2020,3/29/2020,1,3
456,MidwestBehavioralHealthLLC,,,,
457,MilestonesFinancialPlanningLLCdbaFoxCompanyWealthManagement,5/27/2020,3/5/2020,1,276
458,MillarLawAPC?DataBrech,3/27/2020,11/14/2019,3,90
459,MillimanInc,8/6/2020,7/23/2020,1,570
460,MoffatNichol,5/26/2020,10/24/2019,1,141
461,MonumentMicrocapPartnersLLC,8/28/2020,6/29/2020,4,21
462,MoorestownVisitingNurseAssociation,5/7/2020,11/29/2019,5,"26,465"
463,MorganStanley,7/10/2020,3/1/2016,"154,619","14,256,250"
464,MorganStanley,7/10/2020,2/21/2020,450,"209,881"
465,MoyerWhiteLLP,8/17/2020,1/10/2020,2,327
466,MrAdamBeierleofNestlehutFinancialServicesInc,1/13/2020,10/3/2019,2,56
467,MrChuckPorterCPA,4/23/2020,1/13/2020,3,580
468,MrRichardDemariaofWealthCapitalGroup,2/19/2020,10/4/2019,1,631
469,MultisealInc,3/13/2020,2/22/2020,161,175
470,MyronCorpdbaPenFactory,6/5/2020,9/1/2019,361,"13,965"
471,NationalCatholicEducationalAssociation,7/9/2020,4/10/2020,4,91
472,National Filter Media,3/6/2020,12/1/2019,17,214
473,NationalInstituteforAutomotiveServiceExcellence,3/31/2020,12/18/2019,170,"12,603"
474,NationalParkFoundation,8/20/2020,5/14/2020,1,31
475,NationalSteelCorporation,,,,
476,Nature'sWayBrandsLLC,3/27/2020,8/20/2019,4,"1,821"
477,nbkcbank,1/17/2020,5/24/2019,11,"1,639"
478,NCHHealthcareSystemsInc,2/14/2020,12/19/2019,9,"54,234"
479,SlickWrapsInc,,,,
480,NeonTherapeutics,2/22/2020,7/28/2019,1,6
481,NephrologyPhysiciansLLC,,,,
482,NewAvenuesInc,5/28/2020,4/1/2020,"1,000","1,000"
483,NewHorizonsCreditUnion,6/15/2020,8/7/2019,47,"71,488"
484,NewYorkCityBalletInc,8/14/2020,4/1/2020,0,"2,224"
485,NewYorkLifeInsuranceCompany,6/1/2020,4/17/2020,2,"1,674"
486,NewsPressGazetteCompany,6/16/2020,5/31/2020,1,"1,212"
487,NielsonHooverGroup,7/27/2020,1/14/2020,5,"1,510"
488,NorthernerScandinaviaAB,1/17/2020,11/30/2019,28,"2,091"
489,NorthwestBank?DataBank,5/28/2020,5/11/2020,36,43
490,NortonlifelockInc,5/19/2020,12/20/2019,3,177
491,NovariaGroup,4/3/2020,11/29/2019,83,"1,330"
492,NSLeasingLLC,4/6/2020,10/16/2019,126,"5,596"
493,NutramaxLaboratories,3/27/2020,12/12/2019,1,634
494,NYROrganicInc,3/5/2020,8/21/2019,237,"12,999"
495,OkiDataAmericas,3/3/2020,10/2/2018,2,441
496,OmahaHotelsInc,2/26/2020,1/19/2020,1,44
497,One Hope United,5/28/2020,2/10/2019,6,"2,722"
498,OneMainFinancial,8/3/2020,6/19/2020,1,42
499,OostraRouwAssociatesInc,1/24/2020,12/26/2019,2,"2,376"
500,OrascomConstructionUSAInc,6/3/2020,1/15/2019,17,"5,911"
501,OrchardMedicalConsulting,7/1/2020,1/16/2020,1,"2,437"
502,OtisRBowenCenterforHumanServices,3/2/2020,8/6/2019,"4,572","4,954"
503,OTRLeasingLLC,7/28/2020,1/14/2020,395,"21,836"
504,OttawaKentInsuranceAgencyInc,6/3/2020,11/4/2019,38,"5,760"
505,OwensEarCenter,7/27/2020,5/28/2020,4,"19,908"
506,OxfamAmericaInc,4/27/2020,3/8/2020,2,1646
507,Pace,5/19/2020,4/10/2020,871,"12,600"
508,PacificGuardianLifeInsuranceCompanyLtd,2/18/2020,11/4/2019,15,"55,840"
509,PacificLifeInsuranceCompany,1/2/2020,10/30/2019,1,26
510,PacificPressPublishingAssociation,4/27/2020,6/1/2019,63,"5,100"
511,PacificSpecialtyInsuranceCompany,1/24/2020,3/20/2019,5,"4,957"
512,PaperlessPayCorporation,,,,
513,ParkerSwearnginLLP,8/24/2020,2/7/2020,1,221
514,PatFolzRobbinsInc,8/25/2020,5/29/2020,1,86
515,PatriotGrowthInsuranceServicesLLC,8/12/2020,12/23/2019,16,"2,874"
516,PaulQuinnCollege,6/1/2020,5/24/2019,121,"24,037"
517,PCLConstructorInc,5/14/2020,2/18/2020,50,"18,272"
518,PCPGroupLLCdbaPellonConsumerProducts,2/14/2020,9/6/2019,1,182
519,PeabodyPropertiesInc,8/5/2020,11/14/2019,2,"5,306"
520,PEF Services LLC,2/24/2020,11/25/2019,3,"2,397"
521,PennellCPA,7/27/2020,2/29/2020,7,"1,398"
522,PennsylvaniaBarAssociation,5/26/2020,3/6/2020,2,"2,866"
523,PeregrineCorporationdbaPSL Services,5/4/2020,12/16/2019,1,"2,401"
524,PersonalTouchHoldingCorp,1/28/2020,12/1/2019,"3,841","169,303"
525,PharmaviteLLC,7/9/2020,6/12/2020,1,656
526,PhoenixChildrensHospital,1/15/2020,9/5/2019,1,"2,353"
527,PhysicalMedicineandRehabilitationSpecialistsPC,,,,
528,Pierce GroupBenefits,4/1/2020,,2,27
529,PIHHealth,1/10/2020,6/11/2019,24,"199,548"
530,PioneerRailcorp,6/9/2020,11/22/2019,27,383
531,PitneyBowes,,,,
532,PivotTechnologySolutionsInc,7/24/2020,6/9/2020,34,"4,078"
533,PlyGemResidentialSolutions,7/26/2020,7/26/2019,780,"68,741"
534,PointesConsulting,5/13/2020,1/21/2020,2,3
535,PositecToolCorporation,3/3/2020,12/6/2019,44,"1,778"
536,PowerEngineersInc,8/4/2020,12/19/2019,7,"3,406"
537,PremierPoolsofCentralFloridaInc,1/17/2020,11/8/2019,1,75
538,PresidioInc,4/21/2020,3/5/2020,128,"3,324"
539,GallagherBassett,,,,
540,PrimeCommunications,5/18/2020,12/11/2019,368,"8,001"
541,PrimoHoagiesFranchisingInc,4/17/2020,7/15/2019,19,"63,697"
542,PrincetonCommunityHospital,5/26/2020,2/18/2020,1,"2,094"
543,PrincipalLifeInsuranceCompany,4/8/2020,12/9/2019,280,"20,333"
544,PrismaHealth,7/20/2020,2/18/2020,24,"32,335"
545,ProfessionalEyeCareAssociatesofAmerica,3/6/2020,1/21/2020,2,79
546,ProfessionalGroundsInc,2/28/2020,1/25/2020,1,577
547,ProminentTitleAgencyLLC,2/12/2020,4/22/2019,143,"5,370"
548,PrudentialInsuranceCompanyofAmerica,3/6/2020,5/1/2018,17,"1,945"
549,PULAUCorporation,8/28/2020,6/11/2020,18,"2,921"
550,QSCLLC,7/1/2020,12/20/2019,1,88
551,QualDermPartners,3/17/2020,11/26/2019,1,109
552,SlickWrapsInc,,,,
553,QuestEducationLLC,5/26/2020,4/17/2020,17,"1,314"
554,QuickenLoansInc,2/14/2020,1/8/2020,2,44
555,RacineCountyWisconsin,3/4/2020,4/25/2019,2,"1,924"
556,RadiationOncologyAssociatesPC,,,,
557,RailWorksCorporation,2/27/2020,,496,"23,751"
558,RainbowFinanceLLC,1/24/2020,5/28/2019,4,493
559,RanchandHomeSupplyLLC,4/13/2020,10/29/2020,3,145
560,RandWorldwide,8/11/2020,6/24/2020,9,424
561,RayInsuranceAgencyInc,4/17/2020,10/16/2019,8,661
562,RaymondJamesFinancial,8/10/2020,,17,461
563,RaymondJamesFinancial,7/19/2019,5/28/2019,1,12
564,ReaderlinkDistributionServicesLLC,7/10/2020,6/3/2020,9,"1,375"
565,RealServicesInc,6/18/2020,5/7/2020,1,1
566,RealizedHoldingsInc,6/11/2020,5/18/2020,1,177
567,ReedmanTollAutoWorld,5/12/2020,3/17/2020,2,"14,474"
568,RehabilitationHospitalofIndiana,2/7/2020,1/27/2020,3,3
569,RelationInsuranceIncdbaRelationInsuranceservicesofGeorgia,2/10/2020,8/14/2019,88,"13,885"
570,RepublicFinance,6/5/2020,10/29/2019,3,"2,558"
571,RHWhiteCompaniesInc,5/20/2020,2/18/2020,1,974
572,RichardEMunozCPA,6/10/2020,1/24/2020,3,847
573,RiverRockVenturesInc,4/24/2020,2/18/2020,81,737
574,RobertLSmithCPA,2/26/2020,9/5/2019,1,165
575,RogueCoLLC,5/29/2020,3/6/2020,14,975
576,RonaldLWolfeAssociatesInc,4/2/2020,9/8/2019,15,"11,700"
577,RoselandAnimalHospital,,,,
578,RoyalTitleServicesInc,3/24/2020,3/23/2020,2,2
579,RSMUSLLP,,,,
580,RudnikSuretyInc,6/5/2020,2/4/2020,8,188
581,SageSettlementConsulting,5/1/2020,1/30/2020,1,63
582,SaginawValleyStateUniversity,5/15/2020,9/18/2019,2,50
583,SaintJosephRegionalMedicalCenterInc,5/28/2020,4/1/2020,1000,1000
584,SalesBenchmarkIndex,2/14/2020,11/16/2019,6,267
585,SallieMae,2/27/2020,1/30/2020,1,23
586,SanbornTuepkerAssociatesPC,4/22/2020,1/28/2020,2,486
587,SandCompaniesInc,8/11/2020,4/15/2020,15,554
588,SandraEskenaziMentalHealthCenter,,,,
589,SceptreHospitalityResources,3/13/2020,1/22/2020,44,"4,340"
590,ScholarshipAmericaInc,8/5/2020,6/7/2019,1,"6,470"
591,SchrammInc,8/24/2020,6/26/2020,4,"1,246"
592,SchwartzKanyockLLC,8/14/2020,4/17/2020,2,106
593,SedgwickClaimsManagementInc,8/6/2020,7/31/2020,2,256
594,SeedsofPeace,8/19/2020,2/1/2020,1,222
595,SEIUNationalIndustryPensionFund,8/4/2020,7/5/2020,8,655
596,Select ExpressLogistics,7/27/2020,2/7/2020,37,"7,936"
597,SelectedBenefitsInc,8/12/2020,6/15/2020,1,8000
598,ShamrockGreenHoldingsdbaFMExpressions,2/28/2020,1/15/2020,1,668
599,SharesPostInc,12/20/2019,9/6/2019,43,
600,SharmaWassonAssociatesInc,1/8/2020,9/9/2019,1,867
601,ShoupManufacturingCoInc,5/1/2020,2/10/2020,6,342
602,SignatureBank,5/1/2020,12/2/2019,1,295
603,SiliconValleyCommunityFoundation,4/20/2020,8/23/2018,8,"7,431"
604,SistersofStBenedict,,,,
605,SklarCarmosinCompany,8/24/2020,4/6/2020,2,"2,216"
606,SlickwrapsInc,,,,
607,Anthem,,,,
608,SobelWestexInc,7/1/2020,4/10/2020,10,385
609,SocietyforIndustrialandAppliedMathematics,7/6/2020,2/13/2020,10,645
610,SouthBendMedicalFoundation,5/28/2020,4/1/2020,,
611,SouthernMedicalHealthSystems,5/26/2020,2/18/2020,1,"3,766"
612,SouthernTideLLC,8/12/2020,4/9/2020,9,"1,135"
613,SouthwestAirlinesPilotsAssociation,4/17/2020,1/25/2020,9,"1,342"
614,SouthwireCompanyLLC,3/23/2020,11/27/2019,16,643
615,SpinriteInc,4/6/2020,11/29/2019,8,"1,917"
616,SprintCorporation,4/9/2020,8/17/2015,12,388
617,SprintCorporation,3/31/2020,8/13/2019,3,121
618,StAmbroseUniversity,7/6/2020,1/18/2016,5,312
619,StLucieCountyBoardofCommissioners,6/5/2020,10/2/2019,1,797
620,StMichaelsCollege,6/4/2020,11/3/2019,1,"2,376"
621,StarCorpLLC,1/27/2020,12/13/2019,13,582
622,SteelPartnersHoldingsLP,6/29/2020,4/18/2020,804,"23,969"
623,SteeleCounty?Data Breach,3/19/2020,9/17/2019,11,"6,659"
624,StericycleInc,8/26/2020,10/1/2019,"1,582","80,890"
625,StockpileInc,8/3/2020,4/17/2020,259,"14,500"
626,StoneMorPartnersLP,12/26/2019,5/20/2019,12,44
627,StracciLawGroupPC,5/12/2020,4/30/2020,226,272
628,STRATATrustCompany,6/19/2020,2/10/2020,154,"12,238"
629,SummitMedicalAssociates,8/7/2020,1/24/2020,"7,018","7,264"
630,SvihlaAssociatesCPAsLLC,6/30/2020,3/19/2020,253,494
631,SlickWrapsInc,,,,
632,SykesEnterprisesIncorporated,7/1/2020,4/5/2020,5,"1,075"
633,Symbotic LLC,5/26/2020,4/26/2020,1,61
634,SymphonyFinancialPlanning,6/19/2020,3/9/2020,3,216
635,SynergiPartnersInc,7/29/2020,1/9/2020,1,"1,008"
636,TMobileUSAInc,3/10/2020,11/26/2019,7,"1,027"
637,TOEngineers,8/21/2020,4/18/2020,3,828
638,TabletInc,2/14/2020,10/24/2019,4,577
639,TabletInc,5/11/2020,4/24/2020,2,15
640,TaitTowersManufacturingLLC,6/11/2020,2/16/2020,1,"44,109"
641,Talon LogisticsServicesLLCTalonLogisticsLLC,2/28/2020,2/1/2020,47,87
642,TargetTruckRentalsInc,,,,
643,TaxActInc,4/1/2020,3/10/2020,4,130
644,Taylor MorganCPAPC,7/17/2020,4/26/2020,6,"1,837"
645,TDBankNA,3/2/2020,11/20/2019,2,207
646,TDBankNA,4/30/2020,,0,598
647,TechniqueGolfLLCdbaSuperStrokeUSA,6/4/2020,10/10/2019,45,"2,022"
648,TelamonCorporation,2/17/2020,10/8/2019,23,853
649,Tellepsen,4/15/2020,2/19/2020,4,"5,018"
650,TennesseeOrthopaedicAlliance,2/14/2020,8/16/2019,83,"81,237"
651,TerlatoWineGroup,2/12/2020,8/22/2019,2,485
652,TheChicagoBarAssociation,7/13/2020,5/22/2020,1,375
653,TheCityofDothan,1/10/2020,8/26/2019,10,"12,774"
654,TheCityofLosBanosCalifornia,1/30/2020,9/23/2019,1,8716
655,TheCityofPortOrange,1/10/2020,8/27/2019,4,5615
656,TheCityofSiouxCityIowa,,8/26/2019,,3563
657,TheCityofSunriseFlorida,8/31/2020,4/10/2020,1,"21,924"
658,TheClevelandInstituteofArt,1/10/2020,5/31/2019,1,140
659,TheCorporationofSaintMarysCollegeNotreDame,,,,
660,TheCreditProsIntl,7/30/2020,7/9/2016,179,"10,753"
661,TheDeckStore,8/27/2020,3/16/2020,81,"4,459"
662,TheHealthandHospitalCorporationofMarionCountydbaEskenaziHealth,2/28/2020,2/17/2020,12,12
663,TheIndependentOrderofForesters,2/21/2020,1/31/2020,1,34
664,TheJaneGoodallInstitute,7/31/2020,5/1/2020,1035,"110,642"
665,TheJoshuaAcademyIncdbaJoshuaAcademy,1/10/2020,,191,216
666,TheKingsCollege,4/10/2020,4/1/2020,1,387
667,TheLatinSchoolofChicago,8/18/2020,5/1/2020,11,"1,880"
668,TheLebemuthCompanyInc,7/14/2020,4/20/2020,477,617
669,TheNationalAssociationofManufacturers,1/16/2020,12/7/2018,1,70
670,TheNewYorkCityBarAssociation,6/30/2020,4/23/2020,1,583
671,TheOunceofPreventionFund,8/4/2020,8/29/2019,22,"23,420"
672,ThePointeAtKilpatrick,5/13/2020,1/21/2020,14,609
673,ThePointeAtMorris,5/13/2020,1/21/2020,1,269
674,ThePointeAtPontiac,5/13/2020,1/21/2020,24,704
675,ThePresidioGroup,8/5/2020,5/18/2020,1,55
676,ThePrudentialInsuranceCompanyofAmerica,2/18/2020,1/2/2020,2,2
677,TheResultsCompaniesLLC,3/11/2020,5/28/2019,35,"25,376"
678,TheRoasterieInc,2/20/2020,6/1/2019,49,"4,283"
679,TheStowCompany,1/29/2020,8/25/2019,15,1267
680,TheUPSStoreInc,1/21/2020,9/29/2019,300,"17,094"
681,TheVeniceGolfandCountryClub,5/22/2020,1/10/2020,3,741
682,TheWahlLawFirmPLLC,4/2/2020,11/6/2019,1,532
683,TherapiaStaffing,5/27/2020,1/23/2020,2,406
684,ThreeEdisonLakesLP,,,,
685,TigerChef,4/10/2020,7/17/2019,14,"1,154"
686,TitanAmericaLLC,3/19/2020,5/3/2019,1,512
687,TompkinsInternational,7/31/2020,4/30/2020,1,7
688,TotalQualityLogisticsLLC,3/25/2020,10/1/2019,111,"8,100"
689,TQConstructorsInc,2/14/2020,1/24/2020,7,115
690,TransamericaLLCanditsAffiliates,8/4/2020,7/31/2020,1,1
691,TransamericaLLCanditsAffiliates,7/22/2020,6/26/2020,1,1
692,TravelTripperLLC,1/24/2020,10/15/2019,6,"1,574"
693,TrilogyHealthServicesLLC,8/27/2020,,80,80
694,TrinityBenefitAdvisors,4/24/2020,5/6/2019,40,1513
695,TRPSumnerPLLC,3/16/2020,10/2/2019,5,"3,423"
696,TrueFireLLC,2/13/2020,8/3/2019,75,"8,190"
697,TupperwareUSInc,4/21/2020,3/19/2020,98,"4,763"
698,Twitter,,,,
699,USellisCompanyCPA,2/13/2020,11/25/2019,1,54
700,USRestaurantsInc,7/21/2020,2/7/2020,47,"32,104"
701,USXpressEnterprisesInc,4/10/2020,9/1/2019,512,"17,262"
702,UChicagoMedicineIngallsMemorial,4/15/2020,2/18/2020,756,"6,091"
703,uDecorIncdbaProceilingtilescom,5/7/2020,4/17/2020,30,1663
704,Ultrafabrics Inc,8/26/2020,3/24/2020,2,189
705,UncleBillsPetCenter,7/21/2020,3/10/2020,998,1021
706,Unilever,7/14/2020,5/19/2020,2,269
707,UnionHospitalInc,8/17/2020,8/10/2020,10,10
708,UnitedCerebralPalsyHeartland,4/24/2020,2/21/2020,2,614
709,UniversityAccountingServiceLLC,7/17/2020,5/27/2020,1,12
710,UniversityofDetroitMercy,8/14/2020,2/7/2020,230,"34,675"
711,UniversityofMinnesotaPhysicians,3/30/2020,1/30/2020,3,683
712,UniversityofSouthCarolinaBusinessPartnershipFoundation,8/18/2020,2/7/2020,1,282
713,UrbanCompassInc,7/1/2020,5/24/2019,34,"14,183"
714,UrologyofIndiana,,,,
715,US International MediaLLC,6/29/2020,4/26/2020,1,700
716,UtahPathologyServicesInc,8/29/2020,6/24/2020,7,"112,124"
717,UWMFoundationInc,8/20/2020,5/14/2020,6,"1,959"
718,ValenciaCollege,6/15/2020,11/27/2019,2,"3,817"
719,ValleyExpositionService,1/9/2020,6/25/2019,33,"1,524"
720,ValmarkFinancialGroupLLC,8/21/2020,3/31/2020,1,74
721,ValueAddedPackagingInc,8/10/2020,7/30/2020,1,64
722,VanOrdenLundCannonPLLC,6/1/2020,,8,"3,082"
723,VerigentLLC,7/17/2020,10/21/2019,35,"4,360"
724,VikingPartnersLLC,1/16/2020,8/14/2019,1,272
725,ViscogliosiBrosLLC,4/14/2020,8/26/2019,1,329
726,ViskaseCompaniesInc,4/27/2020,3/31/2020,26,305
727,VMSFundAdministrationLLC,3/20/2020,1/21/2020,1,467
728,VolkOpticalInc,5/26/2020,2/11/2020,4,358
729,VolusionLLC,4/20/2020,9/7/2019,"7,914","541,000"
730,VTSanAntonioAerospaceInc,8/25/2020,5/10/2020,11,"4,392"
731,WabashFriendsCounselingCenter,6/5/2020,4/9/2020,1,1
732,WagstaffCartmellLLP,7/24/2020,2/14/2020,168,"7,837"
733,WarnerWealthcareServicesLLC,,,,
734,WarrenGBenderCompanydbaBenderInsuranceSolutions,5/5/2020,8/6/2019,1,100
735,WaxmanIndustriesInc,4/16/2020,11/23/2019,1,302
736,WayneStreetAssociatesLLC,,,,
737,WealthEnhancementGroupLLC,7/23/2020,3/22/2020,3,"2,893"
738,WebBank,1/10/2020,11/4/2019,1,106
739,WeberandCompanyInc,4/3/2020,1/27/2020,3,"1,267"
740,WebsterBankNA,1/3/2020,12/18/2019,1,1
741,WellsFargoBankNA,3/18/2020,2/1/2020,2,"3,595"
742,Cafepress,,,,
743,WESCODistributionInc,2/20/2020,8/15/2018,17,463
744,WestcorLandTitleInsuranceCompany,8/25/2020,1/10/2020,790,"76,067"
745,WESTECHInternational Inc,6/19/2020,5/10/2020,5,"3,997"
746,WichitaStateUniversity,3/6/2020,12/3/2019,"1,203","440,968"
747,WilliamsHartBoundasEasterbyLLP,8/28/2020,5/12/2020,304,"~35,000"
748,WinamacCoilSpringInc,4/7/2020,1/21/2020,43,45
749,WirepathHomeSystemsLLCdbaControl4andordbaSnapAV,4/6/2020,10/13/2019,5,408
750,WisconsinHistoricalSociety,1/21/2020,6/8/2019,19,"2,206"
751,WolffPrincipalHoldingsLP,4/10/2020,8/15/2019,2,"1,245"
752,WomensCareCenterInc,,,,
753,WoodlawnDentalCenter,5/18/2020,3/19/2020,9,"14,419"
754,WoodsandWoodsLLC,3/11/2020,1/15/2020,"12,443","51,600"
755,WurkforceInc,8/3/2020,11/22/2019,8,"4,761"
756,YogaFit,7/22/2020,4/11/2020,12,735
757,YountHydeBarbourPC,5/27/2020,10/15/2019,2,"2,294"
758,YouthEntrepreneurs,8/4/2020,2/7/2020,2,932
759,ZerbeeLLC,3/20/2020,10/22/2019,49,"2,676"
760,ZetaTauAlphaFraternity,7/16/2020,4/27/2020,1,34
761,47 BrandLLCandTwinsRetailLLC,8/30/2019,4/30/2019,26,"1,800"
762,AandAGlobalImportsInc,1/9/2019,8/15/2017,553,"52,441"
763,ATCrossCompany,6/26/2019,5/9/2019,18,"1,248"
764,AARCorp,8/6/2019,3/10/2019,556,"4,431"
765,AbbottLaboratories,2/6/2019,1/19/2019,88,"16,600"
766,AbelHR,4/25/2019,11/11/2018,6,2637
767,ABMIndustriesIncorporated,3/12/2019,1/8/2018,652,"42,366"
768,AboundWealth,1/28/2019,12/23/2018,2,292
769,AccurateWordLLC,8/16/2019,8/16/2019,6,2518
770,AcrisureHeritageInsuranceAgencyLLCdbaTheHeritageCompanies,4/10/2019,9/20/2018,3,2286
771,AcrisureLLCdbaFiliceInsuranceAgency,5/31/2019,4/3/2019,20,"30,821"
772,AcuityAMutualInsuranceCompany,3/20/2019,2/11/2019,3,221
773,AdenaHealthSystem,12/31/2018,5/8/2018,3,1717
774,AdvocateAuroraHealthIncdbaAdvoateChristMedicalCenter,4/25/2019,4/19/2019,4,51
775,AdvocateShermanHospital,3/8/2019,5/8/2018,18,"5,868"
776,AegisMedicalGroup,11/8/2019,7/24/2019,5,"9,800"
777,AeroGrowInternationalInc,4/5/2019,10/29/2018,424,"27,488"
778,AetnaInc,1/30/2019,6/1/2018,2,"2,334"
779,AetnaLifeInsuranceCompany,5/17/2019,3/1/2019,1,189
780,AetrexWorldwideInc,1/17/2019,6/22/2018,206,"14,291"
781,AGSourceInc,3/22/2019,12/22/2018,6,233
782,AimbridgeHospitalityHoldingsLLC,12/31/2018,6/7/2018,1989,"120,573"
783,Aires,8/1/2019,10/10/2018,20,"2,002"
784,AisinHoldingsofAmericaInc,5/24/2019,5/31/2018,"3,403","9,046"
785,AkinDohertyKleinandFeugePC,5/14/2019,2/8/2019,10,4007
786,AkunaCapitalLLC,10/10/2019,7/25/2019,2,409
787,AlanaHealthcare,4/12/2019,12/26/2018,2,2685
788,AlightSolutionsLLC,8/26/2019,9/22/2014,105,"19,379"
789,AllConnectInc,8/13/2019,,1,8
790,AllenCommunityCollege,9/17/2019,7/30/2019,1,"1,822"
791,AllstateInsuranceCompany,4/10/2019,12/21/2017,7,55
792,ALMMediaLLC,1/23/2019,7/7/2018,17,933
793,AmateurAthleticUnion,9/13/2019,10/1/2018,"5,286","287,661"
794,AmericaJuiceCoLLC,4/8/2019,11/8/2018,40,4843
795,AmericanAssociationofNurseAnesthetists,3/8/2019,9/21/2018,2,438
796,AmericanBoardofMedicalSpecialties,7/31/2019,3/30/2019,1,234
797,AmericanCancerSocietyInc,3/1/2019,1/8/2019,115,8716
798,AmericanElectricPower,4/26/2019,12/9/2018,1,4197
799,AmericanFranchiseHoldingsLLC,8/9/2019,3/29/2019,1,428
800,AmericanGeneralLifeInsuranceCompany,6/27/2019,5/8/2019,1,1
801,AmericanGeneralLifeInsuranceCompany,6/11/2019,5/1/2019,1,1
802,AmericanMedicalResponseInc,6/7/2019,9/24/2018,317,"23,356"
803,Americares,7/19/2019,2/23/2019,1,258
804,AmeripriseFinancialInc,2/27/2019,8/7/2018,21,2984
805,AmeripriseFinancialInc,6/26/2019,6/18/2019,1,1
806,AmeripriseFinancialInc,7/31/2019,7/13/2019,1,41
807,AmeripriseFinancialInc,1/4/2019,12/8/2018,1,1
808,AmeripriseFinancialInc,10/16/2019,10/7/2019,1,2
809,AmeripriseFinancialInc,12/21/2018,8/28/2018,3,280
810,AmeripriseFinancialInc,11/20/2019,11/18/2019,1,1
811,AmeritasLifeInsuranceCorp,7/8/2019,5/1/2019,471,"40,000"
812,AmsterdamPrintingandLithoInc,5/14/2019,2/1/2019,51,1835
813,AndyFrainServicesInc,9/3/2019,5/22/2019,3,"3,948"
814,AntiqueMallofCrownPointInc,,11/8/2018,11,11
815,AnvilAccountingServicesLLConbehalfofStudentMediaGroupSpringboardInc,7/29/2019,4/1/2019,40,746
816,ApexBenefitsGroupInc,7/8/2019,7/2/2019,1,1
817,AppleMortgage,6/5/2019,5/3/2019,4,1867
818,AppliedBank,1/21/2019,10/30/2018,1,752
819,AppliedDataFinanceLLCdbaPersonifyFinancial,1/31/2019,7/21/2018,29,9.939
820,AppliedEcologicalServicesInc,7/11/2019,6/17/2019,8,497
821,APRConsultingCo,4/10/2019,11/26/2018,2,185
822,AprimaMedicalSoftwareInc,9/9/2016,9/5/2016,1,180
823,AptusHealthInc,1/31/2019,8/17/2018,1,235
824,ArizonaDentalInsuranceServiceIncdbaDeltaDentalofArizona,11/8/2019,7/8/2019,70,"12,886"
825,ArizonaGameandFishDepartment,8/21/2019,7/22/2019,1,"1,089"
826,Artcom,10/11/2019,7/5/2019,19,"2,078"
827,ArthurJGallagher&Co,11/26/2019,3/15/2019,286,"3,330"
828,AsburyAutomotiveGroupInc,7/26/2019,5/14/2019,5,197
829,Ascension,,,,
830,ASCORPIncdbaDebcoConstructionInc,6/28/2019,5/4/2019,1,1091
831,AshtonWoodsHomes,9/26/2019,4/8/2019,5,"2,089"
