Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
wwwtommiecoppercomMt.Kisco,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com",7/1/2018,8/15/2018,7/1/2018,,,Discover Card account information,6
Thomas Chandler Thomas & Hinshaw LLP,,None,"James Giszczak, McDonald Hopkins PLC, 39533 Woodward Ave, Suite 318, Bloomfield Hills, MI 48304; 248-220-1354; jgiszczak@mcdonaldhopkins.com",Follow up to 7/23/18 notice,8/14/2018,,,,Name and SSN,1 Additional
"Concept Title Services, Inc.","2950 SW 27th Avenue, Suite 210, Miami, Florida 33133","Patricia Espinosa, 305-448-5252",N/A,Discovered 8/7/18,8/14/2018,,,8/7/2018,"Contact information, financial information (i.e. account number); email communications; government identification; and possibly corporate or organizational records containing personal information.",2
Bank of America,,"Carolos Oliveira, ",N/A,Informed of breach on 7/13/18,8/13/2018,,,7/13/2018,"Name, physical and/or billing address, credit card number, exp date and CVV number (and may have included gender, birthdate, phone number and email address)",2
"Hasbro, Inc.","1027 Newport Ave, Pawtucket, RI 02861",None,"Tanya Forsheit, Frankfurt Kurnit Klein & Selz PC, 310-579-9615, tforsheit@fkks.com",9/15-18/17,8/10/2018,9/15/2017,9/18/2017,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,2
Gridiron Inc,"1567 Lisbon Street, Lewiston, Maine 04240","Sahan Martin, Owner, Gridiron Restaurant, 207-777-6353; gridiron04240@aol.com",N/A,11/21/2017 (discovered 6/20/18),8/6/2018,11/21/2017,,6/20/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Unknown (notification to customers thru sign in Entrance)
"North Amercian Power & Gas, LLC","20 Glover Ave., Norwak, CT  06580",None,"Christopher Cwalina, Norton Rose Fullbright US LLP, 202-662-4691; chris.cwalina@nortonrosefullbright.com",Unknown (discovered 5/10/18),8/3/2018,NA,,5/10/2018,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,Approx 17
"American Express Travel Related Services, Company","General Counsel's Office, 200 Vesey Street, NY, NY 10285","Sarah Statz, VP & Sr. Counsel, 212-640-5051; Sarah.E.Statz@aexp.com",N/A,7/5/18-7/9/18 ,8/2/2018,7/5/2018,7/9/2018,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",17
Manduka,,None,"Sean Hoar, Lewis Brisbois Bisgaard & Smith LLP, 971-712-2795; Sean.Hoar@lewisbrisbois.com",2/22/17 - 3/5/18; 5/18/18-5/20/18; 7/5/18 at aprox 11 AM to 7/6/18 approx 2:00 PM,"8/1/18, 3/27/18",2/22/2017,"3/5/18, 5/20/18, 7/6/18",,"Payment card information including name, card number, exp date and security code",2 additional
Plant Therapy,,None,"Christopher Ballod, Lewis Brisbois Bisgaard & Smith, LLP, 215-977-4077; Christopher.Ballod@lewisbrisbois.com","3/29/18 to May 11, 2018",7/30/2018,3/29/2018,,,"Name, card number, exp date and security code",Approx. 77
Bank of Hope,,None,"Kris Kleiner, Cooley, 720-566-4048; kkleiner@cooley.com",6/28-7/5/18,7/30/2018,6/28/2018,7/5/2018,,"Name, account number and taxpayer or employer ID number",1
Loyola University of Chicago,"820 N. Michigan Avenue, Chicago, IL 60611","Danielle Hanson, 312-915-7510; dhanson@luc.edu",N/A,7/17/2018,7/30/2008,7/17/2018,,,Name or other personal identifier in combination with SSN,4
MedEvolve,"115 W 3rd Street, Little Rock, AR 72201",None,"Stuart Panensky, Esq., FisherBroyles LLP, 609-454-6957; stuart.panensky@fisherbroyles.com",Addendum to 7/10/18 breach notice,7/27/2018,,,,See July 10th notice,66 (12 more than originally stated)
Yale,"(Office of the VP & General Counsel) PO Box 208255, New Haven, CT 06520-8255","Harold Rose, Sr. VP and Assoc. General Counsel; 203-432-4949",N/A,April 20089 - January 2009 (discovered 6/16/18),7/27/2018,4/1/2008,1/1/2009,6/16/2018,"Potentially Name, SSN, birthdate, Yale e-mail addres and, in some cases, physical addresses.",557
Concannon Miller & Co. P.C.,"1525 Valley Center Parkway, Suite 300, Bethlehem, PA 18017",None,"Elizabeth R. Dill, Lewis Brisbois Bisgaard & Smith; 215-977-4080; Elizabeth.dill@lewisbrisbois.com",2/9/2018,7/26/2018,2/9/2018,,,Name or other personal identifier in combination with SSN,2
"ABM Mechanical, Inc. ","33 Dowd Road, Unit 1, Bangor, ME  04401",None,"David Cole, Freeman Mathis & Gary, 100 Galleria Parkway, Suite 1600; Atlanta GA 30339; 770-818-1287: dcole@fmglaw.com",5/9/18 - 6/11/18,7/25/2018,5/9/2018,6/11/2018,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,137
"Automated Pet Care Products, Inc.","2900 Auburn Court, Auburn Hills, MI 48326",None,"Elizabeth R. Dill, Lewis Brisbois Bisgaard & Smith; 215-977-4080; Elizabeth.dill@lewisbrisbois.com",11/9/17-11/30/17,7/25/2018,11/9/2017,11/30/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",8
Eastern Maine Healthcare Systems (EMHS),"43 Whiting Hill Road, Brewer, ME 04412","Jason Tankel, CCO, 207-973-5100; jtankel@emhs.org",N/A,6/10/2018,7/25/2018,6/10/2018,,,"Name or other personal identifier in combination with SSN & financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",11
Trade Motion,"7400 Wilshire Pl. Drive, Houston, TX 77040",None,"Rick Rauch, Counsel, 713-718-1800; RichardRick_Rauch@reyrey.com",10/13/17/1/9/18/2/12/18; 3/8/18,7/24/2018,"10/13/17, 1/9/18, 2/12/18",,,"Name or other personal identifier in combination with Financial accout number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",286
"Dane Street, LLC, ",,"Kelly Hunt, SVP, Regulatory & Legal Affairs, 888-920-4440",N/A,Discovered 4/10/18,7/24/2018,,,4/10/2018,Former Physician had access to patient personal information as he was obtaining payments for medical peer reviews by stealing the identity of a licensed physician in NY.,1
"Optoma Technology, Inc.","47697 Westinghouse Drive, Suite 100, Fremont, CA 94538",None,"Scot Ganow, Taft, Stettinius & Hollister, LLP, 937-641-2041; sganow@taftlaw.com",4/6/18-4/12/18,7/24/2018,4/6/2018,4/12/2018,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",2
Town of Surry,"P.O. Box 147, 741 North Bend Road, Surry, ME 04684","Thomas P. Welgoss, Treasurer, 207-667-5912; Treasurersurry@roadrunner.com",N/A,7/22/2018,7/23/2018,7/22/2018,,,Employee Email addresses hacked,Unknown
,,,,,,,,,,
NorthStar Anesthesia,"6225 State Highway 161, #200, Irving, TX 75038","Sandra Geary, Compliance Officer, 214-687-0021; Sandra.Geary@NorthStarAnesthesia.com",N/A,4/3/2018 (discovered 5/23-24/18) ,7/20/2018,4/3/2018,,5/23/18-5/24/18,"Name, health insurance application or claims information, and IRS identity protection number",8
"ComplyRight, Inc.",,None,"James Giszack, McDonald Hopkins, 248-220-1354; jgiszczak@mcdonaldhopkins.com",4/20/18-5/22/18,7/13/2018,4/20/2018,5/22/2018,,"Name, address, phone number, email addressw and SSN ","1,695"
Boys Town National Research Hospital,"14100 Crawford Street, Boys Town, NE 68010","James Beckmann, Assist General Counsel, 531-355-1248; james.beckman@boystown.org",N/A,5/23/2018,7/20/2018,5/23/2018,,,Name or other personal identifier in combination with SSN,1
Helly Hansen AS,"Munkedamsveien 35, 6 fl, N-0250, 1653 Vika, N-120 Oslo",None,"Chris Cwalina, Norton Rose Fulbright US LLP, 202-662-4691; chris.cwalina@nortonrosefulbright.com",4/20/18-4/26/18 and 5/2/18-5/14/18 (discovered 7/16/18),7/19/2018,"4/20/2018, 5/2/18","4/26/18, 5/14/18 ",7/16/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",17 (Rec'd revised form 7/23/18 stating the total # of people affected is 3817)
Anastazia Beverly  Hills,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",18-Jun,7/17/2018,6/1/2018,,,Discover card account my have been compromised,2
Goplae San Francisco,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",18-Jun,7/17/2018,6/1/2018,,,Discover card account my have been compromised,1
Mandukacom,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",18-Jun,7/17/2018,6/1/2018,,,Discover card account my have been compromised,4
Strawberry Hill Povitica Co.,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",18-Jun,7/17/2018,6/1/2018,,,Discover card account my have been compromised,3
Vistaprint USD,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",18-Jun,7/17/2018,6/1/2018,,,Discover card account my have been compromised,157
"DSCI, LLC dba TPx Communications","515 S. Flower Street, 45th Floor, los Angeles, CA 90071",None,"Ronald Del Sesto, Jr., Morgan, Lewis & Bokius LLP; 202-739-3000; ronald.delsesto@morganLewis.com",5/23/2018,7/17/2018,5/23/2018,,,Name or other personal identifier  in combination with SSN,5
"The City of Bozeman, Montana","121 N. Rojuse Ave, Bozeman, MT 59715",None,"Patrick Haggerty, Baker Hostetler, 513-929-3412; phaggerty@bakerlaw.com",7/1/17-10/24/17,7/16/2018,7/1/2017,10/24/2017,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
"EBSCO Sign Group, LLC","5724 Highway 280 East, Birmingham, AL  35242",None,"David Cole, Freeman Mathis & Gary, 100 Galleria Parkway, Suite 1600; Atlanta GA 30339; 770-818-1287: dcole@fmglaw.com",9/12/17- 5/18/18 (discovered 6/1/18),7/16/2018,9/12/2017,5/18/2018,6/1/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",11
"The Fruitful Yield, Inc.","244 Knollwood Drive, Bloomingdale, IL 60108",None,"Michelle Anderson, ZwillGen, PLLC, 202-706-5228; michelle@zwillgen.com","5/29/18 - June 13, 2018",7/11/2018,5/29/2018,6/13/2018,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
"Appian Way Energy Partners, LLC","25 Mount Auburn St., Suite 400, Cambridge, MA 02138","John R. Westlund, COO, jwestlund@appianwayenergy.com; 857-285-6550",N/A,6/12/18 (discovered 7/2/18) ,7/16/2018,6/12/2018,,7/2/2018,Name or other personal identifier in combination with SSN,1
Tommie Copper Inc.,"74 South Moger Avenue, Mount Kisco, NY 10549","Kelli Knox, VP, Information Systems, 914-215-6432; kelli.knox@tommiecopper.com",N/A,11/10/17-1/5/18; 1/21/18-1/22/18,7/11/2018,"11/10/2017, 1/21/18","1/5/18, 1/22/18",,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",112
MedEvolve,"115 W 3rd Street, Little Rock, AR 72201",None,"Stuart Panensky, Esq., FisherBroyles LLP, 609-454-6957",3/29/18  (discovered 5/11/18),7/10/2018,3/29/2018,,5/11/2018,"Name, billing address, phone number, identification of patient's primary health insurer and SSNs for some people.",54
"Ameriprise Financial, Inc.","707 2nd Ave S, Minneapolis, MN 55474","Kathleen Dedenbach, VP-Chief Counsel; 248-205-5817; kathleen.a.dedenbach@ampf.com",N/A,Unknown,7/10/2018,NA,,,Name or other personal identifier in combinatino with SSN,1
"Malcom &Baker, CPAs & Associates, Inc.",,None,"Gregory Bautista, Wilson Elser Moskowitz Edelman  Dicker, LLP; 914-872-7839; Gregory.Bautista@wilsonelser.com",Discovered 5/24/18,7/6/2018,,,5/24/2018,Name and SSN,1
"International Mission Board ""IMB""",,None,"Kevin Scott, WilsonElser, 55 West Monroe St., Suite 3800, Chicago IL 60603; 312-821-6131; Kevin.Scott@wilsonelser.com ",Discovered 4/11/18,7/6/2018,,,4/11/2018,"Name, address, phone number, email address, SSN, birthdate and possibly limited health information",101
Village of Wellington,"12300 Forest Hill Blvd, Wellington, FL 33414","Laurie Cohen, Village Attorney, 561-791-4000, lcohen@wellingtonfl.gov",N/A,11/28/17-6/4/18 (discovered 6/6/18),7/6/2018,11/28/2017,6/4/2018,6/6/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
"S.J. Gorowitz Accounting & Tax Services, P.C.",,None,"Joseph Lazzarotti, Jackson Lewis, PC, 220 Headquarters Plaza, East Tower, 7th Floor, Morristown, NJ 07960; 973-538-6890",5/1/2018,7/6/2018,5/1/2018,,,"""certain personal information pertaining to certain clients and employees",4
The Iremedy Healthcare Companies Inc.,"2862 SE Monroe St, Stuart, FL 34994",None,"Clark Stephens PLLC, 954-651-7583; Clark@cbconsult.co",10/17-5/18 (discovered 6/1/18),7/6/2018,10/1/2017,5/18/2019,6/1/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
"MSK Group, P.C. ",,None,"Brad Moody, Baker, Donelson, Bearman, Caldwell & Berkowitz, PC, 601-351-2420; bmoody@bakerdonelson.com",Discovered 5/7/18,7/5/2018,,,5/7/2018,"Name, address, birthdate, age, date of service, medical record number, phone number, email address, social security number, health insurance information, facsimile number, driver’s license, medical device number, facial photos, diagnostic images, and other information commonly found in a medical record",16
The Information and Referral Federation of Los Angeles County dba,"211 LA County, 526 West Las Tunas Drive, San Gabriel, CA 92776",None,"Lynn Sessions, Partner, Baker Hostetler, 811 Main Street, Ste. 1100, Houston, TX  77002; 713-646-1352; lsessions@bakerlaw.com",3/14-4/23/18 (discovered 5/15/18),7/5/2018,3/14/2018,4/23/2018,5/15/2018,Name or other personal identifier in combination with SSN,10
Macy's,,"Michael McCullough, 7 West 7th Street, Cincinnati, OH 45202; 513-579-7803; michael.mccullough@macys.com",N/A,4/26/18 - 6/12/18,7/2/2018,4/26/2018,6/12/2018,,"Name, address, phone number, email address, month and day of birth and possible encoded payment card numbers and exp dates",299
Rochester Institute of Technology,"13 Lomb Memorial Drive, Rochester, NY 14623","Melinda Ward, Exec Dorector, Risk Management, 585-475-6135",N/A,6/5/17 (discovered 6/27/18),7/2/2018,6/5/2017,,6/27/2018,Name or other personal identifier in combination with SSN,1
"Coty, Inc. ",,None,"Timother Harkness, Freshfields, Bruckhaus Deringer US LLP, 601 Lexington Avenue, 31st Floor, NY, NY 10022; 1-212-277-4610; timother.harkness@freshfields.com",1/12/18-2/8/18,7/3/2018,1/12/2018,2/8/2018,,Personal data found in emails and their attachments,Not specified
"SGS North America, Inc.","201 Rout 17 North, Rutherford, NJ 070707",None,"Lynn Sessions, Partner, Baker Hostetler, 811 Main Street, Ste. 1100, Houston, TX  77002; 713-646-1352; lsessions@bakerlaw.com",2.26-27/2018 (discovered 4/26/18),6/29/2018,2/26/2018,2/27/2018,4/26/2018,Name or other personal identifier in combination with SSN,1
