Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
"AMERICREDIT FINANCIAL SERVICES, INC.",AmeriCredit Financial Services Inc,Private,87-690-9268,Manufacturer,Subsidiary,1992,Headquarters,TEXAS,522291,Consumer Lending,,,,,61410103,"Financing: automobiles, furniture, etc., not a deposit bank","$364,062,754 ","3,800",320,"$364,062,754 "
1ST SOURCE BANK,1st Source Bank,Private,06-157-4109,Manufacturer,Subsidiary,1922,Headquarters,INDIANA,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$355,747,000 ","1,100",300,"$307,936,000 "
BOSTON PRIVATE BANK & TRUST COMPANY,Boston Private Bank & Trust Co,Private,17-483-2931,Manufacturer,Subsidiary,1982,Headquarters,MASSACHUSETTS,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$349,232,000 ",200,150,"$314,847,000 "
"BEBE STORES, INC.",Bebe Stores Inc,Public,05-459-4957,Manufacturer,Non-Subsidiary,1976,Headquarters,CALIFORNIA,448120,Women's Clothing Stores,,,,,56210000,Women's clothing stores,"$304,243,784 ","2,924",386,"$310,016,071 "
CRABTREE & EVELYN LTD.,Crabtree & Evelyn,Private,05-888-0378,Non Manufacturer,Subsidiary,1975,Headquarters,CONNECTICUT,424210,Drugs and Druggists' Sundries Merchant Wholesalers,,,,,51220205,Toilet soap,"$299,366,497 ",667,250,"$299,366,497 "
"DJO, LLC",DJO LLC,Public,08-184-0873,Non Manufacturer,Subsidiary,1999,Headquarters,CALIFORNIA,339113,Surgical Appliance and Supplies Manufacturing,,,,,38420000,Surgical appliances and supplies,"$290,076,460 ",100,100,"$492,538,920 "
"AFFILIATED MORTGAGE, L.L.C.","Affiliated Mortgage D/B/A YSU
Lending",Private,01-751-9500,Manufacturer,Non-Subsidiary,0,Single Location,NORTH CAROLINA,522390,Other Activities Related to Credit Intermediation,,,,,61620000,Mortgage bankers and loan correspondents,"$200,000,000 ",14,6,"$200,000,000 "
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS - PENSION BENEFIT FUND,,Private,96-480-6710,Manufacturer,Non-Subsidiary,2010,Single Location,DISTRICT OF COLUMBIA,813930,Labor Unions and Similar Labor Organizations,,,,,86319904,Trade union,"$197,712,911 ",26,26,"$197,712,911 "
"HORIZON LINES, LLC",Horizon Lines,Private,12-064-0508,Manufacturer,Non-Subsidiary,0,Single Location,NORTH CAROLINA,483113,Coastal and Great Lakes Freight Transportation,,,,,44240000,Deep sea domestic transportation of freight,"$193,024,311 ","1,020",70,"$166,100,000 "
BOWDOIN COLLEGE,Bowdoin College,Private,07-174-9923,Manufacturer,Non-Subsidiary,1794,Headquarters,MAINE,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$177,921,000 ",949,580,"$169,545,000 "
"CENTRAL NEW ENGLAND HEALTHALLIANCE, INC.",Central New England Health Alliance,Private,80-443-9040,Manufacturer,Subsidiary,1993,Headquarters,MASSACHUSETTS,561110,Office Administrative Services,,,,,87419906,Hospital management,"$162,683,350 ","2,515",800,"$162,683,350 "
"ENTERPRISE BANCORP, INC.",Enterprise Bank,Public,09-544-8309,Manufacturer,Non-Subsidiary,1996,Headquarters,MASSACHUSETTS,522110,Commercial Banking,522110,"""Commercial Banking """,6022,"""State commercial banks""",60220000,State commercial banks,"$153,427,000 ",426,78,"$134,893,000 "
"CAPELLA UNIVERSITY, INC.",Capella University,Private,03-202-0245,Manufacturer,Subsidiary,1993,Headquarters,MINNESOTA,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$122,184,974 ","2,500",48,"$122,184,974 "
BRISTOL COUNTY SAVINGS BANK INC,Bristoal Country Savings Bank,Private,01-976-1584,Manufacturer,Non-Subsidiary,1846,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60360000,"Savings institutions, except federal","$99,428,000 ",163,40,"$87,190,000 "
BRYANT & STRATTON COLLEGE INC,Bryant & Stratton College,Private,05-661-3599,Manufacturer,Non-Subsidiary,1854,Headquarters,NEW YORK,611310,"Colleges, Universities, and Professional Schools",,,,,82210000,Colleges and universities,"$96,919,123 ","1,800",30,"$80,098,449 "
"HIGHLAND CAPITAL BROKERAGE, INC.",Highland Capital Brokerage Inc,Private,01-023-7977,Manufacturer,Subsidiary,2000,Headquarters,ALABAMA,524210,Insurance Agencies and Brokerages,,,,,64110302,"Insurance brokers, nec","$96,604,188 ",267,35,"$90,661,019 "
EDUCATIONAL MANAGEMENT CORPORATION,Education Management Corp,Private,14-795-4127,Manufacturer,Non-Subsidiary,1986,Headquarters,INDIANA,611310,"Colleges, Universities, and Professional Schools",,,,,82210101,"College, except junior","$94,575,906 ",950,200,"$101,545,735 "
FRANKLIN UNIVERSITY,Franklin University,Private,07-164-2284,Manufacturer,Non-Subsidiary,1902,Headquarters,OHIO,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$89,634,781 ",350,200,"$89,634,781 "
EBARA TECHNOLOGIES INCORPORATED,Ebara Technologies Inc,Private,62-805-2417,Non Manufacturer,Subsidiary,1991,Headquarters,CALIFORNIA,333912,Air and Gas Compressor Manufacturing,333912,"""Air and Gas Compressor Manufacturing """,3563,"""Air and gas compressors""",35630102,"Vacuum pumps, except laboratory","$86,715,052 ",225,100,"$86,715,052 "
GENICA CORPORATION,Genica Corporation,Private,07-326-0197,Manufacturer,Non-Subsidiary,0,Single Location,CALIFORNIA,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,"423430, 443142","""Computer and Computer Peripheral Equipment and Software Merchant Wholesalers "", ""Electronics Stores ""","5045, 5734","""Computers, peripherals & software"", ""Computer and software stores""",50450100,Computer peripheral equipment,"$84,037,076 ",334,40,"$81,081,500 "
"KANA SOFTWARE, INC.",Kana Software Inc,Private,19-519-1650,Manufacturer,Subsidiary,1999,Headquarters,CALIFORNIA,511210,Software Publishers,511210,"""Software Publishers""",7372,"""Prepackaged software""",73729901,Application computer software,"$79,716,150 ",790,100,"$79,716,150 "
CLARENDON NATIONAL INSURANCE COMPANY (MD CORP),Clarendon National Insurance Co,Private,17-726-1757,Manufacturer,Subsidiary,1941,Headquarters,NEW YORK,524130,Reinsurance Carriers,,,,,63219905,"Reinsurance carriers, accident and health","$68,073,841 ",80,50,"$68,073,841 "
COMMUNITY COLLEGE SYSTEM OF NEW HAMPSHIRE,Community College System of NH,Private,80-859-1200,Manufacturer,Non-Subsidiary,2007,Headquarters,NEW HAMPSHIRE,611210,Junior Colleges,,,,,82229901,Community college,"$62,531,828 ","1,800",51,"$62,531,828 "
"ALLSUP, INC.",Allsup Inc,Private,19-988-6235,Manufacturer,Non-Subsidiary,1983,Headquarters,ILLINOIS,541611,Administrative Management and General Management Consulting Services,,,,,87420404,Hospital and health services consultant,"$54,027,325 ",425,375,"$54,027,325 "
FRANKLIN FEDERAL SAVINGS BANK,Franklin Savings,Private,78-953-7581,Manufacturer,Non-Subsidiary,0,Single Location,VIRGINIA,522120,Savings Institutions,,,,,60359902,Federal savings banks,"$45,733,000 ",41,41,"$45,733,000 "
"MTI/THE IMAGE GROUP, INC",,Private,08-573-2634,Manufacturer,Non-Subsidiary,0,Single Location,NEW YORK,512110,Motion Picture and Video Production,,,,,78120202,Video tape production,"$45,307,178 ",300,151,"$45,307,178 "
"HEALD COLLEGE, LLC",Heald College,Private,07-186-8988,Manufacturer,Subsidiary,1863,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210100,Colleges and universities,"$41,771,121 ",800,60,"$46,412,357 "
"FREMONT GROUP, L.L.C.",Fremont Group,Private,17-720-6422,Manufacturer,Non-Subsidiary,1995,Headquarters,CALIFORNIA,523930,Investment Advice,523930,"""Investment Advice """,6282,"""Investment advice""",62829902,Investment advisory service,"$38,908,869 ",150,50,"$38,908,869 "
GREENFIELD SAVINGS BANK,Greenfield Savings Bank,Private,00-695-4523,Manufacturer,Non-Subsidiary,1869,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$38,705,000 ",130,120,"$36,173,000 "
"FAMILY HEALTH CENTER OF WORCESTER, INC.",Family Health Center of Worcester,Private,08-560-5046,Manufacturer,Non-Subsidiary,1972,Headquarters,MASSACHUSETTS,621491,HMO Medical Centers,,,,,80110302,Health maintenance organization,"$38,404,285 ",200,200,"$38,404,285 "
CONCORD REGIONAL VISITING NURSE ASSOCIATION INC,Concord Regional Visiting Nurse Association,Private,09-552-0417,Manufacturer,Subsidiary,1899,Single Location,NEW HAMPSHIRE,621610,Home Health Care Services,,,,,80829902,Visiting nurse service,"$33,843,767 ",340,340,"$33,843,767 "
"EMERGENCY MEDICAL ASSOCIATES OF NEW JERSEY, P.A.",Emergency Medical Associates of New Jersey,Private,04-607-0827,Manufacturer,Subsidiary,1977,Headquarters,NEW JERSEY,621112,"Offices of Physicians, Mental Health Specialists",,,,,80110200,Medical centers,"$24,853,843 ",350,200,"$27,308,050 "
INTELEPEER CLOUD COMMUNICATIONS LLC,Integrated Device Technology Inc,Private,11-262-0112,Manufacturer,Non-Subsidiary,2002,Single Location,CALIFORNIA,517911,Telecommunications Resellers,517911,"""Telecommunications Resellers """,4813,"""Telephone communications, exc. radio""",48130101,Data telephone communications,"$24,357,166 ",106,106,"$23,301,947 "
"COLLEGENET, INC.",CollegeNet,Private,13-476-5999,Manufacturer,Non-Subsidiary,1977,Single Location,OREGON,541511,Custom Computer Programming Services,,,,,73710301,Computer software development,"$24,100,720 ",130,130,"$24,100,720 "
"KIWANIS INTERNATIONAL, INC.",Kiwanis International,Private,06-950-0825,Manufacturer,Non-Subsidiary,1915,Headquarters,INDIANA,813410,Civic and Social Organizations,813410,"""Civic and Social Organizations """,8641,"""Civic and social associations""",86410100,Civic associations,"$22,543,272 ",115,112,"$23,610,049 "
"EXPONENT TECHNOLOGIES, INC.",Exponent Technologies Inc,Private,12-583-8198,Manufacturer,Non-Subsidiary,1996,Single Location,TEXAS,541511,Custom Computer Programming Services,,,,,73710301,Computer software development,"$21,784,627 ",100,100,"$21,784,627 "
"FISCHBACH, LLC",Fischbach LLC,Private,07-177-1385,Manufacturer,Subsidiary,2001,Single Location,COLORADO,238210,Electrical Contractors and Other Wiring Installation Contractors,,,,,17319903,General electrical contractor,"$21,567,659 ",939,939,$0 
THE BANK OF VERNON,Bank of Vernon,Private,06-835-0677,Manufacturer,Non-Subsidiary,0,Single Location,TEXAS,522110,Commercial Banking,,,,,60220000,State commercial banks,"$20,000,000 ",11,11,"$20,000,000 "
"CBIZ BENEFITS & INSURANCE SERVICES, INC.",CBIZ Benefits & Insurance Services Inc,Private,06-366-5558,Manufacturer,Subsidiary,1997,Single Location,MISSOURI,524210,Insurance Agencies and Brokerages,,,,,64110302,"Insurance brokers, nec","$19,536,212 ",75,75,"$19,536,212 "
BILL DUBE INC,Bill Dube,Private,01-890-6537,Manufacturer,Non-Subsidiary,1951,Single Location,NEW HAMPSHIRE,441110,New Car Dealers,,,,,55119901,"Automobiles, new and used","$17,819,135 ",47,47,"$17,819,135 "
FIDELITY INVESTMENTS LLC,Fidelity Investments,Private,05-060-3952,Manufacturer,Non-Subsidiary,2011,Single Location,NEW HAMPSHIRE,523930,Investment Advice,,,,,62829902,Investment advisory service,"$15,324,688 ",31,31,"$17,027,431 "
"ADMINISTRATIVE SYSTEMS, INC.",Administrative Systems Inc,Private,07-379-0107,Manufacturer,Non-Subsidiary,1972,Single Location,CALIFORNIA,561499,All Other Business Support Services,,,,,73890100,"Personal service agents, brokers, and bureaus","$11,834,475 ",75,75,"$11,834,475 "
CNET NETWORKS INC.,CNET Networks Inc,Private,96-589-1430,Manufacturer,Subsidiary,0,Single Location,CALIFORNIA,541512,Computer Systems Design Services,,,,,73730100,Systems software development services,"$11,821,835 ",889,889,"$11,821,835 "
CSA GROUP,CSA Group,Private,08-036-7787,Manufacturer,Subsidiary,2007,Single Location,FLORIDA,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",,,,,73890101,Artists' agents and brokers,"$10,936,172 ",180,180,"$11,377,382 "
"CROSS COUNTRY STAFFING, INC.",Cross Country Staffing,Private,03-890-7601,Manufacturer,Subsidiary,2002,Headquarters,MASSACHUSETTS,561311,Employment Placement Agencies,,,,,73610204,Nurses' registry,"$10,033,011 ",206,1,"$11,147,790 "
"KINDRED REHAB SERVICES, INC.",Kindred Rehab Sercvices Inc,Private,15-637-5896,Manufacturer,Subsidiary,1994,Headquarters,KENTUCKY,623110,Nursing Care Facilities (Skilled Nursing Facilities),,,,,80510000,Skilled nursing care facilities,"$7,990,719 ","1,021","1,013","$6,603,900 "
HARVARD UNIVERSITY,Harvard University,Private,08-092-3859,Manufacturer,Non-Subsidiary,2017,Single Location,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$7,899,144 ",175,175,"$7,181,040 "
HOWLAND CAPITAL MANAGEMENT INC,Howland Capital Management,Private,07-172-1724,Manufacturer,Non-Subsidiary,1966,Single Location,MASSACHUSETTS,523930,Investment Advice,,,,,62829902,Investment advisory service,"$6,881,699 ",27,27,"$6,881,699 "
"AUTOMOTIVE EVENTS, INC.",Automotive Events,Private,08-177-7641,Manufacturer,Non-Subsidiary,1974,Headquarters,OHIO,541820,Public Relations Agencies,,,,,87439904,Sales promotion,"$6,414,048 ",25,25,"$6,691,957 "
"INTERBANK FX, LLC",Interbank FX LLC,Private,15-304-4768,Manufacturer,Non-Subsidiary,2002,Single Location,UTAH,523130,Commodity Contracts Dealing,,,,,60999906,Foreign currency exchange,"$5,398,426 ",20,20,"$5,398,426 "
"DIGITAL MARKETING SERVICES, INC.",Digital Marketing Services,Private,82-715-0744,Non Manufacturer,Non-Subsidiary,2006,Single Location,ALABAMA,541511,Custom Computer Programming Services,,,,,73710301,Computer software development,"$4,991,527 ",50,50,"$4,537,752 "
"ARTHUR F. BELL, JR. & ASSOCIATES, L.L.C.",Arthur Bell CPA,Private,79-489-9245,Manufacturer,Non-Subsidiary,0,Single Location,MARYLAND,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$4,826,261 ",40,40,"$5,362,512 "
"ALTMAN WEIL, INC",Altman Weil Inc,Private,06-989-6256,Manufacturer,Non-Subsidiary,1970,Headquarters,PENNSYLVANIA,541611,Administrative Management and General Management Consulting Services,,,,,87429902,Business management consultant,"$4,694,720 ",35,30,"$4,679,061 "
THE COLLIER COMPANY,Collier Co,Private,06-694-6088,Manufacturer,Non-Subsidiary,1920,Headquarters,FLORIDA,111320,Citrus (except Orange) Groves,,,,,1740000,Citrus fruits,"$4,350,325 ",20,4,"$4,350,325 "
JDS UNIPHASE CORPORATION,JDS Uniphase Corp,Private,11-803-1546,Non Manufacturer,Non-Subsidiary,0,Branch,MASSACHUSETTS,334413,Semiconductor and Related Device Manufacturing,,,,,36740000,Semiconductors and related devices,"$3,800,000 ",0,45,$0 
CARNEIRO-CHUMNEY & CO L.C,"Carneiro, Chumney & Co.",Private,08-960-2528,Manufacturer,Non-Subsidiary,1929,Single Location,TEXAS,541211,Offices of Certified Public Accountants,,,,,87210101,Certified public accountant,"$3,648,868 ",54,54,"$3,648,868 "
CAMP STARFISH,Camp Starfish,Private,02-489-4847,Manufacturer,Non-Subsidiary,1998,Single Location,MASSACHUSETTS,721199,All Other Traveler Accommodation,,,,,70110202,"Tourist camps, cabins, cottages, and courts","$3,300,000 ",60,60,"$3,300,000 "
GREENSBORO GYNECOLOGY ASSOCIATES,Greenfield Savings Bank,Private,08-991-4964,Manufacturer,Non-Subsidiary,1964,Single Location,NORTH CAROLINA,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110508,Gynecologist,"$3,274,173 ",40,40,"$3,274,173 "
"GRIFFIN ELECTRIC, INC.",Griffin Electric Inc,Private,11-921-4880,Manufacturer,Non-Subsidiary,1984,Single Location,NEW JERSEY,238210,Electrical Contractors and Other Wiring Installation Contractors,,,,,17310000,Electrical work,"$3,153,704 ",10,10,"$3,153,704 "
"INFINITY PHARMACEUTICALS, INC.",Infinity Pharmaceuticals Inc,Public,83-938-7966,Non Manufacturer,Non-Subsidiary,1995,Headquarters,MASSACHUSETTS,325412,Pharmaceutical Preparation Manufacturing,"325412, 541715","""Pharmaceutical Preparation Manufacturing "", ""Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ""","2834, 8731","""Pharmaceutical preparations"", ""Commercial physical research""",28340000,Pharmaceutical preparations,"$3,049,000 ",222,62,"$22,146,000 "
CALIFORNIA BANKERS ASSOCIATION,California Banker's Benefits,Private,00-140-9767,Manufacturer,Non-Subsidiary,0,Branch,CALIFORNIA,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",,,,,63990101,Bank deposit insurance,"$2,900,000 ",0,0,"$2,900,000 "
LEAF FINANCIAL CORPORATION,Law Offices of Mark E. Salomone,Private,04-553-1611,Manufacturer,Non-Subsidiary,2010,Single Location,PENNSYLVANIA,523930,Investment Advice,,,,,62829902,Investment advisory service,"$1,762,620 ",9,9,"$1,762,620 "
ARGOSY UNIVERSITY SEATTLE,Argosy University,Private,02-921-5907,Manufacturer,Non-Subsidiary,0,Single Location,WASHINGTON,611310,"Colleges, Universities, and Professional Schools",,,,,82210200,Professional schools,"$1,733,451 ",5,5,"$2,642,053 "
"INTERACTIVE FINANCIAL MARKETING GROUP, LLC",InterActive Financial Marketing Group,Private,07-989-5221,Manufacturer,Non-Subsidiary,2015,Single Location,VIRGINIA,541613,Marketing Consulting Services,,,,,87420300,Marketing consulting services,"$1,552,591 ",18,18,"$1,552,591 "
