Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
UNITED STATES CELLULAR CORPORATION,Public,11-823-9292,,,05-057-5695,"TELEPHONE AND DATA SYSTEMS, INC.",05-057-5695,"TELEPHONE AND DATA SYSTEMS, INC.",41.981203,"RADIOTELEPHONE COMMUNICATION, NSK",-87.837526,Manufacturer,Low,1 - Most likely to pay,No,,(773) 399-8900,Subsidiary,,1983,PricewaterhouseCoopers LLP,TDS,621147325,05-057-5695,"TELEPHONE AND DATA SYSTEMS, INC.",,Headquarters,P.O. BOX 31040,CHICAGO,USA,COOK,ILLINOIS,606310040,8410 W BRYN MAWR AVE # 700,CHICAGO,USA,COOK,ILLINOIS,606313418,517312,Wireless Telecommunications Carriers (except Satellite),"517311, 517312","""Wired Telecommunications Carriers "", ""Wireless Telecommunications Carriers (except Satellite)""","4812, 4813","""Radiotelephone communications"", ""Telephone communications, exc. radio""",48129901,Cellular telephone services,"$4,022,000,000","5,500",400,"$4,022,000,000","5,900",0
EQUIFAX INC.,Public,04-581-2369,,,04-581-2369,EQUIFAX INC.,04-581-2369,EQUIFAX INC.,33.797079,CREDIT REPORTING SERVICES,-84.388658,Manufacturer,Low,4 - Less likely to pay,No,Owns,(404) 885-8000,Non-Subsidiary,WWW.EQUIFAX.COM,1899,Ernst & Young LLP,EQUIFAX,860835906,04-581-2369,EQUIFAX INC.,,Headquarters,P.O. BOX 4081,ATLANTA,USA,FULTON,GEORGIA,303024081,1550 PEACHTREE ST NW,ATLANTA,USA,FULTON,GEORGIA,303092468,561450,Credit Bureaus,"522320, 541910, 561110, 561450","""Financial Transactions Processing, Reserve, and Clearinghouse Activities "", ""Marketing Research and Public Opinion Polling"", ""Office Administrative Services"", ""Credit Bureaus""","7323, 7389, 8732, 8741","""Credit reporting services"", ""Business services, nec"", ""Commercial nonphysical research"", ""Management services""",73239902,Consumer credit reporting bureau,"$3,507,600,000","11,200",148,"$3,507,600,000","10,900",0
"EBSCO INDUSTRIES, INC.",Private,00-339-6256,Both,,00-339-6256,"EBSCO INDUSTRIES, INC.",00-339-6256,"EBSCO INDUSTRIES, INC.",33.386791,"BUSINESS SERVICES, NEC, NSK",-86.668528,Non Manufacturer,Low,4 - Less likely to pay,No,,(205) 991-6600,Non-Subsidiary,WWW.EBSCOIND.COM,1946,,EBSCO INFORMATION SERVICES,636014186,00-339-6256,"EBSCO INDUSTRIES, INC.",,Headquarters,P.O. BOX 1943,BIRMINGHAM,USA,JEFFERSON,ALABAMA,352011943,5724 HIGHWAY 280 E,BIRMINGHAM,USA,SHELBY,ALABAMA,352426818,561499,All Other Business Support Services,"237210, 323111, 339920, 511120, 519190, 561499","""Land Subdivision "", ""Commercial Printing (except Screen and Books) "", ""Sporting and Athletic Goods Manufacturing"", ""Periodical Publishers "", ""All Other Information Services"", ""All Other Business Support Services ""","2721, 2782, 3949, 6552, 7375, 7389","""Periodicals"", ""Blankbooks and looseleaf binders"", ""Sporting and athletic goods, nec"", ""Subdividers and developers, nec"", ""Information retrieval services"", ""Business services, nec""",73899958,"Subscription fulfillment services: magazine, newspaper, etc.","$2,774,590,000","6,032","1,003","$2,815,647,000","6,032","134,000"
SEARS HOLDINGS MANAGEMENT CORPORATION,Private,78-734-9815,,,19-122-2244,SEARS HOLDINGS CORPORATION,00-162-9955,"SEARS, ROEBUCK AND CO.",42.077437,REAL ESTATE AGENTS AND MANAGERS,-88.22348,Manufacturer,N/A,N/A,No,Owns,(847) 286-2500,Subsidiary,WWW.SEARSHOLDINGS.COM,2005,,SHC REALTY,203592148,19-122-2244,SEARS HOLDINGS CORPORATION,,Headquarters,,,,,,,3333 BEVERLY RD,HOFFMAN ESTATES,USA,COOK,ILLINOIS,601790001,531210,Offices of Real Estate Agents and Brokers,,,,,65310200,Real estate managers,"$2,594,704,435","45,004",54,"$2,594,704,435","45,004",0
THE LINCOLN NATIONAL LIFE INSURANCE COMPANY,Private,00-699-6763,,,04-640-0180,LINCOLN NATIONAL CORPORATION,04-640-0180,LINCOLN NATIONAL CORPORATION,41.074067,"INSURANCE AGENTS,BROKERS,AND SERVICE,NSK",-85.136888,Manufacturer,Low,4 - Less likely to pay,No,Owns,(260) 455-2000,Subsidiary,WWW.LFG.COM,2007,,LINCOLN FINANCIAL,350472300,04-640-0180,LINCOLN NATIONAL CORPORATION,,Headquarters,,,,,,,1300 S CLINTON ST,FORT WAYNE,USA,ALLEN,INDIANA,468023506,524210,Insurance Agencies and Brokerages,,,,,64110000,"Insurance agents, brokers, and service","$2,386,276,727","8,000",200,"$2,434,727,810","8,000","150,000"
PHARMERICA CORPORATION,Public,80-040-6709,,,08-101-7660,PHOENIX PARENT HOLDINGS INC.,08-101-7660,PHOENIX PARENT HOLDINGS INC.,38.2534,DRUG STORES AND PROPRIETARY STORES,-85.5824,Manufacturer,Low,5 - Least Likely to pay,No,,(502) 627-7000,Subsidiary,WWW.PHARMERICA.COM,2006,KPMG LLP,CHEM RX,870792558,08-101-7660,PHOENIX PARENT HOLDINGS INC.,,Headquarters,,,,,,,805 N WHITTINGTON PKWY,LOUISVILLE,USA,JEFFERSON,KENTUCKY,402227101,446110,Pharmacies and Drug Stores,"424210, 446110","""Drugs and Druggists' Sundries Merchant Wholesalers "", ""Pharmacies and Drug Stores ""","5122, 5912","""Drugs, proprietaries, and sundries"", ""Drug stores and proprietary stores""",59129901,Drug stores,"$2,091,100,000","52,048",10,"$2,091,100,000","52,048",0
"ARBY'S RESTAURANT, LLC",Private,79-577-2743,,,12-125-0232,ROARK CAPITAL GROUP INC.,79-731-5298,"ARBY'S RESTAURANT GROUP, INC.",33.93447,EATING PLACES,-84.361475,Manufacturer,Low,5 - Least Likely to pay,No,,(678) 514-4100,Subsidiary,WWW.ARBYS.COM,2005,,ARBY'S,,12-125-0232,ROARK CAPITAL GROUP INC.,,Headquarters,,,,,,,3 GLENLAKE PKWY FL 500,ATLANTA,USA,FULTON,GEORGIA,303283592,722513,Limited-Service Restaurants,,,,,58120307,"Fast-food restaurant, chain","$2,084,732,968","27,000","1,000","$2,084,732,968","27,000",0
BAYLOR COLLEGE OF MEDICINE,Private,05-111-3330,Importer,,05-111-3330,BAYLOR COLLEGE OF MEDICINE,05-111-3330,BAYLOR COLLEGE OF MEDICINE,29.710991,"COLLEGES AND UNIVERSITIES, NSK",-95.396789,Manufacturer,High,N/A,No,Owns,(713) 798-4951,Non-Subsidiary,WWW.BCM.EDU,1969,Deloitte & Touche LLP,,741613878,05-111-3330,BAYLOR COLLEGE OF MEDICINE,,Headquarters,,,,,,,1 BAYLOR PLZ,HOUSTON,USA,HARRIS,TEXAS,770303498,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$2,058,440,000","10,684","5,110","$970,793,000","9,500",0
MR. COOPER GROUP INC.,Public,87-804-6069,,,87-804-6069,MR. COOPER GROUP INC.,87-804-6069,MR. COOPER GROUP INC.,32.928974,"MORTGAGE BANKERS AND CORRESPONDENTS, NSK",-96.988516,Manufacturer,Low,4 - Less likely to pay,No,Rent,(469) 549-2000,Non-Subsidiary,WWW.MRCOOPERGROUP.COM,1889,,MR. COOPER,911653725,87-804-6069,MR. COOPER GROUP INC.,,Headquarters,,,,,,,8950 CYPRESS WATERS BLVD,COPPELL,USA,DALLAS,TEXAS,750194620,522390,Other Activities Related to Credit Intermediation,522390,"""Other Activities Related to Credit Intermediation """,6162,"""Mortgage bankers and correspondents""",61620000,Mortgage bankers and loan correspondents,"$2,007,000,000","9,100",72,"$2,007,000,000",4,"176,000"
"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",Public,11-411-4531,,,11-411-4531,"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",11-411-4531,"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",41.828626,"FREIGHT TRANSPORTATION ARRANGEMENT, NSK",-88.023521,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(414) 615-1500,Non-Subsidiary,WWW.RRTS.COM,1984,Deloitte & Touche LLP,ROADRUNNER TRNSP SYSTEMS,202454942,11-411-4531,"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",,Headquarters,P.O. BOX 8903,CUDAHY,USA,MILWAUKEE,WISCONSIN,531108903,1431 OPUS PL STE 530,DOWNERS GROVE,USA,DUPAGE,ILLINOIS,605151169,488510,Freight Transportation Arrangement,488510,"""Freight Transportation Arrangement """,4731,"""Freight transportation arrangement""",47310100,Transportation agents and brokers,"$1,847,862,000","3,600",95,"$1,847,862,000","4,600",0
"FIVE BELOW, INC.",Public,09-544-6659,Importer,,09-544-6659,"FIVE BELOW, INC.",09-544-6659,"FIVE BELOW, INC.",39.951008,VARIETY STORES,-75.15218,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(215) 546-7909,Non-Subsidiary,WWW.FIVEBELOW.COM,2002,KPMG LLP,FIVE BELOW,753000378,09-544-6659,"FIVE BELOW, INC.",,Headquarters,,,,,,,701 MARKET ST STE 100,PHILADELPHIA,USA,PHILADELPHIA,PENNSYLVANIA,191061533,452319,All Other General Merchandise Stores,"451120, 452319","""Hobby, Toy, and Game Stores "", ""All Other General Merchandise Stores ""","5331, 5945","""Variety stores"", ""Hobby, toy, and game shops""",53310000,Variety stores,"$1,846,730,000","16,600",500,"$1,846,730,000","13,900","190,000"
BRIGGS & STRATTON CORPORATION,Public,00-608-2531,Both,,11-769-1997,"BUCEPHALUS BUYER, LLC",11-769-1997,"BUCEPHALUS BUYER, LLC",43.083743,"INTERNAL COMBUSTION ENGINES, NEC",-88.065351,Non Manufacturer,N/A,N/A,No,Owns,(414) 259-5333,Subsidiary,WWW.BRIGGSANDSTRATTON.COM,1908,PricewaterhouseCoopers LLP,BRIGGS & STRATTON,390182330,11-769-1997,"BUCEPHALUS BUYER, LLC",,Headquarters,P.O. BOX 702,MILWAUKEE,USA,MILWAUKEE,WISCONSIN,532010702,12301 W WIRTH ST,WAUWATOSA,USA,MILWAUKEE,WISCONSIN,532222110,333618,Other Engine Equipment Manufacturing,333618,"""Other Engine Equipment Manufacturing """,3519,"""Internal combustion engines, nec""",35199902,Gasoline engines,"$1,836,605,000","5,200","2,152","$1,836,605,000","5,251",0
WINTRUST FINANCIAL CORPORATION,Public,96-052-0278,,,96-052-0278,WINTRUST FINANCIAL CORPORATION,96-052-0278,WINTRUST FINANCIAL CORPORATION,41.994426,STATE COMMERCIAL BANKS,-87.869841,Manufacturer,Low,4 - Less likely to pay,No,,(847) 939-9000,Non-Subsidiary,WWW.WINTRUST.COM,1992,Ernst & Young LLP,,363873352,96-052-0278,WINTRUST FINANCIAL CORPORATION,,Headquarters,,,,,,,9700 W HIGGINS RD STE 800,ROSEMONT,USA,COOK,ILLINOIS,600184736,522110,Commercial Banking,"522110, 523120, 523930","""Commercial Banking "", ""Securities Brokerage "", ""Investment Advice ""","6022, 6211, 6282","""State commercial banks"", ""Security brokers and dealers"", ""Investment advice""",60229901,"State trust companies accepting deposits, commercial","$1,792,314,000","3,846",65,"$1,792,314,000","3,846",0
EASTERN MAINE HEALTHCARE SYSTEMS,Private,10-818-0597,,,10-818-0597,EASTERN MAINE HEALTHCARE SYSTEMS,10-818-0597,EASTERN MAINE HEALTHCARE SYSTEMS,44.770839,PROFESSIONAL ORGANIZATIONS,-68.728595,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(207) 973-7050,Non-Subsidiary,WWW.NORTHERNLIGHTHEALTH.ORG,1982,"Berry, Dunn, McNeil & Parker",EMHS,010386501,10-818-0597,EASTERN MAINE HEALTHCARE SYSTEMS,,Headquarters,,,,,,,43 WHITING HILL RD # 500,BREWER,USA,PENOBSCOT,MAINE,044121005,813920,Professional Organizations,"622110, 813920","""General Medical and Surgical Hospitals "", ""Professional Organizations ""","8062, 8621","""General medical & surgical hospitals"", ""Professional organizations""",86210102,Health association,"$1,744,455,000","8,175",500,"$1,744,455,000","8,175",0
"ICF INTERNATIONAL, INC.",Public,13-900-1544,,,13-900-1544,"ICF INTERNATIONAL, INC.",13-900-1544,"ICF INTERNATIONAL, INC.",38.871999,MANAGEMENT CONSULTING SERVICES,-77.264854,Manufacturer,Low,4 - Less likely to pay,No,Rent,(703) 934-3000,Non-Subsidiary,WWW.ICF.COM,1969,Grant Thornton LLP,ICF INTERNATIONAL,223661438,13-900-1544,"ICF INTERNATIONAL, INC.",,Headquarters,,,,,,,9300 LEE HWY STE G130,FAIRFAX,USA,FAIRFAX,VIRGINIA,220316051,541611,Administrative Management and General Management Consulting Services,"541611, 541618","""Administrative Management and General Management Consulting Services "", ""Other Management Consulting Services ""","8742, 8748","""Management consulting services"", ""Business consulting, nec""",87429902,Business management consultant,"$1,478,525,000","5,500","1,019","$1,478,525,000","5,500","313,658"
HYATT HOTELS MANAGEMENT CORPORATION,Private,11-416-4197,,,60-249-5579,HYATT HOTELS CORPORATION,00-690-4783,HYATT CORPORATION,41.880969,"HOTELS AND MOTELS, NSK",-87.636783,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(312) 750-1234,Subsidiary,WWW.INVESTORS.HYATT.COM,1977,,HYATT HOTEL,363358277,60-249-5579,HYATT HOTELS CORPORATION,,Headquarters,,,,,,,71 S WACKER DR STE 1000,CHICAGO,USA,COOK,ILLINOIS,606064716,721110,Hotels (except Casino Hotels) and Motels,,,,,70110000,Hotels and motels,"$1,154,544,816","35,700",450,"$1,137,989,303","35,700","100,000"
SGS NORTH AMERICA INC.,Private,05-360-0573,Importer,,48-099-2718,SGS SA,08-030-6455,SGS U.S. HOLDING INC.,40.815,TESTING LABORATORIES,-74.1026,Manufacturer,Low,5 - Least Likely to pay,No,,(201) 508-3000,Subsidiary,WWW.SGSGROUP.US.COM,1980,,,133041390,08-030-6455,SGS SA,,Headquarters,,,,,,,201 ROUTE 17,RUTHERFORD,USA,BERGEN,NEW JERSEY,070702574,541380,Testing Laboratories,"488330, 488490, 541380, 541990, 621511","""Navigational Services to Shipping "", ""Other Support Activities for Road Transportation "", ""Testing Laboratories"", ""All Other Professional, Scientific, and Technical Services"", ""Medical Laboratories ""","4499, 4785, 7389, 8071, 8734","""Water transportation services, nec"", ""Inspection & fixed facilities"", ""Business services, nec"", ""Medical laboratories"", ""Testing laboratories""",87340000,Testing laboratories,"$1,119,510,266","5,156",12,"$1,298,916,853","5,156","30,000"
PLAINSCAPITAL BANK,Private,00-793-4151,,,04-837-0071,HILLTOP HOLDINGS INC.,14-962-6624,PLAINSCAPITAL CORPORATION,32.786592,"NATIONAL COMMERCIAL BANKS, NSK",-96.810299,Manufacturer,High,2 - Likely to pay,No,,(214) 252-4100,Subsidiary,WWW.PLAINSCAPITAL.COM,1965,,,750910774,04-837-0071,HILLTOP HOLDINGS INC.,,Headquarters,,,,,,,2323 VICTORY AVE STE 1400,DALLAS,USA,DALLAS,TEXAS,752197695,522110,Commercial Banking,,,,,60210000,National commercial banks,"$1,030,099,000","3,042",56,"$1,030,099,000","3,042",0
THE DUN & BRADSTREET CORPORATION,Public,88-411-4609,,,11-755-9154,"DUN & BRADSTREET HOLDINGS, INC.",11-755-9154,"DUN & BRADSTREET HOLDINGS, INC.",40.741574,CREDIT REPORTING SERVICES,-74.360753,Manufacturer,Low,2 - Likely to pay,No,Rent,(973) 921-5500,Subsidiary,WWW.DNB.COM,1841,PricewaterhouseCoopers LLP,D&B,223725387,11-755-9154,"DUN & BRADSTREET HOLDINGS, INC.",,Headquarters,,,,,,,103 JOHN F KENNEDY PKWY,SHORT HILLS,USA,ESSEX,NEW JERSEY,070782708,561450,Credit Bureaus,561450,"""Credit Bureaus""",7323,"""Credit reporting services""",73230000,Credit reporting services,"$939,356,658","4,037",430,"$1,059,808,874","4,900","123,000"
"ORBITZ WORLDWIDE, INC.",Public,80-701-6568,,,09-218-0517,"EXPEDIA GROUP, INC.",09-218-0517,"EXPEDIA GROUP, INC.",41.881922,"TRAVEL AGENCIES, NSK",-87.639886,Manufacturer,High,5 - Least Likely to pay,No,Rent,(312) 894-5000,Subsidiary,WWW.ORBITZ.COM,2007,Deloitte & Touche LLP,ORBITZ.COM,205337455,09-218-0517,"EXPEDIA GROUP, INC.",,Headquarters,,,,,,,500 W MADISON ST STE 700,CHICAGO,USA,COOK,ILLINOIS,606614598,561510,Travel Agencies,561510,"""Travel Agencies""",4724,"""Travel agencies""",47249901,"Tourist agency arranging transport, lodging and car rental","$932,007,000","1,530",36,"$932,007,000","1,530",0
ENVISION HEALTHCARE CORPORATION,Private,08-045-9317,,,80-625-6132,KKR & CO. INC.,11-681-4076,ENTERPRISE PARENT HOLDINGS INC.,36.0975,"INVESTMENT OFFICES, NEC",-86.823287,Manufacturer,High,5 - Least Likely to pay,No,Rent,(615) 665-1283,Subsidiary,WWW.EVHC.NET,1972,,ENVISION HEALTHCARE,823677685,80-625-6132,KKR & CO. INC.,,Headquarters,,,,,,,1A BURTON HILLS BLVD,NASHVILLE,USA,DAVIDSON,TENNESSEE,372156187,525990,Other Financial Vehicles,525990,"""Other Financial Vehicles """,6726,"""Investment offices, nec""",67269905,"Management investment funds, closed-end","$922,718,530",377,108,"$914,926,714",100,"110,000"
"TOYOTA INDUSTRIES NORTH AMERICA, INC.",Private,13-589-3746,Both,,69-123-9750,TOYOTA INDUSTRIES CORPORATION,69-123-9750,TOYOTA INDUSTRIES CORPORATION,39.142932,"NEW AND USED CAR DEALERS, NSK",-85.953672,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(812) 341-3810,Subsidiary,WWW.TOYOTA.COM,2002,,,954842543,13-589-3746,TOYOTA INDUSTRIES CORPORATION,,Headquarters,,,,,,,3030 BARKER DR,COLUMBUS,USA,BARTHOLOMEW,INDIANA,472019611,441110,New Car Dealers,,,,,55119901,"Automobiles, new and used","$857,733,225",855,108,"$857,733,225",855,0
"TWEEN BRANDS, INC.",Public,96-575-8188,Importer,,96-403-6383,"ASCENA RETAIL GROUP, INC.",96-403-6383,"ASCENA RETAIL GROUP, INC.",40.091594,CHILDRENS AND INFANTS WEAR STORES,-82.795927,Manufacturer,N/A,N/A,No,,(614) 775-3500,Subsidiary,WWW.JUSTICERETAIL.COM,1991,,JUSTICE BRANDS,311333930,96-403-6383,"ASCENA RETAIL GROUP, INC.",,Headquarters,,,,,,,8323 WALTON PKWY,NEW ALBANY,USA,FRANKLIN,OHIO,430549522,448130,Children's and Infants' Clothing Stores,,,,,56419901,Children's wear,"$855,864,528","12,200",380,"$1,063,786,746","12,200",0
"AT&T SERVICES, INC.",Private,02-502-7256,Importer,,10-802-4050,AT&T INC.,10-802-4050,AT&T INC.,32.779709,"TELEPHONE COMMUNICATION, EXCEPT RADIO",-96.799223,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(210) 821-4105,Subsidiary,,1996,,,742782655,10-802-4050,AT&T INC.,,Headquarters,P.O. BOX 66794,SAINT LOUIS,USA,ST. LOUIS CITY,MISSOURI,631666794,208 S AKARD ST STE 110,DALLAS,USA,DALLAS,TEXAS,752024209,517911,Telecommunications Resellers,,,,,48130000,"Telephone communication, except radio","$807,032,529",21,21,"$996,336,455",21,0
"GUARANTEED RATE, INC.",Private,83-966-6919,,,83-966-6919,"GUARANTEED RATE, INC.",83-966-6919,"GUARANTEED RATE, INC.",41.953496,"MORTGAGE BANKERS AND CORRESPONDENTS, NSK",-87.67424,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(866) 934-7283,Non-Subsidiary,WWW.RATE.COM,1999,,,364327855,83-966-6919,"GUARANTEED RATE, INC.",,Headquarters,,,,,,,3940 N RAVENSWOOD AVE,CHICAGO,USA,COOK,ILLINOIS,606132420,522292,Real Estate Credit,522292,"""Real Estate Credit """,6162,"""Mortgage bankers and correspondents""",61629903,Mortgage bankers,"$785,977,157","2,158",250,"$714,524,688","2,158",0
"HOME BOX OFFICE, INC.",Private,13-824-4731,Importer,,10-802-4050,AT&T INC.,00-698-8042,WARNER COMMUNICATIONS LLC,40.754952,CABLE AND OTHER PAY TELEVISION SERVICES,-73.98397,Manufacturer,Medium,N/A,No,Rent,(212) 512-1000,Subsidiary,WWW.HBO.COM,1972,Ernst & Young LLP,H B O,132768288,10-802-4050,AT&T INC.,,Headquarters,,,,,,,1100 AVENUE OF THE AMERIC,NEW YORK,USA,NEW YORK,NEW YORK,100366712,515210,Cable and Other Subscription Programming,"512110, 515210","""Motion Picture and Video Production "", ""Cable and Other Subscription Programming""","4841, 7812","""Cable and other pay TV services"", ""Motion picture & video production""",48419901,Cable television services,"$772,318,015","2,000",800,$0,"2,000",0
SONIC CORP.,Public,60-945-6033,,,12-125-0232,ROARK CAPITAL GROUP INC.,96-871-6956,"INSPIRE BRANDS, INC.",35.464164,EATING PLACES,-97.5082,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(405) 225-5000,Subsidiary,WWW.SONICDRIVEIN.COM,1953,Ernst & Young LLP,,731371046,12-125-0232,ROARK CAPITAL GROUP INC.,,Headquarters,,,,,,,300 JOHNNY BENCH DR,OKLAHOMA CITY,USA,OKLAHOMA,OKLAHOMA,731042471,722513,Limited-Service Restaurants,"533110, 722513","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Limited-Service Restaurants ""","5812, 6794","""Eating places"", ""Patent owners and lessors""",58120306,Drive-in restaurant,"$770,042,514","6,173",373,"$423,590,000","6,173","96,300"
"AIMBRIDGE HOSPITALITY, LLC",Private,13-047-8618,,,13-047-8618,"AIMBRIDGE HOSPITALITY, LLC",13-047-8618,"AIMBRIDGE HOSPITALITY, LLC",33.080524,"MANAGEMENT SERVICES, NSK",-96.823546,Manufacturer,Medium,5 - Least Likely to pay,No,Rent,(972) 952-0200,Non-Subsidiary,WWW.AIMBRIDGEHOSPITALITY.COM,2003,,,352198050,13-047-8618,"AIMBRIDGE HOSPITALITY, LLC",,Headquarters,,,,,,,5851 LEGACY CIR STE 400,PLANO,USA,COLLIN,TEXAS,750245979,561110,Office Administrative Services,,,,,87419904,Hotel or motel management,"$767,225,086","5,400",65,"$718,258,712","5,400","18,000"
"ARCADIS U.S., INC.",Private,08-150-9838,,,40-389-6368,ARCADIS N.V.,40-389-6368,ARCADIS N.V.,39.557528,"BUSINESS CONSULTING, NEC, NSK",-104.99755,Manufacturer,Low,4 - Less likely to pay,No,Rent,(720) 344-3500,Subsidiary,WWW.ARCADIS-US.COM,1957,,,570373224,08-150-9838,ARCADIS N.V.,,Headquarters,,,,,,,630 PLAZA DR STE 200,HIGHLANDS RANCH,USA,DOUGLAS,COLORADO,801292379,541620,Environmental Consulting Services,"541330, 541620, 561110","""Engineering Services"", ""Environmental Consulting Services"", ""Office Administrative Services""","8711, 8741, 8748","""Engineering services"", ""Management services"", ""Business consulting, nec""",87489905,Environmental consultant,"$708,843,000","5,650",300,"$708,843,000","5,650","40,000"
"PIZZA HUT, INC.",Private,09-770-4928,Importer,,17-929-4467,"YUM BRANDS, INC.",17-929-4467,"YUM BRANDS, INC.",33.073265,EATING PLACES,-96.8366,Manufacturer,High,5 - Least Likely to pay,No,Rent,(972) 338-7700,Subsidiary,WWW.PIZZAHUT.COM,1979,KPMG LLP,PIZZA HUT,480895936,17-929-4467,"YUM BRANDS, INC.",,Headquarters,P.O. BOX 34970,LOUISVILLE,USA,JEFFERSON,KENTUCKY,402324970,7100 CORPORATE DR,PLANO,USA,COLLIN,TEXAS,750244100,722513,Limited-Service Restaurants,"533110, 722513","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Limited-Service Restaurants ""","5812, 6794","""Eating places"", ""Patent owners and lessors""",58120601,"Pizzeria, chain","$680,408,341",15,15,"$1,152,277,501",15,"216,000"
STP NUCLEAR OPERATING COMPANY,Private,01-460-6839,Importer,,,,,,28.8355,"ELECTRIC SERVICES, NSK",-95.9365,Manufacturer,Low,1 - Most likely to pay,No,Owns,(361) 972-3611,Non-Subsidiary,WWW.STPEGS.COM,1997,,SOUTH TXAS PRJ ELC GNRTING STN,760517597,,,,Single Location,P.O. BOX 270,WADSWORTH,USA,MATAGORDA,TEXAS,774830270,12090 FM 521,WADSWORTH,USA,MATAGORDA,TEXAS,77483,221113,Nuclear Electric Power Generation,221113,"""Nuclear Electric Power Generation """,4911,"""Electric services""",49119906,Nuclear electric power generation,"$665,500,000","1,350","1,350","$665,500,000","1,350","300,000"
