Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
TimeandPayInc-DataBreach,2/12/2019,1/30/2019,2,186,Closed
TitanManufacturingandDistributingInc-DataBreach,12/7/2018,11/23/2017,"1,497","65,498",Open
TowerLegalSolutions-DataBreach,3/22/2019,,1,1559,Closed
TravelLeadersGroup-DataBreach,1/11/2019,6/14/2018,1,2479,Closed
TriBikeTransportLLC-DataBreach,3/25/2019,11/19/2018,44,2495,Open
TribunePublishingCompany-DataBreach,4/4/2019,12/20/2018,19,242,Open
TrustpointRehabilitationHospitalofLubbock-DataBreach,4/15/2019,10/8/2018,1,7037,Open
TysonFoodsInc-DataBreach,1/21/2019,10/14/2018,45,450,Closed
UnknownRespondent,,,,,Closed
UnionAssociatedPhysiciansClinicLLC-DataBreach,1/14/2019,12/27/2018,1,1,Closed
UnionBenefitPlanners-Databreach,3/29/2019,,1,,Open
UniversalBearingsLLC-DataBreach,11/29/2018,6/2/2018,91,97,Closed
UniversityofMary-DataBreach,3/12/2019,1/9/2019,1,146,Closed
UniversityofVermontHealthNetworkElizabethCommunityHospital-DataBreach,12/17/2018,10/9/2018,10,"32,000",Closed
UnumGroupColonialLifeandAccidentInsuranceCompany-DataBreach,1/18/2019,6/1/2018,2,2927,Closed
UrbanOneInc-DataBreach,3/28/2019,2/28/2019,906,"18,012",Open
ValleyHopeAssociation-DataBreach,1/18/2019,10/9/2018,67,"70,799",Closed
ValleyProfessionalsCommunityHealthCenter-DataBreach,1/25/2019,10/26/2018,"11,651","12,029",Open
VegaUSLLC-DataBreach,12/5/2018,10/31/2017,6,135,Closed
VitalizeLLC-DataBreach,4/24/2019,7/1/2018,5,4001,Open
VoltInformationSciencesInc-DataBreach,2/15/2019,8/6/2018,35,"9,064",Closed
WausauMedMalManagementServicesLLC-DataBreach,12/20/2018,11/4/2018,3,1432,Closed
WeldersSupplyCompany-DataBreach,1/7/2019,11/14/2018,22,883,Closed
WelkResortGroupInc-DataBreach,2/22/2019,7/24/2018,7,1872,Closed
WennerGroup-DataBreach,3/21/2019,2/15/2019,2,3062,Open
WentworthInstituteofTechnology-DataBreach,2/19/2019,9/8/2018,3,3926,Open
WesternTechnicalCollege-DataBreach,3/21/2019,10/10/2018,33,"28,835",Open
UnknownRespondent,,,,,Closed
WilliamsSomomaInc-DataBreach,11/18/2018,9/20/2018,1,10,Closed
WilsonDavisandCoInc-DataBreach,3/27/2019,12/4/2018,4,116,Open
WindhamProfessionalsInc-DataBreach,2/8/2019,12/19/2018,3,298,Closed
YoungMensChristianAssociationofGreaterIndianapolis-DataBreach,3/6/2019,1/25/2019,"4,128","4,216",Open
YouthVillagesDataFactsInc-DataBreach,1/18/2019,10/19/2018,2,316,Closed
ZurichAmericanInsuranceCompany-DataBreach,1/22/2019,8/1/2018,2,850,Closed
1800ContactsInc-DataBreach,11/13/2018,10/10/2018,2,150,Closed
1873349OntarioInc-DataBreach,11/30/2018,6/1/2016,114,"74,548",Open
1stMarinerBank,2/5/2018,9/21/2017,6,1500,Closed
44North-DataBreach,9/25/2018,5/9/2018,8,242,Open
4AsBenefitsonBehalfofEntitiesListedinExhibit1-Data Breach,12/26/2018,12/6/2017,109,4711,Open
9WHaloOpCoLPdbaAngelica-DataBreach,6/7/2018,4/3/2018,2,201,Closed
A.S.K.ServicesInc.,1/25/2018,1/24/2018,34,229,Closed
ABCBusCompaniesInc,3/2/2018,2/16/2018,47,741,Closed
Abeles&Hoffman,2/13/2018,9/26/2017,1,237,Closed
AcademyMortgageCorporation-DataBreach,8/31/2018,5/21/2018,3,357,Closed
ACECashExpressInc-DataBreach,12/14/2018,10/27/2018,5,4360,Open
ACTIVENetwork,2/23/2018,12/13/2016,8,207,Closed
AdelmanTravelSystemsInc-DataBreach,10/18/2018,6/14/2018,1,48,Closed
AdjutantGeneralsOfficeofIndiana-DataBreach,,,,,Open
AdoptaHighwayMaintenanceCorporation-DataBreach,12/6/2018,10/23/2018,2,405,Open
"AdvancedGraphicProducts,Inc.dbaAdvanced-Online",2/2/2018,4/29/2017,10,22.182,Closed
AdvancedMedicalReviewsLLC-DataBreach,10/8/2018,9/1/2013,1,,Closed
AdvancedTechnologyGroup-DataBreach,6/1/2018,10/1/2017,5,1020,Closed
AEIFundManagementInc-DataBreach,9/28/2018,7/5/2018,9,833,Closed
Aetna,1/30/2018,,1,20,Closed
AetnaInc-DataBreach,8/17/2018,3/7/2018,4,178,Closed
AffiliatedServiceProvidersofIndianaInc-DataBreach,8/27/2018,6/6/2018,21,25,Closed
Aflac-DataBreach,9/28/2018,9/8/2017,5,7366,Closed
AimbridgeHospitalityHoldingsLLC-DataBreach,6/7/2018,1/8/2018,"1,129","77,587",Open
AirCanada-DataBreach,8/29/2018,8/22/2018,3,"20,000",Closed
AkinDohertyKlein&FeugePC-DataBreach,5/8/2018,1/1/2018,1,334,Closed
AlabamaFarmCreditACA-DataBreach,5/1/2018,,1,574,Closed
AlaskaAirlinesInc-DataBreach,5/4/2018,10/1/2017,12,"4,102",Closed
AllStarDriverEducation-DataBreach,4/4/2018,3/29/2018,4,37,Closed
Allconnect-DataBreach,4/2/2018,2/14/2018,2,"1,854",Closed
AltonLane,1/11/2018,11/23/2016,4,1208,Closed
AmericanEsotericLaboratories-DataBreach,4/20/2018,10/15/2017,36,"61,701",Closed
AmericanHospitalityManagement,2/14/2018,11/6/2015,126,244,Open
AmericanInstituteofAeronauticsandAstronautics-DataBreach,8/7/2018,6/4/2018,13,671,Closed
AmericanNationalInsuranceCompany-DataBreach,5/25/2018,3/27/2018,69,"3,790",Closed
AmericanSocietyofAnesthesiologists-DataBreach,4/23/2018,3/8/2018,6,819,Closed
AmeriFirstFinancialCorporation-DataBreach,5/1/2018,,1,1,Closed
AmeriFirstHomeMortgage-DataBreach,3/28/2018,,26,887,Closed
AmeripriseFinancialInc-DataBreach,1/17/2018,11/1/2017,1,56,Closed
AmeripriseFinancialInc-DataBreach,12/12/2018,11/11/2018,13,1513,Open
AmeripriseFinancialInc-DataBreach,8/30/2018,,1,11,Closed
AmeripriseFinancialInc-DataBreach,6/5/2018,,1,1,Closed
AnchorFundLLC,3/9/2018,2/7/2018,1,485,Closed
IndianaBureauofMotorVehicles-DataBreach,12/20/2018,12/19/2018,1,1,Open
ANEWRealty-DataBreach,3/12/2018,3/8/2018,1,1,Closed
AngelesEquityPartnersLLC-DataBreach,3/30/2018,3/1/2018,1,1,Closed
AnotherPlanetEntertainment-DataBreach,9/27/2018,4/9/2018,6,3142,Closed
ApexBenefitsGroupInc-DataBreach,8/30/2018,7/23/2018,5,6,Closed
AppliedPlanAdministrators-DataBreach,3/29/2018,2/10/2018,313,"22,661",Closed
AquaFinanceInc-DataBreach,8/16/2018,4/23/2018,17,569,Closed
ArcadisUSInc-DataBreach,4/16/2018,2/20/2018,4,47,Closed
ArcherDanielsMidlandCompany-DataBreach,,10/10/2018,1,37,Open
ArkansasChildrensHospital-DataBreach,6/28/2018,11/7/2016,3,4075,Closed
ArrowElectricCompany-DataBreach,5/25/2018,2/22/2018,39,251,Closed
ASCD,2/22/2018,2/20/2018,1,192,Closed
AscensusInc-DataBreach,3/21/2018,2/14/2018,31,36,Closed
AscensusInc-DataBreach,4/12/2018,3/19/2018,1,1,Closed
ASIConstructorsInc.,3/2/2018,1/31/2018,2,336,Closed
AthensFederalCommunityBank-DataBreach,11/30/2018,8/21/2018,7,1093,Open
ATIHoldingsLLC-DataBreach,3/27/2018,1/9/2018,78,"34,665",Closed
AtriumHospitality-DataBreach,4/24/2018,4/1/2016,1,182,Closed
AustinFoamPlasticsInc-DataBreach,8/3/2018,11/17/2017,1,66,Closed
AustinNicholsCoIncorporated-DataBreach,4/9/2018,3/14/2018,1,37,Closed
AutismNewJerseyInc-DataBreach,3/16/2018,1/12/2018,1,26,Closed
AutomatedPetCareProductsInc-DataBreach,7/17/2018,11/9/2017,42,2693,Closed
AveannaHealthcare-DataBreach,8/27/2018,8/14/2018,20,20,Closed
AXA Equitable Life Insurance Company,11/21/2018,11/1/2018,185,"33,700",Open
BTCEIncdbaHomeBrewit.com-DataBreach,4/10/2018,9/26/2017,207,"1,024",Closed
BackcountryEdgeInc-DataBreach,12/11/2018,11/24/2018,7,643,Open
BadgerDaylightingLtd.,3/5/2018,1/31/2018,7,92,Closed
BallStateUniversity-DataBreach,,,,,Closed
BankofHope-DataBreach,7/30/2018,6/28/2018,7,"11,362",Closed
BankersInsuranceGroupInc-DataBreach,8/15/2018,,3,1075,Closed
BankersLife-DataBreach,10/25/2018,5/30/2018,"32,308","799,563",Open
BannerEngineeringInc-DataBreach,6/27/2018,3/18/2018,2,1229,Closed
BaptistHealthMedicalGroup-DataBreach,8/15/2018,8/3/2018,1,1,Closed
BaptistHealthMedicalGroup-DataBreach,4/4/2018,3/19/2018,1,1,Open
BarnesandThornburgLLP-DataBreach,6/29/2018,4/20/2018,2,3,Closed
BauerMediaGroupUSA-DataBreach,5/4/2018,3/29/2018,1,410,Closed
BCSFinancialCorporation-DataBreach,12/14/2018,10/29/2018,2,39,Open
BeachbodyLLC,3/2/2018,2/2/2018,17,854,Closed
BeaconHealthSystem-DataBreach,6/1/2018,4/2/2018,27,141,Open
BearingDistributorsInc-DataBreach,4/6/2018,3/30/2018,19,857,Closed
BedBath&BeyondInc.,2/26/2018,11/8/2017,1,153,Closed
BedBath&BeyondInc.,2/12/2018,,2,139,Closed
BeechGroveMeadows-DataBreach,5/11/2018,5/11/2018,1,1,Closed
BeiGeneLTD-DataBreach,9/21/2018,5/22/2018,2,145,Closed
BellPartnersInc-DataBreach,5/23/2018,11/21/2017,1,523,Closed
BellwetherEnterpriseRealEstateCapitalLLC-DataBreach,5/25/2018,1/30/2018,1,355,Closed
HealthandHospitalCorporationofMarionCounty-DataBreach,7/30/2018,7/30/2018,1,1,Closed
BenchmadeKnifeCo-DataBreach,12/21/2018,9/1/2018,42,2702,Open
BenefitOutsourcingSolutions-DataBreach,6/7/2018,8/20/2015,142,"1,144",Closed
BestBuyCoInc-DataBreach,4/13/2018,9/26/2017,,,Closed
BeveragesandMoreIncdbaBevMo-DataBreach,12/17/2018,8/2/2018,6,14519,Open
BigfootGunBelts-DataBreach,3/23/2018,10/31/2017,151,"4,141",Closed
Bio-RadLaboratories-DataBreach,4/5/2018,6/1/2017,2,362,Closed
BiodesixInc-DataBreach,8/24/2018,,5,92,Closed
BlattnerEnergyInc-DataBreach,4/30/2018,2/2/2018,6,248,Closed
BLD-DataBreach,12/19/2018,11/14/2018,15,187,Open
BlueBeaconInternational-DataBreach,4/6/2018,1/29/2018,"1,872","33,644",Closed
BlueSpringsFamilyCarePC-DataBreach,7/16/2018,5/11/2018,11,"44,977",Closed
BluewaterThermalSolutionsLLC,1/19/2018,1/4/2018,5,225,Closed
BMWBankofNorthAmerica-DataBreach,8/17/2018,7/19/2018,2,54,Closed
BombasLLC-DataBreach,5/21/2018,9/1/2013,771,"41,000",Closed
BoysTownNationalResearchHospital-DataBreach,7/20/2018,5/23/2018,1,"105,626",Closed
BrinkerInternationalInc-DataBreach,5/11/2018,3/1/2018,,,Closed
BritishAirwaysPLC-DataBreach,9/7/2018,8/21/2018,176,"429,000",Closed
BronsonNutritionalsLLC-DataBreach,3/19/2018,5/15/2017,350,"25,450",Closed
BrowardCollege,1/10/2018,7/18/2017,63,"44,000",Closed
BrownsburgMeadows-DataBreach,5/2/2018,4/10/2018,2,2,Closed
BrunetteandAssociatesLLC-DataBreach,11/7/2018,2/27/2018,2,4,Open
BuehlersFreshFoodsLLC-DataBreach,10/12/2018,2/1/2016,5,2040,Closed
ByramHealthcare-DataBreach,10/22/2018,6/1/2016,2,52,Open
CandJFinancialLLC-DataBreach,9/11/2018,5/4/2018,1,372,Closed
CableHillPartnersLLC-DataBreach,5/15/2018,1/10/2018,2,989,Closed
CactusWellheadLLC-DataBreach,5/17/2018,5/9/2018,1,"1,086",Closed
CaliforniaCollegeoftheArts,2/26/2018,1/19/2018,1,2709,Closed
CaliforniaStateUniversityEastBay-DataBreach,10/5/2018,3/27/2018,4,9941,Closed
"CaliforniaStateUniversity,Fresno",3/6/2018,12/1/2017,27,"10,777",Closed
CambridgeDentalConsultingGroup-DataBreach,5/9/2018,3/13/2018,1,"3,840",Closed
CambridgeHealthAlliance-DataBreach,3/28/2018,,1,"2,527",Closed
CameronMemorialCommunityHospital-DataBreach,12/1/2017,8/15/2017,8,8,Open
CameronMemorialCommunityHospital-DataBreach,11/15/2017,11/8/2017,2,2,Closed
CameronWoods-DataBreach,,,,,Open
CampbellsvilleUniversityInc-DataBreach,10/19/2018,7/19/2018,7,,Open
CapitalDigestiveCareLLC-DataBreach,4/23/2018,2/23/2018,7,"13,572",Closed
CapitalFarmCredit-DataBreach,4/25/2018,,2,"5,167",Closed
CapitalIntegrationSystemsLLC-DataBreach,6/22/2018,2/1/2018,6,"2,321",Closed
CareerTechnologyCentersofLickingCounty-DataBreach,7/6/2018,2/12/2018,31,"9,578",Closed
CariteInc.,1/23/2018,1/17/2018,30,346,Closed
"CaryE.Williams,CPA",3/2/2018,1/5/2018,8,"7,690",Closed
CastlightHealth-DataBreach,12/27/2018,,5,120,Open
CathayPacificAirwaysLimited-DataBreach,10/25/2018,,1,"9,400,000",Closed
CBIZMHMLLC-DataBreach,7/19/2018,5/21/2018,1,1246,Closed
CBTX-DataBreach,12/21/2018,5/30/2018,4,7703,Open
CCRMSanFrancisco-DataBreach,8/10/2018,6/8/2018,1,366,Closed
CedarvilleUniversity,2/15/2018,1/31/2018,6,241,Closed
CenderaFundingInc-DataBreach,10/25/2018,9/29/2018,3,5328,Open
CenlarFSB-DataBreach,3/20/2018,5/19/2016,1,100,Closed
CenterstoneofIndiana-DataBreach,,,,,Open
CentralChristianCollegeofKansas-DataBreach,6/15/2018,7/11/2017,9,631,Closed
CentrisFederalCreditUnion,3/1/2018,11/1/2015,10,"12,049",Closed
CeresPartnersLLC-DataBreach,10/25/2018,5/1/2018,2,8,Closed
CeteraAdvisorsLLC-DataBreach,1/8/2018,11/8/2017,19,1260,Closed
CeteraAdvisorsLLC-DataBreach,4/25/2018,11/8/2017,8,"2,299",Closed
ChallengerSportsInc-DataBreach,10/22/2018,8/26/2018,138,"11,123",Open
ChamberlainGroupInc-DataBreach,11/20/2018,10/16/2018,13,580,Closed
ChapmanandChapmanInc-DataBreach,8/16/2018,3/7/2018,6,2545,Closed
"CharlesKomar&Sons,Inc.",2/5/2018,11/23/2017,1,99,Closed
CharmsOfficeAssistant-DataBreach,8/24/2018,,238,"17,017",Open
ChattanoogaClothingCompany-DataBreach,5/31/2018,10/26/2017,59,835,Closed
CheddarsScratchKitchen-DataBreach,8/22/2018,11/3/2017,"13,604","567,000",Open
ChicagoPropertyManagementandInvestments-DataBreach,10/16/2018,2/1/2017,2,79,Open
ChildrensMercyHospital-DataBreach,1/31/2018,12/2/2017,17,"38,873",Closed
ChilisGrillandBar-DataBreach,,,,,Closed
ChipotleMexicanGrillInc-DataBreach,8/22/2018,7/21/2018,1,33,Closed
ChopraEnterprisesLLC,3/6/2018,,3,614,Closed
ChosenHealthcare-DataBreach,7/27/2018,5/8/2018,310,310,Closed
CHROMEFederalCreditUnion,3/6/2018,6/14/2017,2,3122,Closed
CitiBankNA,,,,,Closed
CitibankNA-DataBreach,4/18/2018,4/1/2015,1,410,Closed
CityofGoodyearArizona-DataBreach,6/4/2018,6/13/2017,11,"11,247",Closed
CityofHopkinsville-DataBreach,6/8/2018,5/8/2018,2,120,Closed
CityofMidwestCityOklahoma-DataBreach,7/23/2018,12/11/2017,1,"4,559",Closed
ClinicalPathologyLaboratoriesSoutheastInc-DataBreach,3/21/2018,9/20/2017,19,"42,720",Closed
ClubSoda-DataBreach,,,1,1,Open
CNGFinancialCorporationInc-DataBreach,8/15/2018,7/11/2018,9,"104,649",Closed
CNOFinancial-DataBreach,,,,,Open
CNUofIndianaLLCdbaCashNetUSA-DataBreach,4/27/2018,2/20/2018,28,"3,265",Closed
CNUOnlineHoldingsLLC,3/8/2018,2/19/2018,39,"3,011",Closed
CollierHeggernessandBronkCPAs-DataBreach,11/7/2018,,1,2354,Open
ColoradoBankersLifeInsuranceCompany-DataBreach,8/3/2018,3/28/2018,"1,155","99,797",Closed
ColumbiaCollegeChicago,2/28/2018,2/15/2018,2,93,Closed
ColumbiaHealthcareCenter-DataBreach,5/21/2018,5/21/2018,1,1,Closed
ColumbusRegionalHealth-DataBreach,4/25/2018,4/23/2018,1,1,Closed
CommunityFirstBank-DataBreach,3/21/2018,1/19/2018,3,"2,837",Closed
CommunityHealthNetwork*,1/31/2018,1/2/2018,1,1,Closed
CommunityHealthNetwork,2/15/2018,5/2/2017,1,1,Closed
CommunityHealthNetwork,1/30/2018,1/13/2018,25,25,Closed
CommunityHealthNetwork,,,,,Closed
CommunityHealthNetwork,2/2/2018,7/10/2017,11,11,Closed
CommunityHospitalofBremen,1/17/2018,1/17/2018,115,115,Closed
CommunityHospitalSouth-DataBreach,11/1/2018,7/26/2018,1,1,Closed
HealthandHospitalCorporationofMarionCounty-DataBreach,8/6/2018,7/20/2018,1,1,Closed
CommunityPhysiciansofIndianaInc-DataBreach,3/22/2018,2/14/2018,1,1,Closed
CommunityPhysiciansofIndianaInc-DataBreach,1/11/2018,11/29/2017,1,1,Closed
CommunityRehabilitationHospital-DataBreach,3/29/2018,3/19/2018,2,2,Closed
CommunityRehabilitationHospitalSouth-DataBreach,8/2/2018,7/30/2018,9,9,Open
ComplyRightInc-DataBreach,7/13/2018,4/20/2018,"12,056","662,475",Open
ConcannonMillerandCoPC-DataBreach,7/13/2018,2/9/2018,3,292,Closed
"CorporateEmploymentResources,Inc.",2/9/2018,1/26/2018,107,"4,086",Closed
CorporationServiceCompany-DataBreach,5/17/2018,11/25/2017,698,"94,148",Closed
CortlandPartners-DataBreach,8/15/2018,4/26/2018,1,588,Closed
CotyInc-DataBreach,7/6/2018,1/12/2018,41,"4,753",Closed
CountryMutualInsuranceCompany,2/19/2018,1/15/2018,4,1390,Closed
CPTGroupInc-Data Breach,4/27/2018,11/22/2017,36,"76,299",Closed
CRISF-DataBreach,10/15/2018,6/25/2018,1,118,Closed
CrossRoadHealthMinistriesInc-DataBreach,3/30/2018,10/10/2017,3,245,Closed
CruzstarLLC,2/19/2018,11/5/2017,401,"28,740",Closed
CurtinMaritimeCorp.,3/5/2018,1/22/2018,1,191,Closed
CVSHealth-DataBreach,7/27/2018,6/11/2018,1,12,Closed
"CyrusOne,Inc.",1/8/2018,10/18/2017,10,402,Closed
DanaIncorporated-DataBreach,3/23/2018,3/9/2018,3,24,Closed
DaneStreetLLC-DataBreach,,,100,,Closed
DardenRestaurants-DataBreach,3/14/2018,10/23/2017,1,48,Closed
DataIntensity-DataBreach,10/1/2018,7/9/2018,5,266,Closed
DCInternational-DataBreach,,7/21/2018,,,Open
Deaconess DeaconessClinic-Data Breach,12/19/2018,11/16/2018,1,1,Open
DeaconessHospital,,,,,Open
DeaconessHospital,2/15/2018,1/31/2018,1,1,Closed
DeaconessHospital,1/12/2018,12/6/2017,4,4,Closed
DeaconessHospital,12/27/2018,11/13/2018,1,1,Open
DecaturCountyMemorialHospital-DataBreach,,,,,Open
DecaturCountyMemorialHospital-DataBreach,5/9/2018,1/31/2018,2,2,Closed
DecisionHRHoldingsInc-DataBreach,10/8/2018,,2,4938,Open
DeephavenMortgageLLC-DataBreach,5/8/2018,1/10/2018,48,"5,593",Closed
DelawareLifeInsuranceCo-DataBreach,8/31/2018,8/13/2018,1,,Closed
"DeliManagement,Inc.d/b/aJason'sDeli,Inc.",1/11/2018,6/8/2017,,"2,000,000,000",Open
DelicatoVineyards-DataBreach,8/15/2018,4/26/2018,2,1087,Closed
DeloitteTaxLLP-DataBreach,4/10/2018,4/6/2018,1,1,Closed
DeltaAirLinesInc-DataBreach,4/11/2018,9/26/2017,"10,088","825,000",Closed
DeltaDentalofMissouri-DataBreach,4/26/2018,3/21/2018,4,297,Closed
DeltaSteelInc-DataBreach,7/27/2018,2/2/2018,8,443,Closed
DentalCenterofNorthwestOhio-DataBreach,12/28/2018,8/16/2018,477,85874,Open
DepartmentofChildServices-DataBreach,8/13/2018,8/7/2018,3,3,Open
State o. Indiana,1/8/2018,12/22/2017,2,2,Closed
DiCiccoGulmanandCompanyLLP-DataBreach,6/21/2018,5/10/2018,87,"1,354",Closed
DollarGeneralCorporation,2/15/2018,1/18/2018,1,43,Closed
DollarShaveClubInc-DataBreach,6/20/2018,5/26/2018,18,1035,Closed
DoralCorporation,2/2/2018,1/23/2018,9,335,Closed
DoyleandAssociatesPC-DataBreach,8/1/2018,2/21/2018,2,489,Closed
DrAmyWoodruff-DataBreach,10/5/2018,,2,,Open
DrRobertCarpenter-DataBreach,10/5/2018,,1,,Open
"DraperandKramer,Inc.",2/23/2018,,11,37,Closed
Driscoll'sInc.,2/9/2018,7/17/2017,1,1530,Closed
DunkinBrandsInc-DataBreach,11/28/2018,,2118,"175,221",Open
HealthandHospitalCorporationofMarionCounty-DataBreach,8/2/2018,7/19/2018,7,7,Closed
EbbsRobertsHeadDawInc-DataBreach,9/18/2018,6/26/2017,6,4200,Closed
EBSCOSignGroupInc-DataBreach,7/16/2018,9/12/2017,25,871,Closed
ElPasoLosAngelesLimousineExpressInc-DataBreach,11/2/2018,12/9/2016,35,"68,647",Open
ElkhartCountyProsecutorAttorneyOfficeIVDChildSupport-DataBreach,9/5/2018,7/27/2018,0,2,Closed
ElmcroftSeniorLivingInc-DataBreach,6/11/2018,5/10/2018,"2,894","168,490",Open
ElwoodStaffingServicesInc-DataBreach,12/7/2018,12/6/2018,1,1,Open
EmployeeBenefitsCorporation-DataBreach,,,,,Open
EmployeeBenefitsCorporation-DataBreach,3/20/2018,3/7/2018,16,16,Closed
EmployeeBenefitsCorporationForefront Dermatology-DataBreach,5/22/2018,3/7/2018,138,"1,298",Open
EmployeeBenefitsCorporationForeFrontManagement-DataBreach,5/22/2018,3/7/2018,67,455,Open
EmployeeBenefitsCorporationInterVarsityChristianFellowship-DataBreach,5/22/2018,3/7/2018,16,855,Open
EmployIndy-DataBreach,1/19/2018,1/10/2018,1,1,Closed
EmployIndy-DataBreach,,5/31/2018,1,1,Closed
EnchromaInc-DataBreach,6/26/2018,5/15/2018,1,149,Open
EngleMartin&Associates,2/14/2018,,11,2508,Closed
EntrustEnergy-DataBreach,11/12/2018,5/26/2018,8,4782,Open
EnvisionHealthcareCorporation-DataBreach,10/10/2018,7/17/2018,244,"21,757",Open
EquiasAllianceLLC-DataBreach,5/8/2018,1/10/2018,565,"2,264",Closed
EquityConceptsLLC-DataBreach,11/29/2018,4/20/2018,6,3794,Open
TheEducationalEmployeesSupplementaryRetirementSystemofFairfaxCounty-DataBreach,6/19/2018,5/7/2018,5,"3,332",Closed
ErieInsuranceGroup-DataBreach,6/13/2018,5/9/2018,2,25,Closed
ERPIronOreLLC-DataBreach,6/7/2018,12/1/2015,700,700,Closed
ESAManagementLLC-DataBreach,6/15/2018,,8,"1,324",Closed
ESINorthAmericaInc-DataBreach,9/20/2018,5/9/2018,1,698,Open
ExamOne-DataBreach,8/21/2018,7/26/2018,1,1,Closed
ExamOne-DataBreach,3/15/2018,2/12/2018,1,1,Open
ExamOne-DataBreach,10/24/2018,9/11/2018,2,2,Open
ExamOne-DataBreach,7/27/2018,7/7/2018,1,1,Closed
ExamOne-DataBreach,1/12/2018,12/27/2017,1,1,Open
ExitOneHotelLLC-DataBreach,,,,,Open
Experian-DataBreach,,,,,Open
Facebook-DataBreach,,,,,Open
FacebookInc,,,,,Open
FairbanksNorthStarBorough-DataBreach,7/19/2018,4/14/2018,9,6346,Closed
FairchildMaddox&Leonidas,3/2/2018,,3,"2,365",Closed
Family&SocialServicesAdministration,2/21/2018,1/31/2018,1,1,Closed
Family&SocialServicesAdministration,2/12/2018,2/5/2018,1,1,Closed
FareportalInc-DataBreach,5/10/2018,10/1/2017,1,"880,000",Open
FareportalInc-DataBreach,5/10/2018,10/1/2017,1,"880,000",Open
FarmCreditServicesofAmerica-DataBreach,5/15/2018,4/8/2018,1,114,Closed
FarmerBrosCo-DataBreach,12/11/2018,5/1/2018,22,2412,Open
FarmgirlFlowersInc-DataBreach,5/11/2018,4/26/2018,24,"1,870",Closed
FastHealthCorporation,2/27/2018,8/14/2017,"16,034","657,529",Open
FCCIServicesInc-DataBreach,9/17/2018,9/11/2018,1,1,Closed
FeconInc,2/28/2018,2/20/2018,1,218,Closed
FederalExpressCorporation-DataBreach,9/5/2018,8/30/2018,1,1,Closed
FeldEntertainmentInc-DataBreach,8/6/2018,4/5/2018,1,867,Closed
State o. Indiana,1/11/2018,11/24/2017,2,348,Closed
FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC-DataBreach,7/16/2018,7/2/2018,2,2,Closed
FirstMerchantsBank-DataBreach,5/18/2018,3/31/2018,223,223,Closed
FirstMerchantsBank-DataBreach,5/21/2018,4/26/2018,5,5,Closed
FirstMerchantsBank-DataBreach,3/28/2018,3/14/2018,25,315,Closed
FirstNationalBankofOmaha-DataBreach,8/31/2018,7/13/2018,1,31,Closed
FirstGroupofAmericaInc-DataBreach,9/27/2018,8/1/2015,3,73,Closed
FiveBelowInc-DataBreach,10/5/2018,8/14/2018,85,3234,Closed
FiveGuysHoldingsInc-DataBreach,11/2/2018,5/23/2018,13,"19,191",Open
FlemingCountySchools,2/20/2018,1/14/2018,1,160,Closed
FlexibleBenefitServiceCorporation,2/14/2018,11/21/2017,1098,19438,Closed
FloridaFarmBureauCasualtyInsuranceCompany-DataBreach,10/5/2018,6/27/2018,2,4000,Closed
FontainebleauMiamiBeach,2/8/2018,11/20/2017,2,158,Closed
FordMotorCompany-DataBreach,5/31/2018,3/13/2018,1,1,Closed
ForethoughtLifeInsuranceCompany-DataBreach,10/25/2018,10/10/2018,1,16,Closed
Forever21Inc-DataBreach,11/14/2017,4/3/2017,,,Open
FoundationBuildingMaterialsLLC-DataBreach,5/23/2018,2/1/2018,31,1246,Closed
FrancescasServicesCorporation-DataBreach,11/19/2018,12/28/2017,1682,"84,275",Open
FranciscanACOInc-DataBreach,8/13/2018,7/6/2018,1,1,Closed
FranciscanAllianceInc,12/22/2018,10/22/2018,13,18,Open
FranciscanHealthIndianapolis-DataBreach,7/2/2018,2/26/2013,4,4,Closed
FranciscanHealthIndianapolis-DataBreach,9/4/2018,4/26/2018,15,19,Closed
FranciscanHealthIndianapolis-DataBreach,5/31/2018,4/18/2018,1,1,Closed
FranciscanHealthIndianapolis,1/17/2018,1/6/2018,2,2,Closed
FranciscanPhysicianNetowrkdbaLowellHealthCenter-DataBreach,11/2/2018,9/19/2018,1,1,Closed
FranciscanPhysicianNetwork-DataBreach,11/9/2018,6/20/2018,1,1,Closed
FranciscanPhysicianNetwork-DataBreach,5/17/2018,2/15/2018,1,1,Closed
FranciscanPhysicianNetwork-DataBreach,6/12/2018,,16,17,Closed
FranciscanPhysicianNetwork-DataBreach,6/25/2018,2/2/2018,1,1,Closed
FranciscanPhysicianNetworkdbaCoolspringHealthCenter-DataBreach,11/9/2018,9/24/2018,1,1,Closed
FranciscanPhysicianNetworkDyerFamilyHealthCenter-DataBreach,,,,,Open
FranciscanUniversityofSteubenville-DataBreach,11/30/2018,10/1/2018,49,2400,Open
FranciscanVNSHomeCare-DataBreach,5/11/2018,4/13/2018,30,30,Open
