Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
CommunitiesConnectedforKids,8/30/2019,8/1/2018,177,"149,114"
CommunityCollegeofAlleghenyCounty,4/5/2019,3/27/2019,5,"4,180"
CommunityHealthNetwork,9/12/2019,8/14/2019,1,1
CommunityHealthNetwork,1/23/2019,1/8/2019,1,1
CommunityHealthNetwork,9/13/2019,8/22/2019,1,1
CommunityHealthNetwork,3/7/2019,2/1/2019,1,1
CommunityHealthNetwork,3/12/2019,3/3/2019,1,1
CommunityHealthNetworkRehabilitationHospitalSouth,7/23/2019,6/3/2019,22,22
CommunityHealthNetworkInc,5/17/2019,1/10/2019,"6,450","6,600"
CommunityHowardRegionalHealth,5/14/2019,4/16/2019,2,2
CommunityPhysicianNetwork,4/24/2019,10/17/2018,1,1
CommunityPhysicianNetwork,6/20/2019,5/24/2019,4,4
CommunityPhysiciansofIndianaInc,3/11/2019,8/24/2018,5,5
CommunityRehabilitationHospital,7/23/2019,6/3/2019,2,2
ConcretePipePrecastLLC,9/13/2019,7/17/2019,1,18
CondeNast,5/10/2019,4/14/2019,5,1161
Conduent,12/17/2018,12/17/2018,1,1
ConerstoneBenefitsInc,10/18/2019,5/7/2019,3,"2,991"
ConnecticutLaborersFundOffice,8/27/2019,5/9/2019,2,"1,567"
ContinentalPropertiesCompanyInc,5/20/2019,3/18/2019,3,92
ContinentalResourcesInc,2/27/2019,2/1/2019,1,45
ControlConsultantsInc,2/8/2019,3/1/2017,15,539
UnknownRespondent,,,,
CorCleaningLLC,12/12/2018,8/30/2018,1,659
CornerstoneBuildingBrandsInc,9/11/2019,4/1/2019,375,"11,185"
CornerstoneInc,8/19/2019,6/26/2019,15,"7,213"
CorporateCreationsInternationalInc,8/28/2019,7/17/2019,11,"1,147"
CorporateCreationsInternationalIncLKQCorporation,10/2/2019,9/3/2019,1,261
CottinghamButlerClaimsServices,8/30/2019,5/23/2019,11,434
CouncilonAgingofSouthwesternOhio,5/22/2019,2/1/2019,9,596
CountryFinancial,5/7/2019,4/1/2019,4,1301
CourtSquareCapitalPartners,2/27/2019,2/15/2017,1,103
CovenantCareCalifornia,3/20/2019,1/22/2019,622,10831
CovestroLLC,9/20/2019,4/1/2019,4,"2,780"
CoviaHoldingsCorporation,8/1/2019,4/12/2019,11,"5,151"
CoyoteLogisticsLLC,8/9/2019,5/31/2019,2,218
CraneCreditUnion,3/12/2019,2/1/2019,1265,1265
CranvickIncorporateddbaEdoneandGraham,12/15/2018,11/7/2018,1,418
CreationEntertainmentInc,8/26/2019,2/1/2018,"1,294","57,078"
CremationSocietyofPennsylvaniaInc,3/15/2019,2/12/2019,21,"24,168"
CrowePRPSC,10/18/2019,7/15/2019,5,"2,332"
CrownGlobalInsuranceGroupLLC,11/18/2019,10/10/2019,2,167
CryeLeikeInc,2/1/2019,11/30/2018,1,1857
CumminsBehavioralHealthSystemsInc,,,,
CUNABrokerageServicesInc,7/11/2019,6/3/2019,1,1
CUSOFinancialServicesLP,1/3/2019,12/19/2018,4,4
CventInc,6/24/2019,4/16/2019,7,"3,100"
CWCapitalAssetManagement,2/27/2019,8/16/2018,1,283
CzeroInc,8/1/2019,4/2/2019,1,99
DandSAutoParts,4/29/2019,2/1/2019,1,122
DallasComputerServicesInc,7/22/2019,6/24/2019,5,"66,608"
DarwinsNaturalPetProducts,6/7/2019,9/27/2016,229,"19,523"
DatamarsInc,7/9/2019,12/1/2018,3,117
dataxuInc,6/17/2019,4/17/2019,3,494
DavidEBenesonDPM,3/29/2019,2/12/2019,7,"12,542"
DawnFoodProductsInc,2/25/2019,,66,
DeaconessHospital,3/28/2019,3/23/2019,1,1
DeaconessHospital,,,,
DeanSnyderConstruction,6/4/2019,,2,76
DEFENDERSInc,1/31/2019,8/1/2018,1090,3382
DelawareLifeInsuranceCompany,6/19/2019,4/1/2019,44,"7,877"
DellaVecchiaReillySmithandBoydFuneralHomeInc,8/28/2019,6/7/2019,1,92
DeltaDentalofIllinois,4/16/2019,12/21/2018,154,5092
DeltaDentalofWisconsin,1/14/2019,12/14/2018,4,416
DeluxeCorporation,8/29/2019,8/13/2019,3,153
DermatologyInc,10/8/2019,7/1/2019,125,125
DevereuxFoundation,2/22/2019,1/30/2019,1,752
DiamondFinancialUSA,6/7/2019,2/12/2019,5,"2,698"
DiBellasOldFashionedSubmarinesInc,11/26/2019,3/22/2018,,
DiGiovineHniloJordanJohnsonLtd,1/17/2019,4/23/2018,32,3173
DiPardoEremicandCoPC,2/25/2019,,2,1098
DirectDistributorsInc,2/21/2019,1/1/2018,40,2437
DirectScripts,2/22/2019,1/30/2019,15,9319
DIRTTEnvironmentalSolutions,8/30/2019,8/12/2019,2,233
DiscipleshipMinistries,3/8/2019,8/10/2018,4,89
DMBSportsClubsLimitedPartnership,5/9/2019,2/2/2019,4,2366
TheRevenueOptimizationCompanies,,,,
DollarGeneralCorporation,1/21/2019,12/24/2018,1,33
DominionNational,6/21/2019,8/25/2010,"1,899","3,199,635"
DonBestCorporationaScientificGamesCorporation,2/6/2019,10/12/2018,870,"58,000"
DoorDashInc,9/26/2019,5/4/2019,"2,600","100,247"
DoumakInc,10/11/2019,7/29/2019,1,193
DrTavelFamilyEyeCare,,,,
DrBenLunchLLC,12/17/2018,9/8/2018,5,392
DrDeLucaDrMarcianoandAssociatesPC,1/25/2019,11/29/2018,2,"23,578"
DrTYStevenIpMDFACS,4/18/2019,11/8/2018,2,6326
DrakeSoftware,5/15/2019,2/18/2019,7,131
DraperInc,10/3/2019,5/24/2019,20,89
DruryHotelsCompanyLLC,5/30/2019,12/29/2017,211,"109,000"
DukeEnergyIndianaLLC,,,,
DukeUniversity,4/9/2019,1/1/2013,4,1491
EarlEnterprises,3/29/2019,5/23/2018,,
EarlyWarningServicesLLC,7/12/2019,5/3/2019,1,72
eClinicalWorksLLP,,,,
EdinboroUniversityStudentGovernmentAssociation,8/15/2019,7/15/2019,1,362
EdmondsonBetzlerandDamePLLC,3/28/2019,3/17/2018,4,579
EisaiInc,3/27/2019,1/22/2019,1,110
ElectroSavingsCreditUnion,4/12/2019,1/31/2019,2,979
ElevateStudiosInc,4/10/2019,3/29/2019,1,24
ElizabethFamilyHealth,11/22/2019,9/23/2019,28,"28,375"
EmCareInc,5/3/2019,9/24/2018,843,"60,002"
EmCareInc,4/12/2019,8/24/2018,1,689
EmersonHospital,3/8/2019,5/9/2018,1,"6,314"
EMPIIIIncDBAAlphaPropertyManagement,6/7/2019,10/1/2018,1,633
EmployBridge,11/8/2019,9/3/2019,16,"1,522"
EmployeeScreeningServicesofMissouriDBATomoDrugTesting,9/25/2019,4/23/2019,2,"1,459"
EmployIndy,8/1/2019,7/24/2019,1,1
EnservioInc,1/9/2019,6/5/2018,3,490
EnvironmentalGraphicsLLCdbaMuralsYourWay,2/22/2019,1/16/2019,2,109
EnvironmentalStoneWorksLLC,8/26/2019,3/12/2019,4,"4,056"
EpiscopalChildrensServicesInc,4/3/2019,2/6/2019,5,1632
EpiscopalHealthServices,4/18/2019,8/28/2018,1,"218,055"
EpochSeniorLivingLLC,7/12/2019,4/2/2019,1,"1,389"
EquianLLC,10/17/2019,7/26/2019,1,24
EquianLLC,8/27/2019,4/10/2019,3,238
ERCEmployersResourceCouncil,10/25/2019,5/7/2019,1,11
ErnestHealth,4/15/2019,10/8/2018,9,7037
EskenaziHealth,1/4/2019,,1,1
EskenaziHealth,11/15/2019,8/20/2019,1,1
EskenaziHealth,,,,
EskenaziHealth,,9/12/2019,1,1
EspressoPartsLLC,8/20/2019,6/4/2019,10,763
Essentia Health,7/10/2019,3/28/2019,2,"1,377"
EssexPropertyTrustInc,11/11/2019,,4,20
EurofinsNSCUSInc,10/12/2018,10/2/2018,1,64
EvergreenAllianceGolfLimitedLP,2/25/2019,8/15/2018,9,"14,888"
ExamOne,7/16/2019,4/6/2019,1,1
ExamOne,6/27/2019,4/13/2019,1,1
ExamOne,7/16/2019,6/18/2019,1,1
ExamOne,4/26/2019,4/10/2019,1,1
ExamOne,6/27/2019,5/8/2019,1,1
ExamOne,10/11/2019,9/4/2019,3,3
EyeBuyDirectInc,10/14/2019,9/1/2018,4,"12,833"
EyeBuyDirectInc,3/18/2019,2/24/2019,16,797
EyeSafetySystemsInc,8/29/2019,11/21/2017,149,"7,666"
FamilyandSocialServicesAdministration,8/7/2019,7/17/2019,1,1
FamilyandSocialServicesAdministration,4/3/2019,3/29/2019,1,1
FamilyandSocialServicesAdministration,5/6/2019,5/2/2019,1,1
FamilyandSocialServicesAdministration,8/29/2019,7/19/2019,5,5
FamilyandSocialServicesAdministration,8/7/2019,7/12/2019,1,1
FamilyandSocialServicesAdministration,4/10/2019,4/2/2019,1,1
FamilyandSocialServicesAdministration,7/3/2019,6/28/2019,2,2
FamilyandSocialServicesAdministration,9/16/2019,9/10/2019,3,3
FarmBureauLifeInsuranceCompanyofMichigan,2/19/2019,12/19/2018,13,157
FeldEntertainmentInc,9/5/2019,11/14/2018,1,615
FellowshipofCatholicUniversityStudents,3/29/2019,1/13/2019,54,1777
FidelityBrokerageServicesLLC,11/27/2019,10/9/2019,1,1
FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC,9/26/2019,8/12/2019,2,2
FieldandMainInsurance,5/23/2019,3/4/2019,106,296
FindawayInc,9/3/2019,6/19/2019,2,279
FireKingSecurityGroupLLC,8/19/2019,2/18/2019,8,153
First AidBeautyLimited,11/8/2019,4/15/2019,350,"21,486"
FirstAmericanFinancialCorporation,6/28/2019,,2,32
FirstBankofAlabama,3/27/2019,9/6/2018,6,"8,700"
FirstCommerceBank,4/5/2019,5/13/2017,5,2988
FirstMerchantsBank,,,1,1
FirstSavingsBank,12/19/2018,10/16/2018,2,12
FirstLeaseInc,2/15/2019,9/6/2018,5,670
FiveBelowInc,2/14/2019,11/13/2018,1762,"56,102"
FixMyBlinds,10/15/2019,3/14/2019,320,18743
FlatRockHawcreekSchoolCorporation,,10/18/2019,1,
FlexCareLLCdbaFlexCareMedicalStaffing,7/3/2019,3/26/2019,144,"9,639"
flexPATHStrategiesLLC,3/15/2019,12/7/2018,1379,"91,769"
FloodBumsteadMcCreadyandMcCarthyInc,5/29/2019,12/7/2018,2,647
FloridaAMUniversityFederalCreditUnion,7/26/2019,8/29/2018,4,"2,329"
FloridaInternationalUniversity,3/22/2019,3/12/2019,1,5754
ForefrontDermatology,,9/5/2019,1,1
ForgeConsultingLLC,6/27/2019,7/12/2017,5,1095
ForterraPipeandPrecastLLC,4/2/2019,1/17/2018,1,763
FossilGroupInc,7/18/2019,5/14/2019,26,"1,393"
FourCountyComprehensiveMentalHealthCenterInc,7/1/2018,,229,251
FourCountyComprehensiveMentalHealthCenterInc,,,1,1
FourCountyComprehensiveMentalHealthCenterInc,8/26/2019,8/7/2019,1,1
FourSeasonsFinancialGroupInc,2/21/2019,11/7/2018,2,2350
FranciscanAllianceInc,9/16/2019,12/15/2017,2,5
FranciscanAllianceInc,6/21/2019,12/11/2012,1813,2182
FranciscanAllianceInc,1/8/2019,10/31/2018,4,4
FranciscanAllianceInc,6/21/2019,12/11/2012,"1,813","2,182"
FranciscanAllianceInc,11/25/2019,10/22/2019,3,3
FranciscanAllianceInc,9/23/2019,6/14/2019,4,4
FranciscanAllianceInc,10/22/2019,8/1/2019,1,2
FranciscanHealthCrownPoint,7/26/2019,6/28/2019,1,1
FranciscanHealthCrownPoint,10/11/2019,9/12/2019,1,1
FranciscanHealthHammond,10/14/2019,7/3/2019,1,1
FranciscanHealthIndianapolis,10/25/2019,9/26/2019,1,1
FranciscanHealthMichiganCity,3/16/2018,1/19/2018,1,1
FranciscanHealthMichiganCity,11/5/2019,7/29/2019,1,1
FranciscanHospiceCare,7/22/2019,5/19/2019,1,1
FranciscanPhysicianNetwork,5/15/2019,3/15/2019,2,2
FranciscanPhysicianNetwork,3/26/2019,11/26/2018,1,2
FranciscanPhysicianNetwork,10/2/2019,8/5/2019,1,1
FranciscanPhysicianNetwork,9/23/2019,9/12/2018,5,5
FranciscanPhysicianNetwork,10/10/2019,8/2/2019,29,29
FranciscanPhysicianNetwork,10/21/2019,3/5/2018,1,1
FranciscanPhysicianNetwork,10/10/2019,6/17/2019,1,1
FranciscanPhysicianNetwork,4/11/2019,2/18/2019,3,3
FranciscanPhysicianNetwork,9/9/2019,8/2/2019,2,2
FranciscanPhysicianNetwork,11/21/2019,7/5/2018,1,1
FranciscanPhysicianNetwork,10/22/2019,8/1/2019,3,4
FranciscanPhysicianNetwork,5/20/2019,11/1/2013,5,5
FranciscanAllianceInc,2/22/2019,12/26/2018,3,3
FriedmanLawGroupLtd,11/15/2019,10/16/2019,1,38
FusionMedicalStaffingLLC,7/1/2019,11/3/2018,4,239
GavilonGrainLLC,8/30/2019,12/1/2015,37,312
GeneralBoardofHigherEducationandMinistry,5/10/2019,1/25/2019,15,922
GeneralDynamicsInformationTechnology,12/28/2018,10/31/2018,242,8239
GFSInc,11/13/2019,8/13/2019,1,"6,110"
GillespiePropertyManagementInc,3/21/2019,10/1/2018,7,917
GoldenEntertainmentInc,11/7/2019,5/30/2019,6,"5,815"
GoldenLionOperationsInc,1/30/2019,6/6/2018,66,3741
GoogleLLC,,,,
GraetersIceCream,1/15/2019,6/28/2018,217,"11,030"
GraetersIceCream,7/23/2019,12/30/2018,122,"6,386"
GrafandSonsInc,2/6/2019,1/19/2019,34,1243
GraniteStateCollege,10/16/2019,10/3/2019,1,209
GrantStreetInn,10/2/2019,9/23/2018,"2,112","4,134"
GrayInc,8/29/2018,4/1/2018,2,579
GreekOrthodoxArchdioceseofAmerica,8/5/2019,8/3/2018,2,318
"GreenRoadsofFlorida,LLC",11/15/2019,7/9/2019,567,"41,422"
GreenstoneFarmCreditServices,10/25/2019,4/12/2019,27,"6,486"
GrinnellCollege,3/25/2019,3/7/2019,36,3261
GuggenheimLifeandAnnunityCompany,10/14/2019,8/29/2019,1,2
HandRBlock,5/8/2019,3/1/2019,13,359
HCarsonSmithIVPC,4/5/2019,10/2/2018,3,1465
HallRunnelsPA,10/25/2019,6/18/2019,1,259
HamiltonCollege,6/5/2019,3/2/2019,1,141
HamlinBurtonLiabilityManagementInc?Data Breach,10/21/2019,,42,
HammerNutrition,12/14/2018,1/1/2018,570,"33,269"
HanoverCollege,3/1/2019,6/30/2018,78,138
HarlandClarkeCorp,3/12/2019,1/30/2019,6,230
HarrisAssociatesLP,4/5/2019,6/4/2018,2,82
HarvestPartnersFinancial,4/19/2019,,0,6
HauserInc,6/28/2019,4/30/2019,107,"14,806"
HealthandSafetySciencesLLC,4/12/2019,11/13/2018,6,128
HealthandHospitalCorporationofMarionCountydbaBrownsburgMeadows,3/26/2019,3/3/2019,1,1
HealthandHospitalCorporationofMarionCounty,5/20/2019,4/20/2019,10,10
HealthandHospitalCorporationofMarionCountydbaEastgateManorNursingandRehabilitation,5/28/2019,4/28/2019,16,16
HealthandHospitalCorporationofMarionCountyDBAForestCreekVillage,6/11/2019,5/13/2019,11,11
HealthandHospitalCorporationofMarionCountyDBAHeritagePark,7/1/2019,5/31/2019,1,1
HealthandHospitalCorporationofMarionCounty,3/13/2019,2/20/2019,1,1
HealthandHospitalCorporationofMarionCountyDBATrailpointVillage,10/3/2019,9/11/2019,1,1
HealthandHospitalCorporationofMarionCountyDBAWestviewNursingandRehabilitationCenter,6/21/2019,5/20/2019,1,1
HealthRecoveryServicesInc,4/5/2019,11/14/2018,3,"20,485"
HealthcareAdministrativePartners,11/6/2019,6/26/2019,1,200
HeartlandFoodProductsLLC,1/10/2019,11/19/2018,2,59
HelenofTroyLP,2/4/2019,11/30/2018,2,203
"Bilbrey, Jennifer",,,,
HendricksRegionalHealth,,,1,1
HendricksRegionalHealth,5/16/2019,5/2/2019,11,11
HintonBurdickCPAandAdvisors,6/18/2019,2/5/2019,1,"6,579"
HistoricalEmporiumInc,5/31/2019,3/2/2019,67,"4,366"
HiteFanningHoneymanLLP,6/24/2019,6/11/2018,1,78
HomesideFinancialLLC,8/29/2019,3/27/2019,655,"28,446"
HoodandAssociatesCPAsPC,6/11/2019,3/12/2019,5,7013
HoosierStampingManufacturingCorporation,1/11/2019,7/3/2018,18,819
HopeCollege,4/24/2019,1/19/2019,1,10
HopeCollege,5/22/2019,4/13/2019,4,78
HotLineConstructionInc,4/24/2019,10/25/2018,9,2812
Hourglass,2/15/2019,7/3/2018,139,"9,626"
HPRestaurantGroup,5/24/2019,10/7/2011,281,"11,184"
HPECapitalManagementIILLC,1/22/2019,4/1/2018,7,405
HuddleHouseInc,2/1/2019,8/1/2017,,
HuntMemorialHospitalDistrict,10/7/2019,5/18/2018,213,"323,832"
HunterWoodsMobileHomePark,,,,
HyVeeInc,10/31/2019,11/9/2018,110,
IllinoisGastroenterologyGroupLLC,11/25/2019,5/20/2019,1,"1,481"
IllinoisHealthandSciencedbaZevacorMolecular,4/23/2019,11/19/2018,41,68
IMShoppingInc,6/14/2019,4/24/2019,153,"8,796"
ImageINationTechnologiesInc,1/30/2019,11/1/2018,"13,231","430,139"
ImpactPartnershipLLC,7/24/2019,6/1/2019,10,641
ImplantDirectSybronInternationalLLC,7/5/2019,5/30/2019,1,80
IndianaBureauofMotorVehicles,8/20/2019,8/15/2019,1,1
IndianaBureauofMotorVehicles,8/1/2019,7/22/2019,1,1
IndianaBureauofMotorVehicles,9/27/2019,9/26/2019,1,1
IndianaBureauofMotorVehicles,9/27/2019,9/26/2019,1,1
IndianaBureauofMotorVehicles,2/1/2019,1/30/2019,1,1
IndianaBureauofMotorVehicles,3/7/2019,2/22/2019,1,1
IndianaBureauofMotorVehicles,3/7/2019,2/28/2019,2,2
IndianaBureauofMotorVehicles,9/16/2019,9/13/2019,1,1
IndianaBureauofMotorVehicles,,11/27/2018,1,1
IndianaDepartmentofChildServices,,10/22/2019,18,18
IndianaDepartmentofChildServices,10/24/2019,10/22/2019,5,5
IndianaDepartmentofEnvironmentalManagement,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement,6/4/2019,4/16/2019,1,1
IndianaDepartmentofEnvironmentalManagement,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement,,9/12/2007,1,1
IndianaDepartmentofEnvironmentalManagement,10/15/2019,10/11/2007,1,1
IndianaDepartmentofEnvironmentalManagement,8/9/2019,7/17/2019,1,1
IndianaDepartmentofEnvironmentalManagement,11/14/2019,7/18/2019,1,1
IndianaDepartmentofInsurance,,,,
IndianaDepartmentofWorkforceDevelopment,7/22/2019,7/16/2019,1,1
IndianaDepartmentofWorkforceDevelopment,3/4/2019,2/26/2019,2,2
IndianaDepartmentofWorkforceDevelopment,4/11/2019,4/8/2019,1,1
IndianaDepartmentofWorkforceDevelopment,8/16/2019,8/7/2019,148,148
IndianaDepartmentofWorkforceDevelopment,1/11/2019,1/7/2019,1,1
IndianaSecretaryofState,3/15/2019,3/14/2019,1,1
IndianaStateUniversity,2/13/2019,10/16/2018,1047,1456
Indiana TrustandInvestmentManagementCompany,12/2/2019,8/12/2019,"4,326","6,814"
IndianaUniversityHealth,5/3/2019,3/18/2019,3,3
IndianaUniversityHealthInc,12/17/2018,12/4/2018,1,1
IndianaUniversityHealthInc,2/7/2019,11/6/2018,10,10
IndianapolisFireDepartment,7/16/2019,7/10/2019,"1,265","1,265"
IndianapolisPrivateIndustryCouncildbaEmployIndy,2/26/2019,2/9/2019,1,1
InmediataHealthGroupLLC,4/22/2019,,,"39,760"
InstituteforDefenseandBusiness,7/5/2019,3/4/2019,11,274
Insuramax,8/23/2019,2/12/2019,20,496
InterContinentalCigarCorporation?DataBreah,7/5/2019,10/18/2018,59,"2,516"
InternationalEZUpInc,1/11/2019,5/11/2018,126,6395
InternationalFinanceBank,7/1/2019,3/1/2019,1,2950
InternationalVaporGroup,3/12/2019,1/18/2018,179,"7,656"
IntrepidBenefitsColorado,7/9/2019,2/19/2019,5,2208
IntuitInc,12/12/2018,11/20/2018,3,3
IntuitInc,8/29/2019,8/14/2019,1,1
IntuitInc,2/26/2019,1/29/2019,25,25
IntuitInc,5/28/2019,4/29/2019,1,1
IntuitInc,3/12/2019,2/21/2019,6,6
IntuitInc,7/26/2019,3/21/2019,20,20
IntuitInc,2/7/2019,1/11/2019,1,1
IntuitInc,4/16/2019,4/7/2019,15,15
IntuitInc,3/26/2019,3/11/2019,7,7
IntuitInc,5/9/2019,4/1/2019,2,2
IntuitInc,11/12/2019,6/20/2019,2,2
IntuitInc,7/2/2019,6/3/2019,1,1
IntuitInc,7/1/2019,6/2/2019,1,1
IntuitInc,11/8/2019,7/3/2019,4,4
iSalusHealthcare,,,,
IUHealthAdvancedHeartLungCare,,,,
IvyRehabNetwork,11/26/2019,5/1/2019,"3,179",
IvyTechCommunityCollege,,5/23/2019,58,127
JAGlynnCo,,4/11/2019,10,"1,491"
JacksonNationalLifeInsuranceCompany,6/7/2019,4/1/2019,"1,026","31,170"
TheDamienCenter,,,,
JamesAScottSonInc,10/2/2019,2/5/2019,1,"1,550"
JamesPerseEnterprisesInc,3/13/2019,2/9/2019,1,684
JANDIncdbaWarbyParker,12/20/2018,9/25/2018,454,"197,986"
JeepCountryFederalCreditUnion,2/8/2019,1/28/2019,1,756
JeffDavisBancsharesInc JDBank,6/17/2019,2/19/2019,19,"39,827"
JensenEnterprisesIncdbaJensenPrecast,1/11/2019,8/23/2018,1,2600
JobscienceInc,4/4/2019,4/1/2018,1067,"1,750,302"
JocorEnterprisesLLCdbaVolcanoeCigs,4/16/2019,2/13/2019,31,1998
JoFitLLC,8/5/2019,1/18/2019,40,"4,358"
JohnHancockFinancialNetwork,3/22/2019,8/15/2018,120,777
JuniataCollege,11/1/2019,3/12/2019,5,"1,170"
KahnDeesDonovanKahnLLP,8/9/2019,1/11/2019,2,2
KalamazooCollegeBookstore,6/10/2019,4/13/2019,1,32
KatzSapperandMiller,2/8/2019,11/11/2018,"5,766","9,666"
KearnsBrinenMonaghan,10/1/2019,10/15/2018,3,444
KenraProfessional,4/3/2019,3/4/2019,418,969
KentuckyYouthAdvocatesInc,,,,
KestlerFinancialGroupInc,11/6/2019,8/7/2019,4,243
KestraInvestmentServicesLLC,12/20/2018,11/1/2018,231,4972
KeyWestHotelsLLC,4/1/2019,2/7/2018,,"18,000"
KindelFurnitureCompany,11/15/2019,4/23/2019,8,14
KolbrennerandAlexanderLLC,7/1/2019,2/28/2019,7,2623
KPRSConstructionServicesInc,11/22/2019,3/14/2019,1,825
KSKolbenschmidtInc,,,,
LandMFleetSupplyInc,4/23/2019,12/5/2018,100,4952
LMSupplyInc?DataBrach,10/23/2019,7/29/2019,18,665
LafayetteRegionalRehabHospital,4/15/2019,10/8/2018,301,7037
LancasterArcherySupplyInc,4/25/2019,7/4/2018,"1,056","53,345"
LCPTransportationLLC,1/1/2019,7/29/2018,"70,000","70,000"
LeaflyHoldingsInc,10/10/2019,,,
Legg Mason,11/1/2019,9/18/2019,2,22
LevyPremiumFoodserviceLimitedPartnership,10/11/2019,9/27/2019,1,50
Lewis Wagner LLP,11/5/2019,8/25/2019,3,3
LifeEquityLLC,3/27/2019,11/13/2018,2,361
LifeMarkSecuritiesCorp,11/19/2019,8/3/2019,117,"10,879"
LincolnFinancialGroup,11/18/2019,10/23/2019,1,25
LincolnFinancialGroup,5/15/2019,5/8/2019,1,1
LincolnFinancialGroup,2/21/2019,12/19/2018,7,1836
LincolnFinancialGroup,12/31/2018,12/11/2018,2,2
LittleRockCancerClinicPA,3/11/2019,1/10/2019,2,3078
LittleSistersofthePoor,,,,
LogansportMemorialHospital,5/23/2019,2/22/2019,172,172
LogansportMemorialHospital,3/14/2019,2/21/2019,99,3
LogansportMemorialHospital,9/6/2019,8/15/2019,2,2
LoungeflyLLC,4/26/2019,9/19/2018,33,4562
LPLafayetteLLC,1/10/2019,11/18/2018,1,1
LPLFinancialLLC,12/19/2018,11/26/2018,1,1
LPRConstruction,2/25/2019,3/1/2018,3,1463
LubbockChristianUniversity,11/22/2019,11/5/2003,5,5118
LudusLLC,7/9/2019,1/1/2019,1,"3,671"
LutheranLifeCommunities,1/28/2019,12/5/2018,731,4799
LyonsCompanies,8/23/2019,2/4/2019,7,8002
Macyscom,11/14/2019,10/7/2019,"1,916","135,152"
MaddoxElectricCompanyInc,7/17/2019,5/17/2019,6,"1,334"
MadisonCountyCommunityHealthCenter,,,,
MainStreetAmericaGroup,3/8/2019,9/22/2018,3,502
MainStreetClinicalAssociatesPA,11/8/2019,7/15/2019,4,"3,031"
MainStreetInsuranceGroup,10/8/2019,5/17/2019,3,"2,248"
MajorisHealthSystemsInc,9/20/2019,7/24/2019,1,"13,120"
MannheimSchoolDistrict83,9/19/2019,8/29/2019,1,583
ManningandAssociatesCertifiedPublicAccountantsLLC,2/22/2019,1/14/2019,37,1700
ManningSilvermanCompany,6/6/2019,1/16/2019,5,2057
MansfieldEnergyCorp,7/31/2019,4/22/2019,78,"1,121"
MarathonPetroleumCompanyLP,4/8/2019,11/28/2018,86,1287
marchFIRST,12/27/2018,8/7/2018,75,"2,123"
MaritimeAssociationILAPensionRetirementWelfareandVacationFunds,2/19/2019,11/19/2018,4,"49,917"
MarketStreetTrustCompany,8/20/2019,7/23/2019,2,136
MarksAssociates,8/12/2019,11/1/2018,1,"1,600"
MarquetteManagement,2/7/2019,10/3/2018,71,1917
MarriottInternational,11/11/2019,8/1/2019,2,"2,589"
MyersAutoworld,,,,
MartinUniversity,9/11/2019,9/5/2019,40,40
MarylandInstituteCollegeofArt,3/27/2019,9/28/2018,3,340
MassachusettsMutualLifeInsuranceCompany,3/27/2019,3/4/2019,1,1
MatrixSciences,8/6/2019,1/1/2019,3,59
MBFinancialBankNA,3/21/2019,6/21/2017,5,379
McAlistersCorporationMoesStoresLLCSchlotzskysStoresLLC,10/2/2019,4/11/2019,,
Eskenazi Hospital,,,,
McLarenHealthCare,5/23/2019,5/3/2019,2,125
McNeilCompanyInc,8/23/2019,3/27/2019,14,"2,485"
MediantCommunicationsInc,5/31/2019,4/1/2019,3552,"204,812"
MedicalCollegeofWisconsin,8/14/2019,3/22/2019,12,995
MedicalInnovationsLLC,,,,
MercerGlobalAdvisorsInc,3/20/2019,12/6/2018,8,239
MercyHealthCorporation,1/7/2019,5/8/2018,1,899
MeridianCommunityCollege,9/5/2019,1/30/2019,1,"1,475"
MerrickBankCorporation,4/12/2019,3/8/2019,68,2612
MetropolitanLifeInsuranceCompany,6/6/2019,2/1/2019,1,1
MGMResortsInternational,9/5/2019,7/7/2019,6,"46,542"
MicroMomScootersLLCdbaMicroKickboard,6/27/2019,3/14/2019,40,"4,407"
MiddleTennesseeSchoolofAnesthesia,2/14/2019,1/1/2012,28,2400
MikhailEducationCorporation,4/12/2019,3/20/2019,2,2237
MillerKaplanAraseLLP,7/10/2019,3/22/2019,10,"7,916"
MillerPoultry,6/19/2019,9/1/2018,303,338
DukeEnergy,,,,
MissionHealth,10/11/2019,3/27/2016,6,"4,521"
MissouriSouthernStateUniversity,6/13/2019,1/9/2019,41,"12,574"
MitsubishiTurbochargerandEngineAmericaInc,5/10/2019,11/7/2018,19,19
MMBBFinanicalServices,4/30/2019,9/11/2018,6,108
UnknownRespondent,,,,
MooreCollegeofArtandDesign,2/5/2019,1/30/2019,2,677
MorganDistributionInc,2/19/2019,1/6/2019,14,17
MorningPointec/oDataFactsInc,1/18/2019,10/19/2018,1,52
MortgageSpecialistofIndianaCompany,,,,
MowerySchoenfeldLLC,10/16/2019,1/1/2019,45,280
MrLandlord.com,5/28/2019,4/20/2019,12,334
MuskegonCarCreditInc,4/11/2019,2/1/2019,2,133
MutualofOmahaInsuranceCompany,10/21/2019,9/2/2019,3,470
